Date,ACC.DEFAULT ACCOUNTING CODE 01 DESCRIPTION,MCH.MERCHANT NAME - ORIGINAL,FIN.NET TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,MCH.MERCHANT CATEGORY CODE (MCC),MCH.MCC DESCRIPTION,MCH.MERCHANT NAME,FIN.ACCOUNTING CODE 02 VALUE,FIN.ACCOUNTING CODE 02 DESCRIPTION
20/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),LEEDS CITY COUNCIL,11,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LEEDS CITY COUNCIL,100037,ASSESSMENT & INT STH
20/04/2023,PSYCHOLOGY,EB THE SCERTS MODEL-D,62.32,0,7399,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,EB THE SCERTS MODEL-D,104611,S.P. CO ORDINATION
20/04/2023,INCOME MANAGEMENT,POSSESSIONCLAIM.GO,355,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,POSSESSIONCLAIM.GO,107007,INCOME MANAGEMENT
20/04/2023,SERVICE IMPROVEMENT & ASSURANCE,AMZNMKTPLACE,24.16,4.83,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,107008,SUPP & INFORMAT TEAM
20/04/2023,MOORLANDS GRANGE,ASDA GROCERIES ONLINE,30.55,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,104080,MOORLANDS GRANGE
20/04/2023,WOODLANDS,,13.28,0,,,,100081,WOODLANDS
20/04/2023,ELM GROVE,AMZNMKTPLACE,9.24,1.85,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100094,ELM GROVE
20/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),AMZNMKTPLACE,9.41,1.88,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100037,ASSESSMENT & INT STH
20/04/2023,FAMILY TIME TEAM,,7.38,0,,,,100076,FAMILY TIME TEAM
20/04/2023,WOODLANDS,,7.38,0,,,,100077,HEALDS ROAD
21/04/2023,YOUTH JUSTICE SERVICE,SAINSBURY'S S/MKT,8.33,1.67,5411,"GROCERY STORES, SUPERMARKETS",SAINSBURY'S S/MKT,107167,YOUTH JUSTICE SERVICE
21/04/2023,STRATEGIC COMMUNICATIONS,SNAP INC SNAP SNAP ADS,17.57,0,7311,ADVERTISING SERVICES,SNAP INC SNAP SNAP ADS,104035,WORKFORCE PLANNING
21/04/2023,STRATEGIC COMMUNICATIONS,SNAP INC SNAP SNAP ADS,28.84,0,7311,ADVERTISING SERVICES,SNAP INC SNAP SNAP ADS,107276,ELECTIONS BILL
21/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,36.65,7.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100069,LEAVING CARE 18-21 (
21/04/2023,HEADQUARTERS,MONARCH ART STONE LTD,96.16,19.23,1740,"INSULATION,MASONRY,PLSTER,STONEWRK,TILESET CNTRCTR",MONARCH ART STONE LTD,106979,EMPTY HOMES AND ADAPTATIONS TEAMS
21/04/2023,CATERING MANAGEMENT,ASDA SUPERSTORE,38.33,7.67,5411,"GROCERY STORES, SUPERMARKETS",ASDA SUPERSTORE,103164,CATERING MANAGEMENT
21/04/2023,WOODLANDS,TESCO STORES 2686,76.96,15.39,5411,"GROCERY STORES, SUPERMARKETS",TESCO STORES 2686,100081,WOODLANDS
21/04/2023,LIBRARY & INFORMATION CENTRES,FACEBK C5LFZP7XV2,12,0,7311,ADVERTISING SERVICES,FACEBK C5LFZP7XV2,104035,WORKFORCE PLANNING
21/04/2023,OAKWELL HALL,AMZNMKTPLACE AMAZON.CO,125.47,25.09,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,103164,CATERING MANAGEMENT
21/04/2023,INGS GROVE HOUSE,WWW.ARGOS.CO.UK,21.44,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,104076,INGS GROVE HOUSE
21/04/2023,OAKWELL HALL,AMZNMKTPLACE AMAZON.CO,62.73,12.55,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,103164,CATERING MANAGEMENT
21/04/2023,BED AND BREAKFAST,HOTEL IBIS,628.12,125.63,3533,HOTEL IBIS,HOTEL IBIS,103491,BED AND BREAKFAST
21/04/2023,LD DAY SERVICES SK,CANNONHALLFARM,55.6,0,7922,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",CANNONHALLFARM,104047,LD DAY SERVICES SK
21/04/2023,PUBLIC HEALTH OVERHEADS,TRAINLINE,159.67,0,4112,PASSENGER RAILWAYS,TRAINLINE,103588,PUBLIC HEALTH OVERHE
21/04/2023,HAF GRANT,E.ON NEXT,88,4.4,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",E.ON NEXT,102226,SERVICE MANAGEMENT
21/04/2023,LAC 0-18 TEAM,BLACKPOOL PLEASURE,115,23,7999,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),BLACKPOOL PLEASURE,100069,LEAVING CARE 18-21 (
21/04/2023,IYCE,WM MORRISONS STORE,1.68,0.21,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,103936,PLACE B WKG TEAM
21/04/2023,LAC 0-18 TEAM,PREMIER INN,146.65,29.33,3811,PREMIER INN,PREMIER INN,100068,LAC 0-18 TEAM
21/04/2023,IYCE,WM MORRISONS STORE,3.36,0.42,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,103936,PLACE B WKG TEAM
21/04/2023,OAKWELL HALL MUSEUM,B&M RETAIL LTD,3.32,0.66,5399,MISCELLANEOUS GENERAL MERCHANDISE,B&M RETAIL LTD,101136,MUSEUMS & GALLERS HQ
21/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,CITIPARK.CO.UK,7.5,0,5817,DIGITAL GOODS SOFTWARE APPLICATIONS,CITIPARK.CO.UK,107257,GROWTH & REGEN MGNT
21/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,CITIPARK.CO.UK,7.02,0,5817,DIGITAL GOODS SOFTWARE APPLICATIONS,CITIPARK.CO.UK,107257,GROWTH & REGEN MGNT
21/04/2023,LIBRARY & INFORMATION CENTRES,SAINSBURYS S/MKTS,16.8,0,5411,"GROCERY STORES, SUPERMARKETS",SAINSBURYS S/MKTS,103758,LIBRARY & INFO CTRS
21/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,TRAINLINE.COM,-10.6,0,4112,PASSENGER RAILWAYS,TRAINLINE.COM,107258,ENVIRONMENT & CLIMATE CHANGE
21/04/2023,WORKSHOPS,SPECSAVERS 00173000HUD,221.9,11.1,8043,"OPTICIANS,OPTICAL GOODS & EYEGLASSES",SPECSAVERS 00173000HUD,103372,WORKSHOPS
21/04/2023,LIBRARY & INFORMATION CENTRES,EBAY O 23-09964-55894,54.17,10.83,5311,DEPARTMENT STORES,EBAY O 23-09964-55894,103758,LIBRARY & INFO CTRS
21/04/2023,CUSTOMER SERVICE CENTRE,RYMAN,22.47,4.5,5943,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",RYMAN,106410,CUSTOMER SERV CENTRE
21/04/2023,ORCHARD VIEW,WWW.STICKERSCAPE.C,43.98,0,5970,"ARTIST SUPPLY STORES, CRAFT SHOPS",WWW.STICKERSCAPE.C,100095,ORCHARD VIEW
21/04/2023,LAC 0-18 TEAM,DELIVEROO,33.01,0,5812,"EATING PLACES, RESTAURANTS",DELIVEROO,100069,LEAVING CARE 18-21 (
21/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,41.5,8.3,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100069,LEAVING CARE 18-21 (
21/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,21.62,4.33,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100069,LEAVING CARE 18-21 (
21/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,4.16,0.83,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100069,LEAVING CARE 18-21 (
21/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,12.46,2.49,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100069,LEAVING CARE 18-21 (
21/04/2023,LAC 0-18 TEAM,AO RETAIL LIMITED,334,0,5722,HOUSEHOLD APPLIANCE STORES,AO RETAIL LIMITED,100069,LEAVING CARE 18-21 (
21/04/2023,PSYCHOLOGY,HOGREFE LIMITED,1099,219.8,8299,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,HOGREFE LIMITED,100260,PSYCHOLOGY
21/04/2023,YOUTH JUSTICE SERVICE,AMZNBUSINESS P267I76C5,21.25,4.25,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS P267I76C5,107167,YOUTH JUSTICE SERVICE
21/04/2023,SUPPORT SERVICES,EXPO HIRE UK,303.2,60.64,7394,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",EXPO HIRE UK,103511,FURNITURE
21/04/2023,YOUTH JUSTICE SERVICE,REPLACEMENT KEYS LTD,4.92,0.98,5399,MISCELLANEOUS GENERAL MERCHANDISE,REPLACEMENT KEYS LTD,107167,YOUTH JUSTICE SERVICE
21/04/2023,FOSTERING TEAM,SQ LINCOLNS FLORIST'S,25,5,5399,MISCELLANEOUS GENERAL MERCHANDISE,SQ LINCOLNS FLORIST'S,100057,FOSTERING TEAM
21/04/2023,YOUTH JUSTICE SERVICE,AMZNBUSINESS 0S2764ZO5,21.25,4.25,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 0S2764ZO5,107167,YOUTH JUSTICE SERVICE
21/04/2023,CATERING MANAGEMENT,,5.9,0,,,,103164,CATERING MANAGEMENT
21/04/2023,SERVICE IMPROVEMENT & ASSURANCE,AMZNMKTPLACE,66.56,13.28,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,107016,ASSET DELIVERY
21/04/2023,LIBRARY & INFORMATION CENTRES,AMAZON.CO.UK 8X73E8BY5,38.38,7.68,5969,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,AMAZON.CO.UK 8X73E8BY5,103758,LIBRARY & INFO CTRS
21/04/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),AMAZON.CO.UK MN7CG6EC5,21.84,4.37,5969,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,AMAZON.CO.UK MN7CG6EC5,100040,ASSESSMENT & INT NTH
21/04/2023,COPTHORNE (PROPOSED 4 BED UNIT),,7.38,0,,,,100079,COPTHORNE (PROPOSED
21/04/2023,ORCHARD VIEW,,7.38,0,,,,100095,ORCHARD VIEW
21/04/2023,LD DAY SERVICES NK,,5.9,0,,,,104049,LD DAY SERVICES NK
22/04/2023,CASTLE GRANGE,AMZNMKTPLACE,10.41,2.08,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,104079,CASTLE GRANGE
22/04/2023,CASTLE GRANGE,AMAZON.CO.UK GV9IA9HA5,6.66,1.33,5969,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,AMAZON.CO.UK GV9IA9HA5,104079,CASTLE GRANGE
22/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,49.99,10,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100069,LEAVING CARE 18-21 (
22/04/2023,STRATEGIC COMMUNICATIONS,SNAP INC SNAP SNAP ADS,18.5,0,7311,ADVERTISING SERVICES,SNAP INC SNAP SNAP ADS,104035,WORKFORCE PLANNING
22/04/2023,STRATEGIC COMMUNICATIONS,SNAP INC SNAP SNAP ADS,30.76,0,7311,ADVERTISING SERVICES,SNAP INC SNAP SNAP ADS,107276,ELECTIONS BILL
22/04/2023,RESIDENTIAL MANAGEMENT,TRAINLINE.COM,72.54,0,4112,PASSENGER RAILWAYS,TRAINLINE.COM,100078,RESIDENTIAL MANAGEME
22/04/2023,ELM GROVE,SUPERDRUG STORES PLC,24.99,0,5912,"DRUG STORES, PHARMACIES",SUPERDRUG STORES PLC,100094,ELM GROVE
22/04/2023,LD COMMUNITY TEAM,AMZNBUSINESS 7J98P18P5,8.32,1.66,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 7J98P18P5,104053,SHARED LIVES TEAM
22/04/2023,OAKWELL HALL,AMZNMKTPLACE,125.47,25.09,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103164,CATERING MANAGEMENT
23/04/2023,EMPLOYEE HEALTHCARE,AMZNMKTPLACE AMAZON.CO,14.01,2.79,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,101237,EMPLOYEE HEALTHCARE
23/04/2023,LIBRARY & INFORMATION CENTRES,AMZNBUSINESS 8809Q6285,75.9,15.18,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 8809Q6285,107044,SUPPORT OPTIONS
23/04/2023,STRATEGIC COMMUNICATIONS,SNAP INC SNAP SNAP ADS,18.52,0,7311,ADVERTISING SERVICES,SNAP INC SNAP SNAP ADS,104035,WORKFORCE PLANNING
23/04/2023,STRATEGIC COMMUNICATIONS,SNAP INC SNAP SNAP ADS,31.4,0,7311,ADVERTISING SERVICES,SNAP INC SNAP SNAP ADS,107276,ELECTIONS BILL
23/04/2023,LIBRARY & INFORMATION CENTRES,FACEBK DU2FZPTWV2,17,0,7311,ADVERTISING SERVICES,FACEBK DU2FZPTWV2,104035,WORKFORCE PLANNING
23/04/2023,OAKWELL HALL,HOME BARGAINS NELSON,10.82,2.17,5251,HARDWARE STORES,HOME BARGAINS NELSON,103147,WHITCLIFFE MOUNT HGH
23/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,AMZNMKTPLACE,20.66,4.12,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103937,CHIEF EXECUTIVE & CS
23/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,AMZNMKTPLACE,29.26,0,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103937,CHIEF EXECUTIVE & CS
23/04/2023,ORCHARD VIEW,AMZNMKTPLACE,71.95,0,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100095,ORCHARD VIEW
24/04/2023,REAL EMPLOYMENT,ONEDIRECT,109.97,21.99,5965,DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH.,ONEDIRECT,104046,REAL EMPLOYMENT
24/04/2023,THE GLASS BOX (FRIENDLY STREET),WWW.BRITISHGAS.CO.,26.55,1.33,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",WWW.BRITISHGAS.CO.,102108,BATLEY BUSINESS PARK
24/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,LNER WEB SALES,-298.2,0,4112,PASSENGER RAILWAYS,LNER WEB SALES,103937,CHIEF EXECUTIVE & CS
24/04/2023,THE GLASS BOX (FRIENDLY STREET),WWW.BRITISHGAS.CO.,129.66,6.48,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",WWW.BRITISHGAS.CO.,102108,BATLEY BUSINESS PARK
24/04/2023,CASTLE GRANGE,AMZNMKTPLACE AMAZON.CO,22.49,4.5,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,104079,CASTLE GRANGE
24/04/2023,LEAVING CARE 18-21 (25) TEAM,MCDONALDS 565,3.98,0,5814,FAST FOOD RESTAURANTS,MCDONALDS 565,100069,LEAVING CARE 18-21 (
24/04/2023,MILL DALE,WM MORRISONS STORE PIC,148.81,7.44,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE PIC,104081,MILL DALE
24/04/2023,YPAT,POUNDSTRETCHER 546,5.43,0,5331,VARIETY STORES,POUNDSTRETCHER 546,100096,YPAT
24/04/2023,CHILDRENS RIGHTS,SAINSBURYS S/MKTS,24,0,5411,"GROCERY STORES, SUPERMARKETS",SAINSBURYS S/MKTS,100024,CHILDRENS RIGHTS
24/04/2023,TEMPORARY ACCOMMODATION TEAM,LONG LANE CONVENIENCE,40,0,5411,"GROCERY STORES, SUPERMARKETS",LONG LANE CONVENIENCE,103490,TEMP ACCOMMODAT TEAM
24/04/2023,MUSEUMS & GALLERIES HQ,GARRARDS (HUDDERSFIELD,40.75,8.15,5251,HARDWARE STORES,GARRARDS (HUDDERSFIELD,104847,TECHNICAL EVT & REF
24/04/2023,STRATEGIC COMMUNICATIONS,SNAP INC SNAP SNAP ADS,18.08,0,7311,ADVERTISING SERVICES,SNAP INC SNAP SNAP ADS,104035,WORKFORCE PLANNING
24/04/2023,STRATEGIC COMMUNICATIONS,SNAP INC SNAP SNAP ADS,31.31,0,7311,ADVERTISING SERVICES,SNAP INC SNAP SNAP ADS,107276,ELECTIONS BILL
24/04/2023,WOODLANDS,WWW.THERANGE.CO.UK,-12.99,0,5719,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,WWW.THERANGE.CO.UK,100077,HEALDS ROAD
24/04/2023,LD DAY SERVICES NK,WWW.ARGOS.CO.UK,23.33,4.67,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,104049,LD DAY SERVICES NK
24/04/2023,BED AND BREAKFAST,TRAVELODG TRAVELODGE G,233.55,0,3615,TRAVELODGE,TRAVELODGE,103491,BED AND BREAKFAST
24/04/2023,CONNECTED PERSON SUPPORT TEAM,ABBEYCARS (WAKEFIELD),690,0,4121,LIMOUSINES AND TAXICABS,ABBEYCARS (WAKEFIELD),100068,LAC 0-18 TEAM
24/04/2023,CATERING MANAGEMENT,WWW.TPEXPRESS.CO.UK,10.6,0,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,103164,CATERING MANAGEMENT
24/04/2023,ELM GROVE,TESCO STORES 2187,131.25,1.5,5411,"GROCERY STORES, SUPERMARKETS",TESCO STORES 2187,100094,ELM GROVE
24/04/2023,MARKETS MANAGEMENT & SUPPORT,TESCO STORES 2686,11.25,2.25,5411,"GROCERY STORES, SUPERMARKETS",TESCO STORES 2686,102140,QUEENSGATE MARKT HAL
24/04/2023,ELM GROVE,TESCO STORES 2187,-1.55,0,5411,"GROCERY STORES, SUPERMARKETS",TESCO STORES 2187,100094,ELM GROVE
24/04/2023,BED AND BREAKFAST,BKG HOTEL AT BOOKING.C,45,0,4722,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,103491,BED AND BREAKFAST
24/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.TPEXPRESS.CO.UK,10.6,0,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100037,ASSESSMENT & INT STH
24/04/2023,WORKSHOPS,HORIZONPARKING.CO.UK,35,0,7523,AUTOMOBILE PARKING LOTS AND GARAGES,HORIZONPARKING.CO.UK,103367,POOL CARS
24/04/2023,FOSTERING TEAM,WWW.BUTTERFLYSFLOWERS.,29.96,5.99,5992,FLORISTS,WWW.BUTTERFLYSFLOWERS.,100057,FOSTERING TEAM
24/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),ARGOS LTD,-1388.95,0,5310,DISCOUNT STORES,ARGOS LTD,100040,ASSESSMENT & INT NTH
24/04/2023,WORKSHOPS,KIRKLEES COUNCIL,50,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,KIRKLEES COUNCIL,103367,POOL CARS
24/04/2023,FOSTERING TEAM,CURRYS ONLINE,818.33,163.67,5732,ELECTRONIC SALES,CURRYS ONLINE,100069,LEAVING CARE 18-21 (
24/04/2023,WORKSHOPS,PARKMAVEN,60,0,7523,AUTOMOBILE PARKING LOTS AND GARAGES,PARKMAVEN,103367,POOL CARS
24/04/2023,EMPLOYMENT & SKILLS,KIRKLEES COUNCIL,35,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,KIRKLEES COUNCIL,107254,E&S BARRIER BREAKER
24/04/2023,COMMUNITIES TEAM-DEWSBURY&MIRFIELD,SP DISTURBIA,2.5,0,5691,MEN'S AND WOMEN'S CLOTHING STORES,SP DISTURBIA,106237,COMTEAM-DEW&MIRFIELD
24/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.ARGOS.CO.UK,-170.83,-34.17,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100040,ASSESSMENT & INT NTH
24/04/2023,LAC 0-18 TEAM,2MAA036807627 TD E-PMT,62.5,12.5,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2MAA036807627 TD E-PMT,100069,LEAVING CARE 18-21 (
24/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,14.99,3,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100069,LEAVING CARE 18-21 (
24/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.TPEXPRESS.CO.UK,7.1,0,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100037,ASSESSMENT & INT STH
24/04/2023,FOSTERING TEAM,WWW.ARGOS.CO.UK,175.8,35.15,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100057,FOSTERING TEAM
24/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.ARGOS.CO.UK,1593.95,0,5311,DEPARTMENT STORES,WWW.ARGOS.CO.UK,100037,ASSESSMENT & INT STH
24/04/2023,LAC 0-18 TEAM,CURRYS ONLINE,55,0,5732,ELECTRONIC SALES,CURRYS ONLINE,100069,LEAVING CARE 18-21 (
24/04/2023,STRATEGIC LEADERSHIP AND INTERVENTION,WM MORRISONS STORE,10.14,2.03,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,100303,STRAT LEAD/INTERVNTN
24/04/2023,THE GLASS BOX (FRIENDLY STREET),E.ON NEXT ENERGY LTD,3.55,0.18,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",E.ON NEXT ENERGY LTD,102108,BATLEY BUSINESS PARK
24/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,WM MORRISONS STORE,34.1,0,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,105679,"DIRECTOR C, PH & ASC"
24/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,TRAINLINE,11.61,0,4112,PASSENGER RAILWAYS,TRAINLINE,107257,GROWTH & REGEN MGNT
24/04/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),SHEFFIELDSKIPHIRE,344,68.8,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",SHEFFIELDSKIPHIRE,100040,ASSESSMENT & INT NTH
24/04/2023,THE GLASS BOX (FRIENDLY STREET),WWW.OPUSENERGY.COM,42.73,2.14,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",WWW.OPUSENERGY.COM,102106,GATEHOUSE ENTERP CTR
24/04/2023,CHIEF EXECUTIVE & CORPORATE SUPPORT,CITIPARK.CO.UK,5.5,0,5817,DIGITAL GOODS SOFTWARE APPLICATIONS,CITIPARK.CO.UK,107257,GROWTH & REGEN MGNT
24/04/2023,LAC 0-18 TEAM,WF UK3902202344,302.99,0,5712,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",WF UK3902202344,100068,LAC 0-18 TEAM
24/04/2023,LIBRARY & INFORMATION CENTRES,FACEBK YYHYTNPXV2,25,0,7311,ADVERTISING SERVICES,FACEBK YYHYTNPXV2,104035,WORKFORCE PLANNING
24/04/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.TPEXPRESS.CO.UK,3.25,0.65,4112,PASSENGER RAILWAYS,WWW.TPEXPRESS.CO.UK,100037,ASSESSMENT & INT STH
24/04/2023,BED AND BREAKFAST,HOTEL IBIS,261.75,52.35,3533,HOTEL IBIS,HOTEL IBIS,103491,BED AND BREAKFAST
24/04/2023,TEMPORARY ACCOMMODATION TEAM,BEST ONE EXPRESS,19.05,0.95,5411,"GROCERY STORES, SUPERMARKETS",BEST ONE EXPRESS,103490,TEMP ACCOMMODAT TEAM
24/04/2023,THE GLASS BOX (FRIENDLY STREET),WWW.OPUSENERGY.COM,7.79,0.39,4900,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",WWW.OPUSENERGY.COM,102108,BATLEY BUSINESS PARK
24/04/2023,MOORLANDS GRANGE,WM MORRISONS STORE,17.5,0,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,104080,MOORLANDS GRANGE
24/04/2023,LEGAL,THE LAW SOCIETY,39.95,0,8699,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",THE LAW SOCIETY,103939,LEGAL
24/04/2023,TEMPORARY ACCOMMODATION TEAM,BEST ONE EXPRESS,42.86,3.33,5411,"GROCERY STORES, SUPERMARKETS",BEST ONE EXPRESS,103490,TEMP ACCOMMODAT TEAM
24/04/2023,TEMPORARY ACCOMMODATION TEAM,BEST ONE EXPRESS,23.81,0,5411,"GROCERY STORES, SUPERMARKETS",BEST ONE EXPRESS,103490,TEMP ACCOMMODAT TEAM
24/04/2023,TEMPORARY ACCOMMODATION TEAM,ONE STOP 1652,4.76,0.24,5411,"GROCERY STORES, SUPERMARKETS",ONE STOP 1652,103490,TEMP ACCOMMODAT TEAM
24/04/2023,WOODLANDS,,7.38,0,,,,100081,WOODLANDS
24/04/2023,GROWTH & REGEN BUSINESS SUPPORT,,10.33,0,,,,103492,HRA PROPERTIES
24/04/2023,LAC 0-18 TEAM,AMZNMKTPLACE,45.79,9.17,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100069,LEAVING CARE 18-21 (
24/04/2023,KIRKLEES DIRECT,AMZNMKTPLACE,9.41,1.88,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103740,KIRKLEES DIRECT
24/04/2023,YPAT,AMZNMKTPLACE,10.72,2.14,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100096,YPAT
25/04/2023,MUSEUMS & GALLERIES HQ,TALBOT FASHIONS LLP,150.1,30.02,7392,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",TALBOT FASHIONS LLP,101136,MUSEUMS & GALLERS HQ
25/04/2023,LOCAL ELECTIONS,AMZNBUSINESS D23XI17R5,23.83,4.8,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS D23XI17R5,107276,ELECTIONS BILL
25/04/2023,LOCAL ELECTIONS,AMZNBUSINESS HQ3LD3HU5,59.5,12,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS HQ3LD3HU5,107276,ELECTIONS BILL
25/04/2023,LOCAL ELECTIONS,AMZNBUSINESS HU2A30715,59.58,12,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS HU2A30715,107276,ELECTIONS BILL
