Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89004,Acquisition Costs - Vehicles & Plant,GSF Car Parts Ltd,45050.041666666664,1785,2142,1785,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89004,Acquisition Costs - Vehicles & Plant,West End Motors,45055.041666666664,22209.15,26705.98,22264.15,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89004,Acquisition Costs - Vehicles & Plant,West End Motors,45055.041666666664,22209.15,26705.98,22264.15,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89209,Other Professional Fees,Currie & Brown UK Ltd,45076.041666666664,4055,4866,4055,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690004,Democratic & Corporate Directorate,89104,Major Enhancement Works,Wright Construction,45048.041666666664,136106.5,163327.8,136106.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45104.041666666664,1060,1272,1060,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45085.041666666664,1564,1876.8,1564,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,27001,Contract Cleaning,Scilly Self Catering,45085.041666666664,1759.5,2111.4,1759.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,41304,Cleaning & Domestic Materials,Scilly Self Catering,45083.041666666664,1874.5,2249.4,1874.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,41304,Cleaning & Domestic Materials,Scilly Self Catering,45085.041666666664,1897.5,2277,1897.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,41304,Cleaning & Domestic Materials,Scilly Self Catering,45106.041666666664,1897.5,2277,1897.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600001,Corporate Properties,41304,Cleaning & Domestic Materials,The Consortium,45090.041666666664,2199.9,2639.88,2199.9,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,27001,Contract Cleaning,,45104.041666666664,818,818,818,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600002,Public Conveniences,27001,Contract Cleaning,,45104.041666666664,796.25,796.25,796.25,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600003,Commercial Property,22002,Electricity,Edf Energy Plc,45107.041666666664,1648.74,1978.49,1648.74,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600005,AONB,47013,Grants & Conts to Other Bodies - Discretionary,Ios Wildlife Trust Ltd,45099.041666666664,143974,143974,143974,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,27005,Recycling,,45078.041666666664,4560,4560,4560,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,43505,Professional Services,Currie & Brown UK Ltd,45106.041666666664,440,528,440,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,43506,Professional Fees - Legal,Addleshaw Goddard LLP,45099.041666666664,1926.1,2311.32,1926.1,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,43532,Professional Fees - Other,Bloom Procurement Services Ltd,45083.041666666664,15722.03,18866.44,15722.03,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,43532,Professional Fees - Other,Bloom Procurement Services Ltd,45097.041666666664,4788.89,5746.67,4788.89,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,43532,Professional Fees - Other,Pfa Research Ltd,45090.041666666664,8885,10662,8885,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,,45085.041666666664,2800,3360,2800,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,,45106.041666666664,9413,11295.6,9413,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,49002,Miscellaneous Expenditure,,45097.041666666664,12453,14943.6,12453,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Natural Resources and Assets.,600006,Adaptive Scillies,89104,Major Enhancement Works,Marine Management Organisation,45099.041666666664,732,732,732,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Highway and Environmental Assets,600011,Cemeteries,43532,Professional Fees - Other,Agua Enodo Ltd,45106.041666666664,1800,2160,1800,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Highway and Environmental Assets,600012,Highways,41302,Materials,Instarmac Group Plc,45078.041666666664,2519.01,3022.81,2519.01,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Planning and Development.,600021,Development Management,43504,Consultancy,Cornwall Environmental Consultants,45092.041666666664,1020,1224,1020,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Planning and Development.,600023,Planning Enforcement,43505,Professional Services,Bloom Procurement Services Ltd,45078.041666666664,2625,3150,2625,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Planning and Development.,600023,Planning Enforcement,43505,Professional Services,Bloom Procurement Services Ltd,45085.041666666664,5125,6150,5125,
51 Council of the Isles of Scilly,People and Communities,Fire and Rescue.,600030,Fire & Rescue,41118,Health & Safety Equipment,Speedings Ltd,45090.041666666664,2744,3292.8,2744,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41104,Equipment & Plant - Direct Purchase,Mardon Recycling machinery Ltd,45097.041666666664,550,660,550,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Installation & Maintenance Services Limited,45106.041666666664,2297.1,2756.52,2297.1,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Mason Bros,45090.041666666664,1823.23,2187.88,1823.23,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41109,R&M of Plant & Equipment,Pernic Forge,45090.041666666664,865.07,1038.08,865.07,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,41305,Purchase of Waste Sacks,D A Pak Ltd,45083.041666666664,3994,4792.8,3994,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,43002,Stationery and Consumables,Stickers International Ltd,45104.041666666664,140,840,840,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,43002,Stationery and Consumables,Stickers International Ltd,45104.041666666664,700,840,840,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,43532,Professional Fees - Other,Eunomia Research and Consulting Ltd,45099.041666666664,5494,6592.8,5494,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46118,Freight Costs,Wheal Alfred Metals Recycling Ltd,45083.041666666664,800,960,800,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,46119,Haulage Costs,Island Carriers,45097.041666666664,4179.29,5015.14,4179.29,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,,45097.041666666664,1100,1100,1100,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,57069,Waste Disposal Contracts - Private Contractors,Tresco Island Ltd,45104.041666666664,3033.33,3640,3033.33,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600040,Waste Collection and Operations,94489,Commercial refuse - bulk bins and collections,Cromwell Polythene,45085.041666666664,1880,2256,1880,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600042,Waste Recycling (Code Closed),46119,Haulage Costs,Isles Of Scilly Steamship Co,45106.041666666664,13571.29,16285.52,13571.29,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600042,Waste Recycling (Code Closed),46119,Haulage Costs,Isles Of Scilly Steamship Co,45097.041666666664,6441.28,7729.51,6441.28,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Waste and Recycling.,600042,Waste Recycling (Code Closed),46119,Haulage Costs,Suez Recycling and Recovery UK Ltd (was Sita UK Ltd),45106.041666666664,22825.02,27390.02,22825.02,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,12301,Training,Global ATS Ltd,45090.041666666664,1685,2022,1685,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,21101,R&M - Buildings - Planned,Wright Construction,45090.041666666664,1730.75,2076.9,1730.75,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,21101,R&M - Buildings - Planned,DMF Carpentry,45104.041666666664,7009.32,8411.18,7009.32,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45078.041666666664,750,900,750,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,21116,R&M - Other - Planned,Davey & Gilbert Ltd,45083.041666666664,592.14,710.57,592.14,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,21116,R&M - Other - Planned,Wright Construction,45090.041666666664,6974,8368.8,6974,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22001,Heating Oil,Sibleys Fuel & Marine Services,45083.041666666664,986.14,1126.17,1061.74,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22001,Heating Oil,Sibleys Fuel & Marine Services,45106.041666666664,964.42,1112.18,1047.37,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45083.041666666664,-150,1801.21,1476.01,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,22002,Electricity,Edf Energy Plc,45083.041666666664,1626.01,1801.21,1476.01,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,25003,Fire Equipment,Angloco Ltd,45099.041666666664,799,958.8,799,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,27001,Contract Cleaning,Island Cleaning co,45099.041666666664,1170,1170,1170,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,31204,Derv Purchases,Sibleys Fuel & Marine Services,45083.041666666664,75.6,1126.17,1061.74,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,31204,Derv Purchases,Sibleys Fuel & Marine Services,45106.041666666664,82.95,1112.18,1047.37,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,41302,Materials,Davey & Gilbert Ltd,45106.041666666664,444.62,533.54,444.62,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43534,Licences,CAA International Ltd,45107.041666666664,826.8,826.8,826.8,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43534,Licences,One Off Payments,45079.041666666664,826.8,826.8,826.8,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45208,IT Software Support,Copperchase Ltd,45106.041666666664,3500,4200,3500,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45083.041666666664,491.67,589.99,491.67,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45083.041666666664,622.08,746.49,622.08,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45085.041666666664,491.67,589.99,491.67,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45085.041666666664,622.08,746.49,622.08,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45097.041666666664,622.08,746.49,622.08,
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45097.041666666664,491.67,589.99,491.67,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Infrastructure and Planning Management.,600070,Infrastructure & Planning SLT,49002,Miscellaneous Expenditure,Essential Safety Wear Ltd,45097.041666666664,-1671.66,2065.99,1721.66,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Infrastructure and Planning Management.,600070,Infrastructure & Planning SLT,49002,Miscellaneous Expenditure,Essential Safety Wear Ltd,45097.041666666664,1671.66,2065.99,1721.66,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Infrastructure and Planning Management.,600070,Infrastructure & Planning SLT,49002,Miscellaneous Expenditure,Essential Safety Wear Ltd,45097.041666666664,1721.66,2065.99,1721.66,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45085.041666666664,1443,1731.6,1443,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45083.041666666664,1365,1638,1365,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45083.041666666664,1443,1731.6,1443,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45097.041666666664,1443,1731.6,1443,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,11601,Agency Costs,Eden Brown Synergy Ltd,45106.041666666664,1443,1731.6,1443,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,21217,R&M - Disabled Adaptations - Reactive,SJ Andrew And Sons Ltd,45083.041666666664,989.78,1187.74,989.78,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,22501,Rent,,45107.041666666664,822.84,822.84,822.84,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,43506,Professional Fees - Legal,Cornwall Council,45078.041666666664,2587.95,3105.54,2587.95,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600100,Adult Social Care,43532,Professional Fees - Other,Signis Ltd,45097.041666666664,14900,17880,14900,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600101,Better Care Fund,31603,Other Public Transport,St Mary's Boatmens Association,45090.041666666664,900,900,900,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600101,Better Care Fund,31603,Other Public Transport,Tresco Island Ltd,45090.041666666664,966,966,966,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600101,Better Care Fund,47013,Grants & Conts to Other Bodies - Discretionary,Age UK Cornwall & The Isles of Scilly (Age Concern In Cornwall & The Isles of Scilly),45079.041666666664,3375,3375,3375,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600102,One Public Estate_,43504,Consultancy,Community 1st Cornwall Ltd,45104.041666666664,10600,12720,10600,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600102,One Public Estate_,43504,Consultancy,Community 1st Cornwall Ltd,45104.041666666664,1529.12,1834.94,1529.12,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Autism West Midlands,45086.041666666664,1412.14,1412.14,1412.14,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600103,Short and Long Term Support 18-64,57053,Independent Schools - Private Contractors,Autism West Midlands,45100.041666666664,9413.84,9413.84,9413.84,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600103,Short and Long Term Support 18-64,62004,Direct Payments,,45107.041666666664,1232,1232,1232,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600103,Short and Long Term Support 18-64,62004,Direct Payments,One Off Payments,45079.041666666664,1232,1232,1232,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45092.041666666664,-1374.14,1497.36,1497.36,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45092.041666666664,1374.14,1497.36,1497.36,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Newcross Healthcare Solutions Ltd,45092.041666666664,1497.36,1497.36,1497.36,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45083.041666666664,3208.29,3208.29,3208.29,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45097.041666666664,2515.8,2515.8,2515.8,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45097.041666666664,4086.8,4086.8,4086.8,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45097.041666666664,4467.06,4467.06,4467.06,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45097.041666666664,2904.16,2904.16,2904.16,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Nurse Plus,45097.041666666664,3094.27,3094.27,3094.27,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Synergy Carers Ltd,45085.041666666664,1327.5,1327.5,1327.5,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Synergy Carers Ltd,45085.041666666664,981,981,981,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Synergy Carers Ltd,45097.041666666664,2124,2124,2124,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Synergy Carers Ltd,45097.041666666664,2646,2646,2646,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,11601,Agency Costs,Synergy Carers Ltd,45106.041666666664,1260,1260,1260,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,,45093.041666666664,655,655,655,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,,45097.041666666664,258.8,3839.45,3839.45,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,,45097.041666666664,580.65,3839.45,3839.45,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,,45097.041666666664,1000,3839.45,3839.45,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,22501,Rent,Sibleys Island Homes,45100.041666666664,950,950,950,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,41304,Cleaning & Domestic Materials,Protec Healthcare LLP,45083.041666666664,602.88,723.46,602.88,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,41304,Cleaning & Domestic Materials,Protec Healthcare LLP,45090.041666666664,1065.27,1278.32,1065.27,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,46103,Hotel Expenses,,45083.041666666664,520,520,520,
51 Council of the Isles of Scilly,People and Communities,Adult Social Care.,600105,Park House,46108,Board and Lodging,,45085.041666666664,1615,1615,1615,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600113,Early Year Provision,31603,Other Public Transport,St Agnes Boating,45090.041666666664,663.88,663.88,663.88,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600113,Early Year Provision,31603,Other Public Transport,St Agnes Boating,45104.041666666664,1798.35,1798.35,1798.35,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600113,Early Year Provision,31603,Other Public Transport,Tresco Island Ltd,45104.041666666664,2157.75,2157.75,2157.75,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,Cherry Blossom Childcare,45097.041666666664,8069.35,8069.35,8069.35,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600113,Early Year Provision,47001,Grants & Conts to Other Bodies - Non Discretionary,,45099.041666666664,1129.84,1129.84,1129.84,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600113,Early Year Provision,47013,Grants & Conts to Other Bodies - Discretionary,Cherry Blossom Childcare,45099.041666666664,2454.17,2454.17,2454.17,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600120,Post 16 Travel and Accommodation Grant,47016,Accomodation Grants,,45090.041666666664,1905.32,1905.32,1905.32,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600121,Home to School Transport,31603,Other Public Transport,Tresco Island Ltd,45104.041666666664,3610,3610,3610,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600123,High Need SEND,31603,Other Public Transport,,45085.041666666664,521,521,521,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600123,High Need SEND,31603,Other Public Transport,Tresco Island Ltd,45104.041666666664,709,709,709,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600123,High Need SEND,43532,Professional Fees - Other,Kandu Education Ltd,45090.041666666664,516,516,516,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,31603,Other Public Transport,Tresco Island Ltd,45085.041666666664,2815.5,2815.5,2815.5,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600127,C&YP Central Support Services,31603,Other Public Transport,Tresco Island Ltd,45104.041666666664,2237.75,2237.75,2237.75,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45083.041666666664,697,836.4,697,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45083.041666666664,820,984,820,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45083.041666666664,820,984,820,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45083.041666666664,546,655.2,546,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45090.041666666664,820,984,820,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45090.041666666664,1287,1544.4,1287,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45097.041666666664,-1306.6,1567.8,1306.5,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45097.041666666664,1306.5,1567.8,1306.5,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45097.041666666664,1306.6,1567.8,1306.5,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45097.041666666664,820,984,820,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,BWR Recruitment Ltd (Total Social),45104.041666666664,820,984,820,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45090.041666666664,3190,3828,3190,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,11601,Agency Costs,iPeople Solutions Ltd,45090.041666666664,3987.5,4785,3987.5,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43506,Professional Fees - Legal,,45097.041666666664,1300,1300,1300,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,BWR Recruitment Ltd (Total Social),45078.041666666664,1306.5,1567.8,1306.5,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,Cornwall Council,45099.041666666664,1750,1750,1750,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,Signis Ltd,45092.041666666664,24700,29640,24700,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,Wave Multi Academy Trust,45090.041666666664,4740,4740,4740,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,Wave Multi Academy Trust,45083.041666666664,1580,1580,1580,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,iPeople Solutions Ltd,45078.041666666664,3190,3828,3190,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,iPeople Solutions Ltd,45078.041666666664,1319.3,1583.16,1319.3,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600130,Children Social Care - Strategic,43532,Professional Fees - Other,iPeople Solutions Ltd,45078.041666666664,3987.5,4785,3987.5,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600133,CSC Short Break Care,57014,Client Related Personal Needs - Private Contractors,,45099.041666666664,1020,1020,1020,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600133,CSC Short Break Care,57014,Client Related Personal Needs - Private Contractors,,45099.041666666664,3100,3100,3100,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600133,CSC Short Break Care,57014,Client Related Personal Needs - Private Contractors,,45083.041666666664,1850,1850,1850,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600133,CSC Short Break Care,57014,Client Related Personal Needs - Private Contractors,,45083.041666666664,1550,1550,1550,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600133,CSC Short Break Care,57014,Client Related Personal Needs - Private Contractors,,45083.041666666664,1850,1850,1850,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600134,C&YP Safeguarding,57014,Client Related Personal Needs - Private Contractors,,45090.041666666664,1550,1550,1550,
51 Council of the Isles of Scilly,People and Communities,Childrens Services.,600134,C&YP Safeguarding,57014,Client Related Personal Needs - Private Contractors,,45097.041666666664,1550,1550,1550,
51 Council of the Isles of Scilly,People and Communities,Community Management.,600150,Community SLT,12301,Training,JJG Consultancy & Executive Coaching Services Ltd,45097.041666666664,440,528,440,
