Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
12/01/2024,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,BYTES SOFTWARE SERVICES LTD,"£293,605"
26/01/2024,PCP ESTATES SECURITY DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD-2WM,"£292,861"
26/01/2024,PCP ESTATES OLD BAU DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,FES SUPPORT SERVICES LTD,"£291,093"
25/01/2024,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£289,718"
02/01/2024,PCP ESTATES GRANT DELP,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,FES SUPPORT SERVICES LTD,"£286,600"
04/01/2024,DIG IDENTITY SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,SOFTWAREONE UK LTD,"£284,039"
05/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£283,534"
17/01/2024,DIG DIGITAL SERVICES SIL,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£283,166"
05/01/2024,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£282,106"
26/01/2024,EP CEP PIONEER DEV. CONTRACTS CPA 11A MANCHESTER,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,GREATER MANCHESTER COMBINED AUTHORITY,"£281,220"
02/01/2024,EP CEP PIONEER DWP CONTRACTS CPA 2A NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£271,146"
29/01/2024,PCP ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD - 2WM,"£266,256"
30/01/2024,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£265,404"
15/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£262,142"
26/01/2024,EP CEP WHP DEV. CONTRACTS LONDON EAST CPA9,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LONDON BOROUGH OF REDBRIDGE,"£258,850"
12/01/2024,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,STADIA CONSULTING GROUP LTD,"£256,560"
05/01/2024,OPS WA DIRECTOR AND NATIONAL OPERATIONS HUB,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£253,834"
09/01/2024,DIG - SECURITY CONTRACTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,FLYFORM LTD,"£252,000"
15/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£250,068"
11/01/2024,PCP ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD - 2WM,"£249,251"
26/01/2024,EP CEP PIONEER DEV. CONTRACTS CPA 7A LONDON CENTRAL,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,CORPORATION OF LONDON,"£248,687"
05/01/2024,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£246,678"
18/01/2024,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING APPS DEV,RESILINC CORPORATION,"£243,600"
12/01/2024,PCP ESTATES LCW DELA,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,MITIE FM LTD,"£240,960"
22/01/2024,DIG PAYMENTS - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£240,181"
15/01/2024,PCP ESTATES LCW DELA,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,AMEY COMMUNITY LTD,"£235,409"
02/01/2024,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£234,079"
23/01/2024,SE SM CROSS ECSS AUTOMATED TELEPHONE EXCELLENCE DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HIPPO DIGITAL LTD,"£233,240"
12/01/2024,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£232,908"
05/01/2024,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£230,685"
15/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£229,368"
05/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£227,893"
24/01/2024,PCP ESTATES CSI PROJECT DELP,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,LEADING MANAGEMENT SERVICES LTD,"£227,112"
31/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£224,807"
03/01/2024,DIG DWP MI - BAU RUN,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£224,192"
02/01/2024,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£223,306"
12/01/2024,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£222,843"
29/01/2024,PCP ESTATES REEP DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD - 2WM,"£221,626"
25/01/2024,DIG - WIFI REFRESH DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,SOFTCAT PLC,"£219,906"
26/01/2024,EP CEP PIONEER DEV. CONTRACTS CPA 10A LONDON EAST,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LONDON BOROUGH OF REDBRIDGE,"£218,175"
09/01/2024,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMETHYST RISK MANAGEMENT LTD,"£217,674"
26/01/2024,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD-2WM,"£216,616"
22/01/2024,DIG APPEALS & SUPPORTING CAPABILITIES PTP CAM RUN DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£211,759"
05/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£211,236"
05/01/2024,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£209,832"
02/01/2024,P&C SYNERGY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£209,420"
26/01/2024,DIG CTO BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£208,806"
03/01/2024,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£208,381"
26/01/2024,DIG FED CFCD IT SPEND,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,COFORGE UK LTD,"£207,360"
03/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CDW LTD,"£207,281"
24/01/2024,SE SPD BULK MAIL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£207,200"
02/01/2024,CHG 620668 MANCHESTER ALBERT BRIDGE HOUSE,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,ISG FIT OUT LTD,"£205,138"
12/01/2024,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£201,637"
05/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£201,492"
30/01/2024,DIG DATA ACCESS LAYER (SRA) DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CREDERA LTD,"£201,311"
05/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£200,037"
16/01/2024,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,ECONOMIC & SOCIAL RESEARCH COUNCIL,"£200,000"
15/01/2024,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£198,102"
05/01/2024,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£198,059"
05/01/2024,PCP ESTATES TECHNICAL SUPPORT & SYSTEMS DELA,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,UTILYX LTD TA MITIE ENERGY,"£196,361"
19/01/2024,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£195,516"
11/01/2024,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,GAMMA TELECOM LTD,"£194,728"
18/01/2024,DIG LIGHTHOUSE PROJECTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£193,260"
19/01/2024,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GOVERNMENT LEGAL DEPARTMENT,"£192,502"
08/01/2024,DIG TEAM COLLABORATION,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INVOTRA LTD,"£192,068"
26/01/2024,EP CEP PIONEER DEV. CONTRACTS CPA 8A LONDON WEST,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LONDON BOROUGH OF EALING,"£191,524"
15/01/2024,DIG SRA - DIG DWP REF DATA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INFORMATICA SOFTWARE LTD,"£191,376"
17/01/2024,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£190,937"
15/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£190,665"
05/01/2024,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£189,084"
19/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,ATOS IT SERVICES UK LTD,"£188,830"
12/01/2024,PCP ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,MITIE FM LTD,"£187,855"
18/01/2024,PCP ESTATES WORK PLACE SERVICES DELA,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,ERNST & YOUNG,"£187,734"
16/01/2024,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£187,365"
19/01/2024,CHG MA COSTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£186,689"
04/01/2024,CHG INTEGRATED SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£185,752"
05/01/2024,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£184,424"
02/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£183,448"
04/01/2024,UCO SC BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£183,004"
17/01/2024,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BEDIGITAL,"£182,580"
05/01/2024,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£181,684"
02/01/2024,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£181,159"
31/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£180,195"
26/01/2024,CHG GYSP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£178,839"
05/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£178,636"
05/01/2024,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£178,559"
26/01/2024,CHG 620081 MANCHESTER ANCHORAGE SALFORD QUAYS,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,F PARKINSON LTD,"£177,772"
26/01/2024,EP CEP WHP DEV. CONTRACTS LONDON WEST CPA11,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LONDON BOROUGH OF EALING,"£175,617"
12/01/2024,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£175,479"
15/01/2024,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£175,078"
24/01/2024,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SAS SOFTWARE LTD,"£174,744"
05/01/2024,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£174,705"
17/01/2024,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£174,138"
03/01/2024,PCP ESTATES CSI PROJECT DELP,PPE - PLANT & MACHINERY (OWNED) - COST - ADDITIONS,G4S SECURE SOLUTIONS UK LTD,"£173,847"
15/01/2024,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£173,735"
12/01/2024,PCP ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,MITIE FM LTD,"£172,757"
03/01/2024,PCP ESTATES CSI PROJECT DELP,PPE - PLANT & MACHINERY (OWNED) - COST - ADDITIONS,G4S SECURE SOLUTIONS UK LTD,"£172,426"
02/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£171,859"
31/01/2024,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£169,074"
22/01/2024,CHG WPT FEASIBILITY,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£167,400"
26/01/2024,EP CEP WHP DEV. CONTRACTS LONDON SOUTH CPA10,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LONDON BOROUGH OF CROYDON,"£166,923"
05/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£164,896"
31/01/2024,CHG DWP REIMAGINE SERVICE ENHANCEMENTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,SHARED SERVICES CONNECTED LTD,"£163,884"
25/01/2024,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£163,185"
12/01/2024,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£162,675"
29/01/2024,CHG GROUP CHIEF PORTFOLIO OFFICE,Exp - Purchase Of Goods/Services - Consultancy,BMT DEFENCE & SECURITY UK LTD,"£161,752"
02/01/2024,DIG CITIZEN INF - STRATEGIC ARA SAFEGUARDING DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£160,825"
23/01/2024,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£160,000"
23/01/2024,PCP ESTATES STRATA DELA,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INCENDIUM CONSULTING LTD,"£159,870"
25/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£159,822"
02/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£159,134"
25/01/2024,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£158,653"
25/01/2024,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,RESTORE PLC DOCUMENT MANAGEMENT SERVICES DIVISION,"£158,034"
25/01/2024,CHG INTEGRATED SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£157,743"
12/01/2024,PCP ESTATES ASBESTOS DELP,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD,"£156,249"
11/01/2024,DIG IDENTITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,HID GLOBAL SAS,"£156,000"
11/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£155,183"
11/01/2024,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£153,467"
12/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CAPITA BUSINESS SERVICES LTD,"£152,978"
25/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£152,773"
15/01/2024,DIG DW AND DSP PLATFORM RUN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,RPLUS ANALYTICS SOLUTIONS LTD,"£152,175"
25/01/2024,DIG - WIFI REFRESH DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,SOFTCAT PLC,"£149,578"
05/01/2024,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£149,115"
12/01/2024,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£148,618"
18/01/2024,PCP ESTATES WORK PLACE SERVICES DELA,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,ERNST & YOUNG,"£148,152"
18/01/2024,DIG SRA ENABLEMENT DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£147,650"
23/01/2024,HR CASEWORK & MIS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,MINISTRY OF JUSTICE,"£147,360"
31/01/2024,CHG INTEGRATED SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£146,308"
05/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£145,110"
09/01/2024,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,C&R SOFTWARE,"£144,670"
12/01/2024,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CREDERA LTD,"£144,476"
30/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CDW LTD,"£144,094"
02/01/2024,PCP ESTATES LCW DELA,PPE - POA & AUC (OWNED) - COST - ADDITIONS - PLANT & MACHINERY,RESOLUTION INTERIORS LTD,"£143,940"
25/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,ATOS IT SERVICES UK LTD,"£143,816"
29/01/2024,CHG GYSP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£142,968"
29/01/2024,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,TECKNUOVO LTD,"£142,363"
12/01/2024,PCP ESTATES LCW DELA,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD,"£142,334"
16/01/2024,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£142,140"
11/01/2024,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£142,034"
15/01/2024,PCP ESTATES LLM DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD-2WM,"£140,586"
18/01/2024,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,HHG ASSOCIATES LTD,"£140,456"
09/01/2024,CHG WORKPLACE TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PERFECT CIRCLE JV LTD,"£139,328"
02/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£139,215"
05/01/2024,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£139,112"
23/01/2024,OPS WA OUTSOURCE TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S FACILITIES MANAGEMENT (UK) LTD,"£137,433"
11/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£136,282"
03/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£135,929"
29/01/2024,PCP ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD - 2WM,"£135,875"
24/01/2024,DIG STB FUNDED ACCESS TO WORK - HEALTH & DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£134,239"
23/01/2024,CHG HEALTH ASSESSMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£132,989"
23/01/2024,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£132,897"
25/01/2024,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,"£132,504"
