Authority,Paid date,Document number,Gross,VAT,Net,Supplier,Directorate,GL description
Salford City Council,11/01/2023,601480606,1322.20,0.00,1322.20,Redacted Data,People (Childrens) Service Group,Grants - Externally Funded
Salford City Council,11/01/2023,601480607,1322.20,0.00,1322.20,Redacted Data,People (Childrens) Service Group,Grants - Externally Funded
Salford City Council,11/01/2023,601480608,1322.20,0.00,1322.20,Redacted Data,People (Childrens) Service Group,Grants - Externally Funded
Salford City Council,11/01/2023,601480609,1322.20,0.00,1322.20,Redacted Data,People (Childrens) Service Group,Grants - Externally Funded
Salford City Council,11/01/2023,1600702584,540.48,90.08,450.40,Reed Talent Solutions,People (Childrens) Service Group,Agency Fees
Salford City Council,11/01/2023,1600702637,4650.00,0.00,4650.00,Right-Step Ltd,People (Childrens) Service Group,Children & Young Persons Act-Section 23
Salford City Council,11/01/2023,1600702121,1340.40,223.40,1117.00,S & S Marquees Ltd,Service Reform (Corp Bus & Transform),Contractors
Salford City Council,11/01/2023,1600702607,2309.12,384.85,1924.27,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,11/01/2023,1600702605,4932.28,822.05,4110.23,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,11/01/2023,1600702100,-57197.57,0.00,-57197.57,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,11/01/2023,1600702095,68637.08,11439.51,57197.57,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,11/01/2023,1600702644,8029.34,0.00,8029.34,Salvation Army Housing Association-,People (Adults) - CHSC,Payments to Agencies
Salford City Council,11/01/2023,1600702094,503.48,83.91,419.57,Schofield & Sons,Service Reform (Corp Bus & Transform),UV Day to Day Repairs
Salford City Council,11/01/2023,1600702560,633.08,105.51,527.57,Schofield & Sons,Place Directorate,UV Day to Day Repairs
Salford City Council,11/01/2023,1600702453,1009.45,168.24,841.21,Schofield & Sons,Place Directorate,UV Day to Day Repairs
Salford City Council,11/01/2023,1600701655,9691.96,1615.33,8076.63,Schofield & Sons,Capital Expenditure,Works & Building
Salford City Council,11/01/2023,601479749,1248.00,208.00,1040.00,Sennen Education,People (Childrens) Service Group,Agency Fees
Salford City Council,11/01/2023,601480624,3436.00,0.00,3436.00,St. Marys Bowling Club,Place Directorate,Payments to Voluntary Organisations
Salford City Council,11/01/2023,601480618,546.34,0.00,546.34,Swinton Amateur Swimming Club,Place Directorate,Payments to Voluntary Organisations
Salford City Council,11/01/2023,601480620,819.36,0.00,819.36,Swinton Amateur Swimming Club,Place Directorate,Payments to Voluntary Organisations
Salford City Council,11/01/2023,601480621,1283.00,0.00,1283.00,Swinton Amateur Swimming Club,Place Directorate,Payments to Voluntary Organisations
Salford City Council,11/01/2023,601480617,6645.92,0.00,6645.92,Swinton Amateur Swimming Club,Place Directorate,Payments to Voluntary Organisations
Salford City Council,11/01/2023,601480534,824.70,137.45,687.25,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,11/01/2023,601480658,4531.74,755.29,3776.45,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,11/01/2023,601480673,4548.12,758.02,3790.10,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,11/01/2023,601480672,5241.30,873.55,4367.75,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,11/01/2023,1600702103,15219.20,0.00,15219.20,The Endorphins Group,People (Childrens) Service Group,Payments to Agencies
Salford City Council,11/01/2023,1600702591,8333.33,0.00,8333.33,Thompsons Academy Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,11/01/2023,1600702618,2479.66,0.00,2479.66,Together Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,11/01/2023,1600702617,3270.54,0.00,3270.54,Together Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,11/01/2023,1600702610,3400.00,0.00,3400.00,Together Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,11/01/2023,1600702616,3558.33,0.00,3558.33,Together Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,11/01/2023,1600702615,3826.88,0.00,3826.88,Together Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,11/01/2023,1600702619,4189.92,0.00,4189.92,Together Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,11/01/2023,1600702097,6401.12,1066.85,5334.27,Wilde Consultant Engineers Ltd,Capital Expenditure,External Fees - Other
Salford City Council,11/01/2023,1600702628,22916.00,0.00,22916.00,Witherslack Group Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,11/01/2023,1600702624,23007.00,0.00,23007.00,Witherslack Group Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,11/01/2023,1600702626,24852.00,0.00,24852.00,Witherslack Group Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,11/01/2023,1600702627,24852.00,0.00,24852.00,Witherslack Group Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,11/01/2023,1600702625,24855.33,0.00,24855.33,Witherslack Group Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,11/01/2023,1600702629,26492.00,0.00,26492.00,Witherslack Group Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,11/01/2023,1600702630,6000.00,0.00,6000.00,Ymca Training Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,11/01/2023,1600702635,602.77,100.46,502.31,Yorkshire Purchasing Organisation L,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,12/01/2023,601480738,4410.00,0.00,4410.00,Abc Coach Hire Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,6003632129,733.69,122.40,611.29,Amznmktplace,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,12/01/2023,6003632070,2842.00,473.60,2368.40,Amznmktplace,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,12/01/2023,1600702739,612.00,102.00,510.00,Ashbrook (Warrington) Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,12/01/2023,1600702745,1013.40,168.90,844.50,Associated Cleaning Contractors Ltd,Place Directorate,Cleaning Services
Salford City Council,12/01/2023,601480772,636.75,17.19,619.56,Brake Bros Ltd,People (Childrens) Service Group,Food and refreshments
Salford City Council,12/01/2023,601480776,1950.00,0.00,1950.00,Brittania Minibuses Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480793,2340.00,390.00,1950.00,Buzz2Go Minibuses Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,1600702674,1587.32,264.55,1322.77,C P Davidson & Sons Ltd,Place Directorate,VMS Materials (Non Stock)
Salford City Council,12/01/2023,1600702691,7050.00,1175.00,5875.00,Colin Masters Decorators Ltd,People (Childrens) Service Group,non -UV Building Repairs & Maintenance
Salford City Council,12/01/2023,1600702753,2160.00,360.00,1800.00,Concerto Support Services Ltd,Capital Expenditure,Purchase of Furniture & Equipment
Salford City Council,12/01/2023,1600702720,17692.01,0.00,17692.01,Courtyard Care Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,12/01/2023,6003632170,1080.20,0.00,1080.20,Creamline Dairies Red Ban,Place Directorate,Food and refreshments
Salford City Council,12/01/2023,6003632202,1204.00,0.00,1204.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003632059,1484.00,0.00,1484.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003632148,1484.00,0.00,1484.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631867,2396.80,0.00,2396.80,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631889,2996.00,0.00,2996.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631933,2996.00,0.00,2996.00,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631930,3595.20,0.00,3595.20,Divrse 1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003632020,599.20,0.00,599.20,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003632180,1204.00,0.00,1204.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631980,1484.00,0.00,1484.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631896,2925.00,0.00,2925.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003632015,2990.00,0.00,2990.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631840,2996.00,0.00,2996.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631809,4793.60,0.00,4793.60,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631939,1797.60,0.00,1797.60,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003632090,1797.60,0.00,1797.60,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631829,2396.80,0.00,2396.80,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631911,2396.80,0.00,2396.80,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631981,2396.80,0.00,2396.80,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003632033,2396.80,0.00,2396.80,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,6003631970,2996.00,0.00,2996.00,Divrse P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,1600702730,800.00,0.00,800.00,Djg Consultancy & Training,People (Childrens) Service Group,Consultants
Salford City Council,12/01/2023,1600702734,800.00,0.00,800.00,Djg Consultancy & Training,People (Childrens) Service Group,Consultants
Salford City Council,12/01/2023,1600702736,800.00,0.00,800.00,Djg Consultancy & Training,People (Childrens) Service Group,Consultants
Salford City Council,12/01/2023,1600702717,1645.92,274.32,1371.60,Dolphin Mobility Ltd,Capital Expenditure,Miscellaneous Grants
Salford City Council,12/01/2023,1600702705,5664.00,944.00,4720.00,Dolphin Mobility Ltd,Capital Expenditure,Miscellaneous Grants
Salford City Council,12/01/2023,1600702741,3900.42,650.07,3250.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,12/01/2023,1600702742,3900.42,650.07,3250.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,12/01/2023,1600702743,3900.42,650.07,3250.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,12/01/2023,1600702747,3900.42,650.07,3250.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,12/01/2023,1600702716,4086.42,681.07,3405.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,12/01/2023,1600702744,4086.42,681.07,3405.35,Econ Engineering Ltd,Place Directorate,Principal Road Maintenance
Salford City Council,12/01/2023,6003632040,12795.93,0.00,12795.93,Ee Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax Machines
Salford City Council,12/01/2023,6003631843,12845.66,0.00,12845.66,Ee Ltd,Service Reform (Corp Bus & Transform),Telephones & Fax Machines
Salford City Council,12/01/2023,601480783,1181.23,196.87,984.36,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480780,1458.66,0.00,1458.66,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480731,1538.60,0.00,1538.60,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480782,2078.64,346.44,1732.20,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480810,577.08,96.18,480.90,First City Fire & Security Ltd,People (Childrens) Service Group,Grounds Maintenance
Salford City Council,12/01/2023,601480747,590.77,98.46,492.31,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,12/01/2023,601480751,593.50,98.91,494.59,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,12/01/2023,601480741,947.27,157.89,789.38,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,12/01/2023,601480749,1381.17,230.19,1150.98,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,12/01/2023,601480727,1316.00,0.00,1316.00,Graham Wakefield,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,1600702690,2052.00,342.00,1710.00,Granart Memorials,Place Directorate,General Resaleable Items
Salford City Council,12/01/2023,1600702700,1214.66,0.00,1214.66,Greater Manchester Combined,Place Directorate,Contractors
Salford City Council,12/01/2023,1600702703,1277.96,0.00,1277.96,Greater Manchester Combined,Place Directorate,Contractors
Salford City Council,12/01/2023,1600702704,5040.00,840.00,4200.00,Griffin Care Training Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,12/01/2023,6003632003,1389.95,0.00,1389.95,Hn Nuttall Ltd,Place Directorate,non -UV Building Repairs & Maintenance
Salford City Council,12/01/2023,601480450,692.48,0.00,692.48,Jc Services,People (Childrens) Service Group,non -UV Building Repairs & Maintenance
Salford City Council,12/01/2023,6003631832,527.00,0.00,527.00,Jet2.Com Fdm7980071480816,Place Directorate,Staff Travel
Salford City Council,12/01/2023,6003631919,527.00,0.00,527.00,Jet2.Com Ltd7980071477798,Place Directorate,Staff Travel
Salford City Council,12/01/2023,6003631861,527.00,0.00,527.00,Jet2.Com Ltd7980071478592,Place Directorate,Staff Travel
Salford City Council,12/01/2023,1600702719,4550.88,758.48,3792.40,Keys Pce Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,12/01/2023,601480739,648.00,108.00,540.00,Kvn Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480705,1241.28,206.88,1034.40,Kvn Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480725,840.00,0.00,840.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480710,897.00,0.00,897.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480711,1050.00,0.00,1050.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480729,1080.00,0.00,1080.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480734,1188.00,0.00,1188.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480735,1200.00,0.00,1200.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480724,1320.00,0.00,1320.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480732,1400.00,0.00,1400.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480728,1424.00,0.00,1424.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480730,1470.00,0.00,1470.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480715,1698.75,0.00,1698.75,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480717,2250.00,0.00,2250.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480714,2340.00,0.00,2340.00,Liddle Private Hire,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480722,12635.37,0.00,12635.37,Manchester City Council,People (Adults) - CHSC,Salaries and Wages reallocated
Salford City Council,12/01/2023,601480726,1896.75,0.00,1896.75,Marmion Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480789,1627.28,0.00,1627.28,Martin J Armson T/A Martins Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480797,2182.80,363.80,1819.00,Mcr Blackcab Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480737,960.00,0.00,960.00,Mikes Merc,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480784,700.00,0.00,700.00,P A Devine T/A Hope Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480803,506.40,0.00,506.40,Pearson Education Ltd,People (Childrens) Service Group,Other Professional Fees
Salford City Council,12/01/2023,601480799,26384.18,4397.36,21986.82,Peel Media Ltd,Service Reform (Corp Bus & Transform),Service Tenancies
Salford City Council,12/01/2023,6003631873,1092.00,0.00,1092.00,Premier Inn,People (Childrens) Service Group,Staff Travel
Salford City Council,12/01/2023,6003631928,549.60,0.00,549.60,Premier Screens Ltd,Place Directorate,Furniture
Salford City Council,12/01/2023,1600702721,16975.96,0.00,16975.96,Prestolee Multi Academy Trust,People (Childrens) Service Group,Water
Salford City Council,12/01/2023,601479639,875.00,0.00,875.00,Property Services Northwest Ltd,People (Adults) - CHSC,Contractors
Salford City Council,12/01/2023,6003632151,1572.45,0.00,1572.45,Quayside Bakery,Place Directorate,Food and refreshments
Salford City Council,12/01/2023,1600702712,1150.66,191.78,958.88,Quickco Ltd,Place Directorate,Works & Building
Salford City Council,12/01/2023,601480703,889.20,0.00,889.20,R & G Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480736,812.00,0.00,812.00,R Hughes Travel,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480713,585.00,0.00,585.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480716,704.00,0.00,704.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480787,839.16,0.00,839.16,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480708,1091.30,0.00,1091.30,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480707,1105.44,0.00,1105.44,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480712,1170.00,0.00,1170.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480785,1176.00,0.00,1176.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480795,1200.00,0.00,1200.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480706,1325.66,0.00,1325.66,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480709,1696.05,0.00,1696.05,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480792,1743.75,0.00,1743.75,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480816,39535.00,0.00,39535.00,Salix Homes Ltd,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,601480723,513.60,85.60,428.00,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480719,1562.40,260.40,1302.00,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480720,1728.00,288.00,1440.00,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480718,2603.33,433.89,2169.44,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480721,3500.70,583.45,2917.25,Saltax Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,6003631926,810.90,0.00,810.90,Sq *Vsc Plus Limited,People (Childrens) Service Group,Training expenses
Salford City Council,12/01/2023,1600702751,4243.07,707.18,3535.89,Standard Fuel Oils Ltd,Place Directorate,Vehicle Ancillary Costs
Salford City Council,12/01/2023,6003632187,725.00,0.00,725.00,Sumup *Jf Services,People (Adults) - CHSC,General Repairs
Salford City Council,12/01/2023,6003632152,550.00,0.00,550.00,Sumup *Lmac Roofing,People (Adults) - CHSC,Subscriptions
Salford City Council,12/01/2023,6003631831,940.00,0.00,940.00,Suresolutionsgroupltd,People (Adults) - CHSC,General Repairs
Salford City Council,12/01/2023,6003632055,560.00,0.00,560.00,Surewaste,People (Adults) - CHSC,Client Travel Expenses
Salford City Council,12/01/2023,601480777,1540.00,0.00,1540.00,T/A D & H Enterprises,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480779,1800.00,0.00,1800.00,T/A D & H Enterprises,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480778,1960.00,0.00,1960.00,T/A D & H Enterprises,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480791,735.00,0.00,735.00,T/A Scotts Cars Manchester Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480701,637.63,106.27,531.36,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480679,646.40,107.73,538.67,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480678,655.10,109.18,545.92,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480702,662.88,110.48,552.40,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480676,713.50,118.92,594.58,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480698,936.00,156.00,780.00,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480688,1000.37,166.73,833.64,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480684,1015.20,169.20,846.00,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480692,1025.28,170.88,854.40,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480685,1172.64,195.44,977.20,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480697,1247.23,207.87,1039.36,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480694,1256.64,209.44,1047.20,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480696,1256.64,209.44,1047.20,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480683,1298.70,216.45,1082.25,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480691,1360.66,226.78,1133.88,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480700,1363.15,227.19,1135.96,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480704,1402.56,233.76,1168.80,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480681,1484.10,247.35,1236.75,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480682,1501.02,250.17,1250.85,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480677,1509.50,251.58,1257.92,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480680,1516.32,252.72,1263.60,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480686,1549.13,258.19,1290.94,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480690,2002.32,333.72,1668.60,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480687,2419.49,403.25,2016.24,Taxis Transfers Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,12/01/2023,601480811,558.00,93.00,465.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,12/01/2023,601480814,816.00,136.00,680.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,12/01/2023,601480812,828.00,138.00,690.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,12/01/2023,601480806,9428.38,0.00,9428.38,The Albion Academy,Place Directorate,Electricity
Salford City Council,12/01/2023,1600698898,4900.00,0.00,4900.00,The Jewel Foundation,People (Childrens) Service Group,Payments to Agencies
Salford City Council,12/01/2023,601480773,20646.00,0.00,20646.00,The Lowry Centre Trust,Place Directorate,Payments to Voluntary Organisations
Salford City Council,12/01/2023,601480771,39980.00,0.00,39980.00,The Lowry Centre Trust,Place Directorate,Payments to Voluntary Organisations
Salford City Council,12/01/2023,1600702754,547.20,91.20,456.00,Time Recruitment Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,12/01/2023,1600702688,550.80,91.80,459.00,Time Recruitment Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,12/01/2023,1600702715,1317.60,219.60,1098.00,Time Recruitment Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,12/01/2023,6003631805,514.90,0.00,514.90,Trivelles Crosslane,People (Adults) - CHSC,Rents
Salford City Council,12/01/2023,1600702733,504.00,84.00,420.00,Wesley Music,Place Directorate,General Resaleable Items
Salford City Council,12/01/2023,1600702735,720.00,120.00,600.00,Wesley Music,Place Directorate,General Resaleable Items
Salford City Council,12/01/2023,6003632030,1272.00,0.00,1272.00,Www.Salford.Gov.Uk,Place Directorate,Licencing
Salford City Council,12/01/2023,601480801,2592.00,432.00,2160.00,Xma Ltd,Service Reform (Corp Bus & Transform),Computer Equipment purchase
Salford City Council,12/01/2023,6003631853,700.00,0.00,700.00,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
Salford City Council,12/01/2023,6003632041,700.00,0.00,700.00,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
Salford City Council,12/01/2023,6003632136,700.00,0.00,700.00,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
Salford City Council,12/01/2023,6003631922,900.00,0.00,900.00,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
Salford City Council,12/01/2023,6003631849,1070.00,0.00,1070.00,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
Salford City Council,13/01/2023,1600702776,4896.00,816.00,4080.00,Accenture (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,13/01/2023,1600702777,4896.00,816.00,4080.00,Accenture (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,13/01/2023,1600702817,622.92,103.82,519.10,Alliance Disposables Ltd,Capital Expenditure,Works & Building
Salford City Council,13/01/2023,601480822,525.43,25.55,499.88,Brake Bros Ltd,People (Childrens) Service Group,Housekeeping
Salford City Council,13/01/2023,601480821,646.07,20.41,625.66,Brake Bros Ltd,People (Childrens) Service Group,Housekeeping
Salford City Council,13/01/2023,1600702771,575.12,95.85,479.27,Calligraphy Uk Ltd,Place Directorate,General Resaleable Items
Salford City Council,13/01/2023,1600702772,830.48,138.41,692.07,Calligraphy Uk Ltd,Place Directorate,General Resaleable Items
