Ref,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
121,CAB,Cabinet Office,20-Dec-24,IA - POA & AUC - COST - ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,PA CONSULTING SERVICES LTD,1037232986,"380,530.00"
122,CAB,Cabinet Office,20-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,COD OFFICIAL LIVE SERVICE,XMA LTD,1037232987,"33,297.60"
123,CAB,Cabinet Office,20-Dec-24,EXP - CAPITAL GRANTS TO PRIVATE SECTOR - COMPANIES,CSMR - EVALUATION TASKFORCE,WHAT WORKS FOR CHILDRENS SOCIAL CARE,1037232990,"109,879.00"
124,CAB,Cabinet Office,20-Dec-24,Exp - Purchase Of Goods/Services - Contractors,IPA PFI EXPIRY,ALEXANDER MANN SOLUTIONS LTD-2WM,1037233023,"147,280.69"
125,CAB,Cabinet Office,20-Dec-24,Exp - Purchase Of Goods/Services - Contractors,COD CYBER SECURITY OPS & ADMIN,ALEXANDER MANN SOLUTIONS LTD-2WM,1037233023,"60,226.63"
126,CAB,Cabinet Office,20-Dec-24,Exp - Purchase Of Goods/Services - Contractors,COD DEVELOPMENT AND ENGINEERING,ALEXANDER MANN SOLUTIONS LTD-2WM,1037233023,"37,355.19"
127,CAB,Cabinet Office,20-Dec-24,Exp - Purchase Of Goods/Services - Contractors,COD FALCON,ALEXANDER MANN SOLUTIONS LTD-2WM,1037233023,"25,234.26"
128,CAB,Cabinet Office,20-Dec-24,Exp - Purchase Of Goods/Services - Contractors,FACULTY & SERVICE DELIVERY,ALEXANDER MANN SOLUTIONS LTD-2WM,1037233023,"29,710.32"
129,CAB,Cabinet Office,20-Dec-24,EXP - CAPITAL GRANTS TO PRIVATE SECTOR - COMPANIES,CSMR - EVALUATION TASKFORCE,COLLEGE OF POLICING,1037233046,"132,762.03"
130,CAB,Cabinet Office,20-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,GPG - INDIVIDUAL DEVELOPMENT PROGRAMME,CSL ERNST & YOUNG,1037233119,"44,750.00"
131,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,JOINT DATA & ANALYSIS CENTRE (ADMIN),SAVANTA GROUP LTD,1037233219,"29,900.00"
132,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS - FUTURE SERVICES,DLA PIPER UK LLP,1037233277,"27,483.11"
133,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,6 POINT 6 LTD,1037233290,"220,460.00"
134,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,6 POINT 6 LTD,1037233290,"44,092.00"
135,CAB,Cabinet Office,23-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,6 POINT 6 LTD,1037233290,"166,757.00"
136,CAB,Cabinet Office,23-Dec-24,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS - IT CONSULTANCY ADDITIONS,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,6 POINT 6 LTD,1037233290,"33,351.40"
137,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037233304,"35,400.60"
138,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037233304,"1,913,007.98"
139,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037233304,"726,231.18"
140,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037233304,"362,093.09"
141,CAB,Cabinet Office,23-Dec-24,IA - INFORMATION TECHNOLOGY - COST - ADDITIONS - SOFTWARE ADDITIONS,SITUATION CENTRE (PROG),BRITISH TELECOMMUNICATIONS PLC,1037233305,"102,332.00"
142,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037233306,"84,744.93"
143,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037233306,"165,503.87"
144,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,1037233306,"252,529.35"
145,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MY CSP LTD,1037233307,"40,474.94"
146,CAB,Cabinet Office,23-Dec-24,IA - SOFTWARE LICENCES - COST - ADDITIONS,GRS SERVICE DELIVERY,LINKEDIN IRELAND,1037233315,"136,520.00"
147,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY - TECHNICAL,PSFA CORE SERVICES,DELOITTE LLP,1037233324,"36,599.21"
148,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - LIVE SERVICE,IPROOV LTD,1037233351,"226,069.31"
149,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - LIVE SERVICE,IPROOV LTD,1037233351,"259,076.23"
150,CAB,Cabinet Office,24-Dec-24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,OFFICE FOR VETERANS AFFAIRS (PROG),KINGS COLLEGE LONDON,1037233355,"43,433.67"
151,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037233359,"71,597.46"
152,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,PSFA NATIONAL FRAUD INITIATIVE,SYNECTICS SOLUTIONS LTD,1037233367,"87,500.00"
153,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,SYNECTICS SOLUTIONS LTD,1037233367,"100,000.00"
154,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,SYNECTICS SOLUTIONS LTD,1037233367,"150,000.00"
155,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,SYNECTICS SOLUTIONS LTD,1037233367,"2,250,000.00"
156,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,SYNECTICS SOLUTIONS LTD,1037233367,"30,000.00"
157,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,GDS - IDENTITY SERVICES - PRODUCT DELIVERY & DATA - OL,SYNECTICS SOLUTIONS LTD,1037233367,"450,000.00"
158,CAB,Cabinet Office,24-Dec-24,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CDDO EXECUTIVE TEAM,SANDERSON GOVERNMENT & DEFENCE LTD,1037233368,"635,310.60"
159,CAB,Cabinet Office,24-Dec-24,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CDDO EXECUTIVE TEAM,SANDERSON GOVERNMENT & DEFENCE LTD,1037233368,"127,062.11"
160,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037233369,"39,732.80"
161,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037233369,"57,115.90"
162,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037233369,"29,028.20"
163,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037233369,"77,211.25"
164,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037233369,"29,426.15"
165,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037233369,"172,829.00"
166,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD PORTFOLIO DELIVERY,CGI IT UK LTD,1037233369,"34,565.80"
167,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY - TECHNICAL,CDDO MODERNISING TECHNOLOGY,CAPGEMINI UK PLC,1037233370,"36,480.00"
168,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY - TECHNICAL,CDDO MODERNISING TECHNOLOGY,CAPGEMINI UK PLC,1037233370,"42,240.00"
169,CAB,Cabinet Office,24-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,PROJECT GBNI (PROG),CORPORATE TRAVEL MANAGEMENT NORTH LTD,1037233455,"1,998,185.22"
170,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,GBS - STRATEGY AND POLICY (ADMIN),PEREGRINE INTERNATIONAL,1037233521,"172,617.28"
171,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELECOM RENTALS,GDS - NOTIFY PLATFORM,FIRETEXT COMMUNICATIONS LTD,1037233588,"1,791,403.84"
172,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELECOM RENTALS,GDS - NOTIFY PLATFORM,FIRETEXT COMMUNICATIONS LTD,1037233588,"358,280.77"
173,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,CAPABILITY - RULES REFORM,KPMG,1037233601,"107,671.21"
174,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037233602,"48,271.48"
175,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037233602,"47,785.33"
176,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - PCSPS PENSIONS (ADMIN),MYCSP LTD,1037233602,"112,753.50"
177,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERVICES OUTSOURCING,FAST STREAM LEARNING & DEVELOPMENT,SHARED SERVICES CONNECTED LTD,1037233603,"284,970.00"
178,CAB,Cabinet Office,27-Dec-24,Exp - Purchase Of Goods/Services - Contractors,GDS - BUSINESS SERVICES,SANDERSON GOVERNMENT & DEFENCE LTD,1037233619,"557,138.30"
179,CAB,Cabinet Office,27-Dec-24,Exp - Purchase Of Goods/Services - Contractors,GDS - BUSINESS SERVICES,SANDERSON GOVERNMENT & DEFENCE LTD,1037233619,"111,427.65"
180,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER,CDDO MODERNISING TECHNOLOGY,CAPGEMINI UK PLC,1037233620,"125,002.00"
181,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,GRS THIRD PARTY PROVISION,PEOPLESCOUT LTD,1037233655,"34,357.33"
182,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - PENSIONS PAYROLL CONTRACTOR (FIXED FEE),GBS - RM PENSIONS (ADMIN),CAPITA PENSION SOLUTIONS LTD,1037233673,"97,424.98"
183,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - ADVERTISING,COMMS - GREAT CAMPAIGN TEAM,TULLO MARSHALL WAREN LTD,1037233696,"26,088.30"
184,CAB,Cabinet Office,30-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,COD STRATEGY AND TRANSFORMATION,ARCULUS CYBER SECURITY LTD,1037233758,"37,968.75"
185,CAB,Cabinet Office,30-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - MONITORING SERVICES,LGBT PROGRAMME,GALOP,1037233771,"30,000.00"
186,CAB,Cabinet Office,31-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,GDS DIGITAL SERVICE PLATFORMS - ONE LOGIN,FUJITSU SERVICES LTD,1037233900,"82,495.25"
187,CAB,Cabinet Office,31-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - CONSULTANCY - TECHNICAL,PSFA DATA,DELOITTE LLP,1037233903,"26,317.50"
188,CAB,Cabinet Office,02-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - FM CONTRACT VARIABLE,FACILITIES MANAGEMENT,GOVERNMENT PROPERTY AGENCY GPA,2037003381,"25,191.91"
189,CAB,Cabinet Office,02-Dec-24,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD - GRANT IN AID PRIVATE SECTOR,IBCA - FINANCE AND COMMERCIAL,INFECTED BLOOD COMPENSATION AUTHORITY (IBCA),2037003384,"30,500,000.00"
190,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,PMO OVERSEAS VISITS,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,2037003393,"37,609.89"
191,CAB,Cabinet Office,04-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,PMO OVERSEAS VISITS,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,2037003393,"126,382.35"
192,CAB,Cabinet Office,11-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003411,"1,069,166.38"
193,CAB,Cabinet Office,11-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003411,"92,114.99"
194,CAB,Cabinet Office,13-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,ROSEBERY COURT FM CONTRACT,GOVERNMENT PROPERTY AGENCY-2WM,2037003427,"65,276.79"
195,CAB,Cabinet Office,13-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ROSEBERY COURT FM CONTRACT,GOVERNMENT PROPERTY AGENCY-2WM,2037003427,"74,110.35"
196,CAB,Cabinet Office,16-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,70 WHITEHALL,GOVERNMENT PROPERTY AGENCY-2WM,2037003430,"1,645,169.91"
197,CAB,Cabinet Office,16-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,70 WHITEHALL,GOVERNMENT PROPERTY AGENCY-2WM,2037003430,"2,071,999.60"
198,CAB,Cabinet Office,16-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ROSEBERY COURT FM CONTRACT,GOVERNMENT PROPERTY AGENCY-2WM,2037003430,"175,970.28"
199,CAB,Cabinet Office,16-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003430,"31,852.92"
200,CAB,Cabinet Office,16-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003430,"31,852.92"
201,CAB,Cabinet Office,16-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003430,"96,502.37"
202,CAB,Cabinet Office,16-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003430,"107,736.54"
203,CAB,Cabinet Office,16-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003430,"173,176.43"
204,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003449,"45,367.93"
205,CAB,Cabinet Office,23-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003449,"35,005.61"
206,CAB,Cabinet Office,23-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003449,"37,692.42"
207,CAB,Cabinet Office,23-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003449,"25,068.52"
208,CAB,Cabinet Office,23-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003449,"31,152.48"
209,CAB,Cabinet Office,23-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003449,"27,816.23"
210,CAB,Cabinet Office,23-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003449,"159,546.82"
211,CAB,Cabinet Office,23-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003449,"48,238.88"
212,CAB,Cabinet Office,27-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,10 VICTORIA STREET,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"55,210.11"
213,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,35 GREAT SMITH STREET,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"357,686.71"
214,CAB,Cabinet Office,27-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,35 GREAT SMITH STREET,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"489,801.81"
215,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,DOVER HOUSE,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"161,218.67"
216,CAB,Cabinet Office,27-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,DOVER HOUSE,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"98,919.65"
217,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"140,564.40"
218,CAB,Cabinet Office,27-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"744,072.90"
219,CAB,Cabinet Office,27-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,CABINET OFFICE REGIONAL OFFICES,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"237,520.90"
220,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"96,362.92"
221,CAB,Cabinet Office,27-Dec-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"157,595.76"
222,CAB,Cabinet Office,27-Dec-24,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,ESTATES MANAGEMENT COSTS,GOVERNMENT PROPERTY AGENCY-2WM,2037003455,"208,763.96"
223,CAB,Crown Commercial Service,02-Dec-24,Accommodation Costs,Finance,TravelPerk UK IRL Ltd,SINV-000025513,"92,636.98"
224,CAB,Crown Commercial Service,03-Dec-24,Surge Outsourcing,Investment Projects Products and Services,Alexander Mann Solutions Limited,SINV-000025517,"76,800.00"
225,CAB,Crown Commercial Service,04-Dec-24,Service Fee,Proc Ops SMT & Central Teams,Mercato Solutions Ltd,SINV-000025532,"57,000.00"
226,CAB,Crown Commercial Service,04-Dec-24,Digital Transformation Partners,Investment Projects Digital and Data,FSP Consulting Services Limited,SINV-000025533,"26,927.64"
227,CAB,Crown Commercial Service,05-Dec-24,MOU Commission Share - Corporate Services,Professional Services,CABINET OFFICE,SINV-000025545,"551,257.39"
228,CAB,Crown Commercial Service,05-Dec-24,Digital Transformation Partners,Investment Projects Digital and Data,Global Resourcing,SINV-000025576,"37,800.00"
229,CAB,Crown Commercial Service,05-Dec-24,Surge Outsourcing,Investment Projects Digital and Data,Alexander Mann Solutions Limited,SINV-000025574,"34,200.00"
230,CAB,Crown Commercial Service,05-Dec-24,Licence Costs,Proc Ops SMT & Central Teams,Cinos Limited,SINV-000025577,"28,361.60"
231,CAB,Crown Commercial Service,06-Dec-24,Licence Costs,Data Management,BravoSolution Uk Ltd,SINV-000025579,"318,362.40"
232,CAB,Crown Commercial Service,06-Dec-24,IT Development Costs,DDS Service Delivery Partners,Better Group Ltd (t/a BetterGov),SINV-000025583,"94,602.60"
233,CAB,Crown Commercial Service,06-Dec-24,Service Fee,Service Management,Amazon Web Services,SINV-000025581,"65,149.08"
234,CAB,Crown Commercial Service,09-Dec-24,Surge Outsourcing,Finance,Arvato Ltd,SINV-000025591,"85,449.26"
235,CAB,Crown Commercial Service,09-Dec-24,Service Fee,Proc Ops SMT & Central Teams,Brickendon Consulting Ltd,SINV-000025594,"66,000.00"
236,CAB,Crown Commercial Service,09-Dec-24,MOU Commission Share - Buildings,Construction,NHS England,SINV-000025589,"53,363.51"
237,CAB,Crown Commercial Service,10-Dec-24,Functional Training,HR,Ernst & Young,SINV-000024627,"60,060.00"
238,CAB,Crown Commercial Service,10-Dec-24,External Communications,Marketing & Communications,Onclusive t/a Precise Media Monitoring Ltd,SINV-000025606,"48,000.00"
239,CAB,Crown Commercial Service,16-Dec-24,Surge Outsourcing,Investment Projects Digital and Data,FSP Consulting Services Limited,SINV-000025700,"299,071.69"
240,CAB,Crown Commercial Service,16-Dec-24,Procurement Capability,Customer Capability,Improvement & Development Agency,SINV-000025635,"214,572.00"
241,CAB,Crown Commercial Service,16-Dec-24,Surge Outsourcing,Investment Projects Digital and Data,Alexander Mann Solutions Limited,SINV-000025646,"108,000.00"
242,CAB,Crown Commercial Service,16-Dec-24,Surge Outsourcing,CEO & Private Office,Alexander Mann Solutions Limited,SINV-000025682,"66,240.00"
243,CAB,Crown Commercial Service,16-Dec-24,Surge Outsourcing,CEO & Private Office,Alexander Mann Solutions Limited,SINV-000025648,"60,720.00"
244,CAB,Crown Commercial Service,16-Dec-24,IT Development Costs,DDS Service Delivery Partners,Alexander Mann Solutions Limited,SINV-000025665,"54,810.00"
245,CAB,Crown Commercial Service,16-Dec-24,Marketing Planned Campaigns,Marketing & Communications,Republic Of Media Limited,SINV-000025669,"48,700.80"
246,CAB,Crown Commercial Service,16-Dec-24,Surge Outsourcing,CEO & Private Office,Alexander Mann Solutions Limited,SINV-000025659,"38,640.00"
247,CAB,Crown Commercial Service,17-Dec-24,Consultancy Fees (Advice & Guidance),Investment Projects Products and Services,DELOITTE LLP,SINV-000025703,"60,336.00"
