Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,05/01/2024,Contact Platform Ser,CDIO - Core,CAPGEMINI,5100058438,"26,222.31",Contact Platform Ser,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Contact Platform Ser,CDIO - Core,CAPGEMINI,5100058439,"117,281.90",Contact Platform Ser,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Contact Platform Ser,CDIO - Core,CAPGEMINI,5100058485,"665,292.34",Contact Platform Ser,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Maintenance fees,CDIO - Core,FUJITSU SERVICES LTD,5100058488,"316,162.02",Maintenance fees,WA3 6GD,,,,
HMRC,HMRC,05/01/2024,Grant in Aid Funding,Intermediaries,GINGERBREAD,5100058489,"42,604.10",Grant in Aid Funding,NW5 3AQ,,,,
HMRC,HMRC,05/01/2024,Legal Solicitors fee,Solicitor's Office & Legal Services,SUMMIT LAW LLP,5100058498,"34,835.30",Legal services,WC1B 4JP,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays HMRC,CDIO - Core,VERSION 1 SOLUTIONS LTD,5100058508,"49,830.00",PROJECT Mandays HMRC,B97 4DL,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays HMRC,Operational Excellence & Output Mgmt,CAPGEMINI,5100058510,"44,513.20",PROJECT Mandays HMRC,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,Cons ad imp (Ir VAT),CDIO Transformation Programmes,ERNST & YOUNG LLP,5100058517,"174,928.80",Cons ad imp (Ir VAT),SE1 2AF,,,,
HMRC,HMRC,05/01/2024,Cons ad imp (Ir VAT),CDIO Transformation Programmes,ERNST & YOUNG LLP,5100058519,"79,537.20",Cons ad imp (Ir VAT),SE1 2AF,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100058521,"44,451.00",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,05/01/2024,Contin Labor Build,B&T Border Change Delivery,Automation Logic,5100058526,"77,675.00",Customs Declaration Service Contractor Costs,EC3V 1LP,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,COGNIZANT Technology Solutions,5100058535,"71,038.66",PROJECT Mandays Supp,EC2M 4AG,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,CDIO - Core,CAPGEMINI,5100058536,"243,610.35",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,COGNIZANT Technology Solutions,5100058537,"86,066.08",PROJECT Mandays Supp,EC2M 4AG,,,,
HMRC,HMRC,05/01/2024,Contin Labor Build,B&T Border Change Delivery,Automation Logic,5100058539,"118,722.50",Customs Declaration Service Contractor Costs,EC3V 1LP,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,CDIO - Core,CAPGEMINI,5100058540,"44,915.20",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,COGNIZANT Technology Solutions,5100058543,"430,330.36",PROJECT Mandays Supp,EC2M 4AG,,,,
HMRC,HMRC,05/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,COGNIZANT Technology Solutions,5100058545,"86,066.08",PROJECT Mandays Supp,EC2M 4AG,,,,
HMRC,HMRC,05/01/2024,GovDept Serv(VAT Ex),CSG Transformation,NATIONAL SAVINGS & INVESTMENTS,5100058547,"2,098,736.80",GovDept Serv(VAT Ex),SW1V 2QX,,,,
HMRC,HMRC,05/01/2024,Contin Labor Build,CDIO - Core,ATELIER7 Ltd,5100058552,"50,000.00",Contin Labor Build,SE1 8DJ,,,,
HMRC,HMRC,08/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900447408,"75,682.84",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,System Maintenance,CDIO - Core,FUJITSU SERVICES LTD,1900447410,"188,128.33",System Maintenance,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900447412,"844,339.46",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,IT Software Licenses and Support,CDIO - Core,FUJITSU SERVICES LTD,1900447413,"292,946.53",IT Software Licenses and Support,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900447414,"355,540.83",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,IT Software Licenses and Support,CDIO - Core,FUJITSU SERVICES LTD,1900447415,"433,734.38",IT Software Licenses and Support,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,I.T.-Hardware Maintenance,CDIO - Core,FUJITSU SERVICES LTD,1900447416,"1,413,029.58",I.T.-Hardware Maintenance,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900447419,"142,677.58",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100058553,"31,707.77",IT contractors,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058554,"22,117.51",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,Baringa Partners LLP,5100058555,"76,476.00",PROJECT Mandays HMRC,SW1E 6AJ,,,,
HMRC,HMRC,08/01/2024,Consultancy – IT,Transformation DG & Programme Office,SALESFORCE UK LTD,5100058557,"25,688.25",Consultancy – IT,EC2N 4AY,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Risk & Intelligence,CAPGEMINI,5100058561,"23,728.24",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Risk & Intelligence,CAPGEMINI,5100058567,"120,505.28",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Risk & Intelligence,CAPGEMINI,5100058570,"131,846.00",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Risk & Intelligence,CAPGEMINI,5100058573,"90,447.17",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,Projects VAT irrec,Programme and Operational Delivery,FUJITSU SERVICES LTD,5100058619,"385,524.94",Projects VAT irrec,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,Contin Labor Build,Transformation DG & Programme Office,CAPGEMINI,5100058623,"57,619.77",Contin Labor Build,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,Projects VAT irrec,Programme and Operational Delivery,FUJITSU SERVICES LTD,5100058625,"6,035,766.59",Projects VAT irrec,WA3 6GD,,,,
HMRC,HMRC,08/01/2024,Soft Licen Off shelf,CDIO - Core,BOXXE LTD,5100058631,"2,014,264.19",Soft Licen Off shelf,YO31 7RE,,,,
HMRC,HMRC,08/01/2024,Employee education,CDIO - Core,CSL - KPMG LLP,5100058639,"29,569.37",Employee education,E14 5GL,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Operational Excellence & Output Mgmt,CAPGEMINI,5100058649,"51,682.47",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058651,"47,091.63",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,PEGASYSTEMS LTD,5100058653,"39,040.00",PROJECT Mandays Supp,RG1 3JH,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,PEGASYSTEMS LTD,5100058655,"155,455.00",PROJECT Mandays Supp,RG1 3JH,,,,
HMRC,HMRC,08/01/2024,Min AW non-struc VAT,Estates,OCS UK&I LIMITED,5100058656,"23,138.50",Min AW non-struc VAT,IP28 6LG,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,PEGASYSTEMS LTD,5100058657,"25,200.00",PROJECT Mandays Supp,RG1 3JH,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100058660,"155,204.34",IT contractors,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,Contin Labor Build,CDIO - Core,BAE SYSTEMS APPLIED INTELLIGENCE,5100058661,"42,000.00",Contin Labor Build,GU2 7RQ,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100058662,"79,201.95",IT contractors,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100058663,"37,873.56",IT contractors,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,CAPGEMINI,5100058664,"35,778.60",IT contractors,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO - Core,EQUAL EXPERTS UK LTD,5100058666,"37,100.00",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO - Core,CAPGEMINI,5100058667,"32,862.50",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO - Core,CAPGEMINI,5100058668,"24,200.50",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO - Core,CAPGEMINI,5100058673,"66,474.73",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO - Core,EQUAL EXPERTS UK LTD,5100058674,"46,004.00",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO - Core,EQUAL EXPERTS UK LTD,5100058675,"46,004.00",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO - Core,EQUAL EXPERTS UK LTD,5100058676,"192,381.25",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO Transformation Programmes,Atos Holding UK 1 Ltd,5100058679,"21,400.97",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,EQUAL EXPERTS UK LTD,5100058688,"76,422.25",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO - Core,CAPGEMINI,5100058799,"524,331.28",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058806,"6,756.53",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058806,"39,308.86",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058807,"31,544.02",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058811,"21,154.72",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058813,"150,389.08",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058814,"47,360.92",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058819,"10,244.53",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058819,"51,306.86",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058821,"57,905.00",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058822,"8,060.27",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058822,"123,922.45",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058823,"33,755.79",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058824,"46,075.22",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058830,"98,489.42",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058831,"55,075.42",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058835,"14,291.73",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058835,"581,751.69",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CCG Transformation,CGI IT UK LTD,5100058838,"24,403.50",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,08/01/2024,Contin Labor Build,Programme and Operational Delivery,EQUAL EXPERTS UK LTD,5100058844,"60,337.50",IT contractors,AL1 5HE,,,,
HMRC,HMRC,08/01/2024,OHS,HR,Duradiamond Healthcare LTD,5100058847,"126,987.54",Occupational Health Services,TN22 1QL,,,,
HMRC,HMRC,08/01/2024,Contin Labor Build,Programme and Operational Delivery,EQUAL EXPERTS UK LTD,5100058858,"36,933.68",IT contractors,AL1 5HE,,,,
HMRC,HMRC,08/01/2024,Document scanning,Fraud Investigation Service,RESTORE DIGITAL LTD,5100058867,"36,666.73",Document scanning,WV14 0UJ,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,Baringa Partners LLP,5100058868,"170,670.00",PROJECT Mandays HMRC,SW1E 6AJ,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,Atos Holding UK 1 Ltd,5100058894,"32,729.71",PROJECT Mandays Supp,WC1V 6EA,,,,
HMRC,HMRC,08/01/2024,File archive storage,Estates,IRON MOUNTAIN UK PLC,5100058895,"42,813.44",File archive storage,EH54 5DL,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,PDC Customer Strategy & Tax Design,Pennant International Limited,5100058904,"37,460.00",Software Development,GL51 6TL,,,,
HMRC,HMRC,08/01/2024,Rent (Irrec VAT),Programme and Operational Delivery,CHANNEL PORTS LTD,5100058907,"74,400.00",Inland Border Facilities - Running Costs,CT21 4BL,,,,
HMRC,HMRC,08/01/2024,SW Lic Sup Off shlf,Programme and Operational Delivery,Smarter Technologies,5100058908,"92,030.84",Inland Border Facilities - Running Costs,BH24 3FG,,,,
HMRC,HMRC,08/01/2024,PROJECT Mandays Supp,CDIO Transformation Programmes,CAPGEMINI,5100058912,"268,944.28",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,Amazon Web Services UK,1900448709,"82,951.96",Virtual Hosting and Infrastructure,EC2A 2FA,,,,
HMRC,HMRC,09/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,Amazon Web Services UK,1900448711,"85,406.78",Virtual Hosting and Infrastructure,EC2A 2FA,,,,
HMRC,HMRC,09/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,Amazon Web Services UK,1900448712,"86,428.15",Virtual Hosting and Infrastructure,EC2A 2FA,,,,
HMRC,HMRC,09/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900452063,"64,998.78",Virtual Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,09/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900452066,"245,308.59",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,09/01/2024,Conferences,Fraud Investigation Service,CALDER CONFERENCES LTD,1900452074,"40,332.00",Conferences,LS16 6RF,,,,
HMRC,HMRC,09/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,Amazon Web Services UK,1900452081,"3,319,581.44",Virtual Hosting and Infrastructure,EC2A 2FA,,,,
HMRC,HMRC,09/01/2024,Virtual Hosting and Infrastructure,CDIO - Core,Amazon Web Services UK,1900452082,"207,959.46",Virtual Hosting and Infrastructure,EC2A 2FA,,,,
HMRC,HMRC,09/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900452104,"562,598.68",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,09/01/2024,Physical Hosting and Infrastructure,CDIO - Core,FUJITSU SERVICES LTD,1900452105,"39,631.27",Physical Hosting and Infrastructure,WA3 6GD,,,,
HMRC,HMRC,09/01/2024,Scanning Services,Operational Excellence & Output Mgmt,RESTORE DIGITAL LTD,1900452107,"392,699.60",Scanning Services,WV14 0UJ,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Individuals Policy,CAPGEMINI,5100058913,"30,627.72",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,PDC Customer Strategy & Tax Design,EQUAL EXPERTS UK LTD,5100058919,"189,303.44",Software Development,AL1 5HE,,,,
HMRC,HMRC,09/01/2024,Software Licence Ren,CDIO - Core,BYTES SOFTWARE SERVICES LTD,5100058920,"678,087.36",Software Licence Ren,KT22 7TW,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058925,"26,659.89",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Knowledge Analysis & Intelligence,EQUAL EXPERTS UK LTD,5100058938,"35,328.96",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,PDC Customer Strategy & Tax Design,CAPGEMINI,5100058945,"99,780.35",Software Development,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058950,"41,268.71",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100058955,"22,188.00",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,COGNIZANT Technology Solutions,5100058956,"83,600.00",Customs Declaration Service Contractor Costs,EC2M 4AG,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100058958,"28,538.16",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100058960,"53,138.19",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,CDIO - Core,Coforge,5100058963,"34,650.00",PROJECT Mandays Supp,EC3M 4AJ,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,CDIO Transformation Programmes,CAPGEMINI,5100058964,"27,138.93",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,CDIO - Core,ACCENTURE (UK) LTD,5100058968,"33,300.00",PROJECT Mandays Supp,EC3M 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Risk & Intelligence,EQUAL EXPERTS UK LTD,5100058969,"40,127.36",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100058971,"21,702.56",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,CGI IT UK LTD,5100058972,"22,739.63",PROJECT Mandays Supp,CF31 9AP,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,North Highland UK Limited,5100058978,"37,536.00",PROJECT Mandays HMRC,EC1N 2TD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,North Highland UK Limited,5100058979,"963,309.60",PROJECT Mandays HMRC,EC1N 2TD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,CDIO Transformation Programmes,CAPGEMINI,5100058984,"47,940.36",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Risk & Intelligence,BUTTERFLY PROJECTS LTD,5100058993,"47,478.00",PROJECT Mandays Supp,CF83 3GG,,,,
HMRC,HMRC,09/01/2024,Research (VAT rec),Knowledge Analysis & Intelligence,NATIONAL CENTRE FOR SOCIAL RESEARCH,5100058994,"28,821.21",Research Services,EC1V 0AX,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,CDIO - Core,Coforge,5100059005,"56,910.00",PROJECT Mandays Supp,EC3M 4AJ,,,,
HMRC,HMRC,09/01/2024,Govt bank service,Government Banking and Payments,BARCLAYS BANK PLC T/A BARCLAYCARD,5100059006,"14,809.55",Banking finance and payments,E14 5HP,,,,
HMRC,HMRC,09/01/2024,GBS Operational bank,Government Banking and Payments,BARCLAYS BANK PLC T/A BARCLAYCARD,5100059006,"948,143.88",Banking finance and payments,E14 5HP,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays HMRC,CDIO Transformation Programmes,FUJITSU SERVICES LTD,5100059007,"53,813.29",PROJECT Mandays HMRC,WA3 6GD,,,,
HMRC,HMRC,09/01/2024,Physical Data Transf,Risk & Intelligence,BUTTERFLY PROJECTS LTD,5100059010,"49,571.00",Physical Data Transf,CF83 3GG,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,EQUAL EXPERTS UK LTD,5100059014,"42,795.09",PROJECT Mandays Supp,AL1 5HE,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Programme and Operational Delivery,EQUAL EXPERTS UK LTD,5100059029,"244,234.62",IT contractors,AL1 5HE,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,CDIO - Core,FUJITSU SERVICES LTD,5100059031,"61,035.65",PROJECT Mandays Supp,WA3 6GD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100059035,"280,763.33",Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100059037,791.41,Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100059037,"321,599.33",Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100059039,"475,951.99",Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,B&T Border Change Delivery,ACCENTURE (UK) LTD,5100059042,"192,749.47",Customs Declaration Service Contractor Costs,EC3M 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100059043,"145,757.34",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,BELLROCK PROPERTY & FACILITIES,5100059044,"24,243.61",Facilities Mngmnt,LE1 6LP,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,BELLROCK PROPERTY & FACILITIES,5100059044,"148,925.01",Facilities Mngmnt,LE1 6LP,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,BELLROCK PROPERTY & FACILITIES,5100059045,"23,223.72",Facilities Mngmnt,LE1 6LP,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,BELLROCK PROPERTY & FACILITIES,5100059045,"142,660.01",Facilities Mngmnt,LE1 6LP,,,,
HMRC,HMRC,09/01/2024,Rent (Irrec VAT),Estates,Astral Towers Ltd,5100059046,"54,882.73",Rent (Irrec VAT),W1J 6ER,,,,
HMRC,HMRC,09/01/2024,Rent (Irrec VAT),Estates,Astral Towers Ltd,5100059046,"337,136.76",Rent (Irrec VAT),W1J 6ER,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,OCS UK&I LIMITED,5100059047,"56,577.01",Facilities Mngmnt,IP28 6LG,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,OCS UK&I LIMITED,5100059047,"347,544.51",Facilities Mngmnt,IP28 6LG,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,OCS UK&I LIMITED,5100059048,"23,360.07",Facilities Mngmnt,IP28 6LG,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,OCS UK&I LIMITED,5100059048,"143,497.57",Facilities Mngmnt,IP28 6LG,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,Wates Property Services Ltd,5100059050,"13,156.64",Facilities Mngmnt,EN1 3XA,,,,
HMRC,HMRC,09/01/2024,Facilities Mngmnt,Estates,Wates Property Services Ltd,5100059050,"80,819.35",Facilities Mngmnt,EN1 3XA,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Transformation Making Tax Digital,CAPGEMINI,5100059161,"61,956.28",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,Transformation DG & Programme Office,CAPGEMINI,5100059165,"22,066.73",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,PROJECT Mandays Supp,HMRC Security,CAPGEMINI,5100059169,"36,745.56",PROJECT Mandays Supp,TF3 3BD,,,,
HMRC,HMRC,09/01/2024,VOA,Wealthy & Mid-sized Business Compliance,VALUATION OFFICE AGENCY,5100059175,"600,000.00",Monthly payment to Valuation Office for Inheritance Tax and Capital Gains Tax Searches ,W1D 5BU,,,,
HMRC,HMRC,09/01/2024,SW Lic Sup mngd Serv,CDIO - Core,FUJITSU SERVICES LTD,5100059185,"108,389.26",SW Lic Sup mngd Serv,WA3 6GD,,,,
