Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Annes & Avondale Park Nursery Sc ,,,,,23/11/2023,3110599475,"19,667.97",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Annes & Avondale Park Nursery Sc ,,,,,24/11/2023,3110599664,"19,667.97",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Annes & Avondale Park Nursery Sc ,,,,,20/12/2023,3110607484,"2,243.40",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Annes & Avondale Park Nursery Sc ,,,,,22/12/2023,3110609165,"12,765.09",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Charles Catholic Primary School ,,,,,23/10/2023,3110589292,"6,297.12",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Charles Catholic Primary School ,,,,,23/11/2023,3110599477,"8,310.33",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Charles Catholic Primary School ,,,,,24/11/2023,3110599666,"8,310.33",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Charles Catholic Primary School ,,,,,22/12/2023,3110609167,"5,316.87",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Clement & St James Ce Primary School,,,,,23/10/2023,3110589293,"3,777.60",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Clement & St James Ce Primary School,,,,,23/11/2023,3110599334,"1,464.51",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Clement & St James Ce Primary School,,,,,23/11/2023,3110599478,"4,505.13",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Clement & St James Ce Primary School,,,,,24/11/2023,3110599559,"1,464.51",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Clement & St James Ce Primary School,,,,,24/11/2023,3110599667,"4,505.13",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Clement & St James Ce Primary School,,,,,22/12/2023,3110609168,"2,845.05",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Cuthbert St Matthias Ce Primary Sch.,,,,,23/10/2023,3110589291,"8,416.80",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Cuthbert St Matthias Ce Primary Sch.,,,,,23/10/2023,3110589316,"1,423.80",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Cuthbert St Matthias Ce Primary Sch.,,,,,23/11/2023,3110599476,"11,273.85",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Cuthbert St Matthias Ce Primary Sch.,,,,,24/11/2023,3110599665,"11,273.85",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Cuthbert St Matthias Ce Primary Sch.,,,,,22/12/2023,3110609166,"7,035.21",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Francis Rc Primary School ,,,,,23/10/2023,3110589294,"4,417.92",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Francis Rc Primary School ,,,,,23/11/2023,3110599479,"5,798.52",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Francis Rc Primary School ,,,,,24/11/2023,3110599668,"5,798.52",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Francis Rc Primary School ,,,,,22/12/2023,3110609169,"3,701.88",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Marys RC Primary School ,,,,,23/10/2023,3110589295,"7,017.12",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Marys RC Primary School ,,,,,23/11/2023,3110599480,"10,159.17",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Marys RC Primary School ,,,,,24/11/2023,3110599669,"10,159.17",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Marys RC Primary School ,,,,,22/12/2023,3110609170,"6,599.19",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Thomas C E Primary School ,,,,,23/10/2023,3110589296,"5,832.96",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Thomas C E Primary School ,,,,,23/11/2023,3110599481,"8,199.45",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Thomas C E Primary School ,,,,,24/11/2023,3110599670,"8,199.45",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,St Thomas C E Primary School ,,,,,22/12/2023,3110609171,"5,244.33",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Thomas Jones Primary School ,,,,,23/10/2023,3110589297,"11,607.84",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Thomas Jones Primary School ,,,,,23/11/2023,3110599482,"15,507.45",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Thomas Jones Primary School ,,,,,24/11/2023,3110599671,"15,507.45",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Thomas Jones Primary School ,,,,,22/12/2023,3110609172,"10,016.76",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,T/A Wetherby,,,,,23/10/2023,3110589340,"3,175.20",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,T/A Wetherby,,,,,23/11/2023,3110599397,"4,303.53",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,T/A Wetherby,,,,,24/11/2023,3110599586,"4,303.53",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,T/A Wetherby,,,,,22/12/2023,3110609312,"2,776.41",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Bassett House School ,,,,,23/10/2023,3110589310,582.39,,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Bassett House School ,,,,,23/10/2023,3110589342,"12,437.79",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Bassett House School ,,,,,23/11/2023,3110599399,"16,324.15",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Bassett House School ,,,,,24/11/2023,3110599588,"16,324.15",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Bassett House School ,,,,,22/12/2023,3110609314,"7,303.61",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Chelsea Pre-Prep & Nursery ,,,,,23/10/2023,3110589347,"13,567.77",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Chelsea Pre-Prep & Nursery ,,,,,23/11/2023,3110599404,"17,897.07",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Chelsea Pre-Prep & Nursery ,,,,,24/11/2023,3110599593,"17,897.07",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Chelsea Pre-Prep & Nursery ,,,,,22/12/2023,3110609319,"11,190.96",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Colville Nursery Centre ,,,,,23/11/2023,3110599468,"4,002.71",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Colville Nursery Centre ,,,,,24/11/2023,3110599657,"4,002.71",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Colville Nursery Centre ,,,,,22/12/2023,3110609158,"2,068.07",,School Contra code : Revenue,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Dalgarno Pre-School ,,,,,23/10/2023,3110589348,"2,717.28",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Dalgarno Pre-School ,,,,,23/11/2023,3110599405,"3,566.43",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Dalgarno Pre-School ,,,,,24/11/2023,3110599594,"3,566.43",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Dalgarno Pre-School ,,,,,22/12/2023,3110609320,"2,183.61",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Denbigh Under Fives Group ,,,,,23/10/2023,3110589349,"3,235.74",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Denbigh Under Fives Group ,,,,,23/11/2023,3110599406,"4,303.53",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Denbigh Under Fives Group ,,,,,24/11/2023,3110599595,"4,303.53",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Denbigh Under Fives Group ,,,,,22/12/2023,3110609321,"2,776.41",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Dicky Birds Pre School Nurseries Lt,,,,,23/10/2023,3110589350,"1,035.36",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Dicky Birds Pre School Nurseries Lt,,,,,23/11/2023,3110599407,"1,358.91",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Dicky Birds Pre School Nurseries Lt,,,,,24/11/2023,3110599596,"1,358.91",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Dicky Birds Pre School Nurseries Lt,,,,,22/12/2023,3110609322,897.39,,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Earls Court Nursery Centre ,,,,,23/10/2023,3110589351,"2,623.20",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Earls Court Nursery Centre ,,,,,23/11/2023,3110599408,"3,941.28",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Earls Court Nursery Centre ,,,,,24/11/2023,3110599597,"3,941.28",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Earls Court Nursery Centre ,,,,,22/12/2023,3110609323,"2,467.92",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Eden Montessori School ,,,,,23/10/2023,3110589352,"3,934.56",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Eden Montessori School ,,,,,23/11/2023,3110599409,"5,209.47",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Eden Montessori School ,,,,,24/11/2023,3110599598,"5,209.47",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Eden Montessori School ,,,,,22/12/2023,3110609324,"2,232.63",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Falkner House ,,,,,23/10/2023,3110589354,"17,497.92",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Falkner House ,,,,,23/11/2023,3110599411,"23,147.46",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Falkner House ,,,,,24/11/2023,3110599600,"23,147.46",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Falkner House ,,,,,22/12/2023,3110609326,"10,036.98",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Falkner House LLP ,,,,,23/10/2023,3110589355,"9,467.84",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Falkner House LLP ,,,,,23/11/2023,3110599412,"12,426.54",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Falkner House LLP ,,,,,24/11/2023,3110599601,"12,426.54",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Falkner House LLP ,,,,,22/12/2023,3110609327,"5,442.30",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,T/A Cameron Val,,,,,23/10/2023,3110589267,711.81,,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,T/A Cameron Val,,,,,23/11/2023,3110599452,"1,404.27",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,T/A Cameron Val,,,,,24/11/2023,3110599641,"1,404.27",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,T/A Cameron Val,,,,,22/12/2023,3110609143,702.15,,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Garden House School ,,,,,23/10/2023,3110589357,"19,292.64",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Garden House School ,,,,,23/11/2023,3110599414,"25,910.64",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Garden House School ,,,,,24/11/2023,3110599603,"25,910.64",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Garden House School ,,,,,22/12/2023,3110609330,"10,522.44",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Glendower School Trust Ltd,,,,,23/10/2023,3110589359,"24,331.68",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Glendower School Trust Ltd,,,,,23/11/2023,3110599416,"32,026.05",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Glendower School Trust Ltd,,,,,24/11/2023,3110599605,"32,026.05",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Glendower School Trust Ltd,,,,,22/12/2023,3110609332,"10,826.55",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Grand West Pre-Prep Limited,,,,,23/10/2023,3110589360,"17,269.47",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Grand West Pre-Prep Limited,,,,,23/11/2023,3110599417,"22,711.09",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Grand West Pre-Prep Limited,,,,,24/11/2023,3110599606,"22,711.09",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Grand West Pre-Prep Limited,,,,,22/12/2023,3110609333,"14,339.88",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Hampshire Schools Ltd ,,,,,23/10/2023,3110589345,"4,935.36",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Hampshire Schools Ltd ,,,,,23/11/2023,3110599402,"6,477.66",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Hampshire Schools Ltd ,,,,,24/11/2023,3110599591,"6,477.66",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Hampshire Schools Ltd ,,,,,22/12/2023,3110609317,"2,815.02",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Day Nursery ,,,,,23/10/2023,3110589362,"6,868.32",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Day Nursery ,,,,,23/11/2023,3110599419,"9,221.94",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Day Nursery ,,,,,24/11/2023,3110599608,"9,221.94",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Day Nursery ,,,,,22/12/2023,3110609335,"5,829.33",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Pre-School ,,,,,23/10/2023,3110589363,"5,660.16",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Pre-School ,,,,,23/11/2023,3110599420,"7,519.68",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Pre-School ,,,,,24/11/2023,3110599609,"7,519.68",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Pre-School ,,,,,20/12/2023,3110607470,500.00,,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Holland Park Pre-School ,,,,,22/12/2023,3110609336,"4,739.28",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kensington House Nursery School ,,,,,23/10/2023,3110589242,"2,519.52",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kensington House Nursery School ,,,,,23/11/2023,3110599427,"2,853.90",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kensington House Nursery School ,,,,,24/11/2023,3110599616,"2,853.90",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kensington House Nursery School ,,,,,22/12/2023,3110609343,"1,359.00",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kerens Gan Belsize Ltd ,,,,,23/10/2023,3110589239,"3,278.88",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kerens Gan Belsize Ltd ,,,,,23/11/2023,3110599424,"4,303.53",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kerens Gan Belsize Ltd ,,,,,24/11/2023,3110599613,"4,303.53",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kerens Gan Belsize Ltd ,,,,,22/12/2023,3110609340,"2,776.41",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kids Unlimited ,,,,,23/10/2023,3110589236,"7,053.06",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kids Unlimited ,,,,,23/11/2023,3110599421,"9,068.19",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kids Unlimited ,,,,,24/11/2023,3110599610,"9,068.19",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kids Unlimited ,,,,,22/12/2023,3110609337,"5,082.98",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kingsland Pre-Prep Ltd ,,,,,23/10/2023,3110589240,"14,081.37",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kingsland Pre-Prep Ltd ,,,,,23/11/2023,3110599425,"18,661.80",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kingsland Pre-Prep Ltd ,,,,,24/11/2023,3110599614,"18,661.80",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Kingsland Pre-Prep Ltd ,,,,,22/12/2023,3110609341,"11,662.53",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Knightsbridge School ,,,,,23/10/2023,3110589241,"16,600.80",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Knightsbridge School ,,,,,23/11/2023,3110599426,"21,833.91",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Knightsbridge School ,,,,,24/11/2023,3110599615,"21,833.91",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,Knightsbridge School ,,,,,22/12/2023,3110609342,"9,493.47",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Bilingue ,,,,,23/10/2023,3110589343,"11,044.32",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Bilingue ,,,,,23/10/2023,3110589353,"4,117.09",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Bilingue ,,,,,23/11/2023,3110599400,"15,266.16",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Bilingue ,,,,,23/11/2023,3110599410,"5,404.13",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Bilingue ,,,,,24/11/2023,3110599589,"15,266.16",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Bilingue ,,,,,24/11/2023,3110599599,"5,404.13",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Bilingue ,,,,,22/12/2023,3110609315,"8,281.68",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Bilingue ,,,,,22/12/2023,3110609325,"3,682.17",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Francaise Ltd ,,,,,23/10/2023,3110589356,"16,842.24",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Francaise Ltd ,,,,,23/11/2023,3110599413,"22,105.44",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Francaise Ltd ,,,,,24/11/2023,3110599602,"22,105.44",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Petite Ecole Francaise Ltd ,,,,,22/12/2023,3110609328,"13,409.28",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Scuola Italiana A Londra ,,,,,23/10/2023,3110589244,"6,384.96",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Scuola Italiana A Londra ,,,,,23/11/2023,3110599429,"8,380.26",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Scuola Italiana A Londra ,,,,,24/11/2023,3110599618,"8,380.26",,Payments to Other Establishments,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Early Years Service,,La Scuola Italiana A Londra ,,,,,22/12/2023,3110609345,"4,228.20",,Payments to Other Establishments,,,,,,0,,,,
