Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
0000323716,REDACTED PERSONAL INFORMATION,20/09/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323717,REDACTED PERSONAL INFORMATION,20/09/2024,"4,495.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323718,REDACTED PERSONAL INFORMATION,20/09/2024,"4,395.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323719,FLOWBIRD SMART CITY UK LTD,17/09/2024,960.84,160.14,Car Parks,Car Park Administration,Operational Equipment Maint.
0000323729,PREMIER SERVICES,17/09/2024,804.00,134.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000323730,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,17/09/2024,"1,306.75",217.81,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000323731,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,17/09/2024,804.40,134.08,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000323736,REDACTED PERSONAL INFORMATION,17/09/2024,"7,800.00","1,300.00",Asset Management,BP South West Corner - Sunbury,Consultants fees
0000323750,SELLICK PARTNERSHIP LTD,17/09/2024,"2,221.58",370.26,Car Parks,Legal,Agency Staff
0000323753,MAY HARRIS MULTI SERVICES LTD,17/09/2024,"13,723.52","2,287.25",Office Services,Various,Cleaning materials
0000323759,CLARA BOSWELL,17/09/2024,800.00,0.00,Community Safety and Corporate Services,Corporate Publicity,Marketing
0000323764,PREMIER SERVICES,17/09/2024,"3,180.00",530.00,Depot,Grounds Maintenance,Security services
0000323766,PREMIER SERVICES,17/09/2024,799.80,133.30,Depot,Grounds Maintenance,Security services
0000323768,GRM MAPPING LTD,17/09/2024,"1,080.00",180.00,Planning,Planning Policy and Implement,Computer Software
0000323783,SELLICK PARTNERSHIP LTD,17/09/2024,"2,012.15",335.36,Car Parks,Legal,Agency Staff
0000323785,SELLICK PARTNERSHIP LTD,17/09/2024,"1,925.60",320.93,Car Parks,Legal,Agency Staff
0000323796,REDACTED PERSONAL INFORMATION,20/09/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323797,REDACTED PERSONAL INFORMATION,20/09/2024,"27,259.20","4,543.20",Housing Needs,LAHF properties,LAHF property expenditure
0000323799,REDACTED PERSONAL INFORMATION,20/09/2024,"32,205.37","5,367.56",Independent Living,Home Improvement Agency (HIA),Operational Equipment Maint.
0000323801,IDOX SOFTWARE LTD,20/09/2024,"7,200.00","1,200.00",Financial Support,Green Initiatives,Computer Software
0000323805,REDACTED PERSONAL INFORMATION,20/09/2024,"1,170.00",195.00,Leisure,Human Resources,Consultants fees
0000323811,SAFEPLAY PLAYGROUND SERVICES LTD,20/09/2024,941.28,156.88,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000323812,AURA CUSTOM SOLUTIONS LTD,20/09/2024,"2,364.00",394.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000323813,REIGATE & BANSTEAD BOROUGH COUNCIL,20/09/2024,"27,651.90","4,608.65",Car Parks,Audit,Counter Fraud Service
0000323818,FIRST CALL CONTRACT SERVICES,20/09/2024,"2,249.28",374.88,Depot,Street Cleaning,Agency Staff
0000323819,GOLF AND TURF EQUIPMENT LTD,20/09/2024,610.14,101.69,Depot,Grounds Maintenance,Operational Equipment Maint.
0000323820,REDACTED PERSONAL INFORMATION,20/09/2024,672.00,112.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000323823,BT GLOBAL SERVICES,20/09/2024,"1,526.16",254.36,Information Technology,IT Overheads & Infrastructure,Networking
0000323824,VIVID RESOURCING,20/09/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000323826,REDACTED PERSONAL INFORMATION,20/09/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323827,REDACTED PERSONAL INFORMATION,20/09/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323828,REDACTED PERSONAL INFORMATION,20/09/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323829,REDACTED PERSONAL INFORMATION,20/09/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323830,REDACTED PERSONAL INFORMATION,20/09/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323831,REDACTED PERSONAL INFORMATION,20/09/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323832,REDACTED PERSONAL INFORMATION,20/09/2024,950.00,0.00,Housing Needs,Homelessness Prevention,Court Desk Duty
0000323833,CLYDE & CO LLP,20/09/2024,"4,069.60",678.27,Asset Management,Charter Building,Legal and Court Costs
0000323851,VIVID RESOURCING,20/09/2024,"1,800.00",300.00,Planning,Planning Policy and Implement,Agency Staff
0000323852,REDACTED PERSONAL INFORMATION,20/09/2024,933.12,155.52,Independent Living,Greeno Day Centre,Temporary Staff
0000323856,MODERN DEMOCRACY,20/09/2024,"10,973.16","1,828.86",Financial Support,Electoral Registration,Office Equipment Supplies
0000323858,MODERN DEMOCRACY,20/09/2024,"7,913.98","1,319.00",Financial Support,SCC Elections May 2025,Polling Staion Costs
0000323863,CFH DOCMAIL LTD,20/09/2024,763.34,127.22,Accounts,"HB Administration, Housing Needs Administration, CX Secretariat, Asset Management Admin, Customer Services",Postage CFH
0000323864,REDACTED PERSONAL INFORMATION,20/09/2024,"8,600.00",0.00,Housing Needs,Housing Needs,Housing Needs
0000323867,REDACTED PERSONAL INFORMATION,20/09/2024,"12,022.38",0.00,Housing Needs,Housing Needs,Housing Needs
0000323874,SURREY RECRUITMENT SERVICES LIMITED,20/09/2024,"9,690.57","1,615.10",Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000323876,PLANNING/ASSET MGMT,20/09/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000323878,REDACTED PERSONAL INFORMATION,19/09/2024,"40,800.00",0.00,Housing Needs,Rent Assure Scheme,Rents
0000323879,REDACTED PERSONAL INFORMATION,20/09/2024,"1,055.00",0.00,Independent Living,Safeguarding (Adults),Surrey Safeguarding Childrens
0000323883,PLANNING/ASSET MGMT,20/09/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000323884,LAW MORGAN LTD T/AS MORGAN LAW LTD,20/09/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff
0000323889,PLANNING/ASSET MGMT,20/09/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000323890,PLANNING/ASSET MGMT,20/09/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000323923,REDACTED PERSONAL INFORMATION,20/09/2024,"36,633.60","6,105.60",Independent Living,Greeno Day Centre,Cllrs Contributions Exp
0000323929,REDACTED PERSONAL INFORMATION,24/09/2024,"5,655.00",0.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000323932,REDACTED PERSONAL INFORMATION,24/09/2024,900.00,150.00,Planning,Planning Policy and Implement,Consultants fees
0000323938,THAMESWAY CONTRACTORS LTD,24/09/2024,"42,122.90","7,020.48",Asset Management,Planned Maintenance Programme,Responsive maintenance
0000323939,CLYDE & CO LLP,24/09/2024,"18,000.00","3,000.00",Asset Management,"3 Roundwood Ave, Stockley Park",Legal and Court Costs
0000323940,REDACTED PERSONAL INFORMATION,24/09/2024,"5,400.00",900.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000323942,REDACTED PERSONAL INFORMATION,24/09/2024,"1,200.00",200.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000323944,VI VIRTUAL LTD,24/09/2024,"1,768.80",294.80,Asset Management,Thameside House,Marketing
0000323945,DEVONSHIRES SOLICITORS LLP,24/09/2024,974.40,162.40,Asset Management,Property acquisition for famil,Other Works
0000323946,LIFE ENVIRONMENTAL SERVICES LTD,24/09/2024,"1,260.00",210.00,Asset Management,Oast House,Surveyors
0000323947,CLYDE & CO LLP,24/09/2024,900.00,150.00,Asset Management,Elmbrook House,Legal and Court Costs
0000323948,CLYDE & CO LLP,24/09/2024,"2,040.00",340.00,Asset Management,General Property Expenses,Legal and Court Costs
0000323949,CLYDE & CO LLP,24/09/2024,"2,050.80",341.80,Asset Management,General Property Expenses,Legal and Court Costs
0000323950,GREEN AND BURTON ASB ASSOCIATES,24/09/2024,716.40,119.40,Asset Management,Asset Management Admin,Professional and CPD training
0000323951,AAI MEDIA,27/09/2024,815.03,135.84,Planning,Development Control,Other Advertising
0000323953,REDACTED PERSONAL INFORMATION,24/09/2024,"2,482.50",0.00,Planning,Planning Policy and Implement,Consultants fees
0000323954,GRANT THORNTON,24/09/2024,"61,666.80","10,277.80",Accounts,Corporate Management,External audit fees
0000323956,REDACTED PERSONAL INFORMATION,24/09/2024,"27,974.40","4,662.40",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323960,ROYAL MAIL,24/09/2024,"2,105.51",350.52,Office Services,Postage Holding Account,Holding Account Expenditure
0000323971,REDACTED PERSONAL INFORMATION,24/09/2024,"2,024.00",0.00,Housing Needs,Step-Down Accommodation,General repairs
0000323972,LONDON WARRANT ENFORCEMENT,24/09/2024,"2,416.32",0.00,Office Services,Office Services,Office Services
0000323974,SOFTCAT,24/09/2024,"1,620.00",270.00,Chief Exec. Dpt,Business Incubator,Networking
0000323976,MATTHEWS ASSOCIATES (UK) LIMITED,24/09/2024,"5,292.00",882.00,Planning,Economic Development,Agency Staff
0000323977,J R B ENTERPRISE,24/09/2024,"6,939.60","1,156.60",Depot,Grounds Maintenance,Operational Equipment purchase
0000323989,GIFFORD TREE SERVICES,24/09/2024,900.00,150.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000323995,REDACTED PERSONAL INFORMATION,24/09/2024,"1,270.85",211.81,Leisure,AVC Admin Holding Acc,Holding Account Expenditure
0000324000,PLANNING/ASSET MGMT,24/09/2024,"2,000.00",0.00,Planning,Share Prosperity Fund,Business Growth Plans & Innova
0000324012,REDACTED PERSONAL INFORMATION,27/09/2024,"3,080.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324017,REDACTED PERSONAL INFORMATION,24/09/2024,800.00,0.00,Housing Needs,Rent Assure Scheme,Rents
0000324020,REDACTED PERSONAL INFORMATION,24/09/2024,"1,000.00",0.00,Housing Needs,Rent Assure Scheme,Rents
0000324022,SELLICK PARTNERSHIP LTD,24/09/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000324028,REDACTED PERSONAL INFORMATION,27/09/2024,"3,828.00",638.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000324029,KENT COUNTY COUNCIL (KCS),27/09/2024,"78,578.68","12,053.69",Asset Management,Various,Electricity
0000324030,KENT COUNTY COUNCIL (KCS),27/09/2024,"7,595.84","1,114.38",Asset Management,Various,Gas
0000324033,REDACTED PERSONAL INFORMATION,27/09/2024,"1,320.00",220.00,Housing Needs,Homelessness Prevention,Legal and Court Costs
0000324034,PLANNING/ASSET MGMT,27/09/2024,"1,707.00",284.50,Planning,Economic Development,Stimulate Economic Activity
0000324038,G2RECRUITMENT,27/09/2024,966.00,161.00,Environmental Health,Environmental Health Admin,Agency Staff
0000324042,REDACTED PERSONAL INFORMATION,27/09/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324046,REDACTED PERSONAL INFORMATION,27/09/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324050,REDACTED PERSONAL INFORMATION,27/09/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324051,REDACTED PERSONAL INFORMATION,27/09/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324052,REDACTED PERSONAL INFORMATION,27/09/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324053,REDACTED PERSONAL INFORMATION,27/09/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324054,REDACTED PERSONAL INFORMATION,27/09/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324055,REDACTED PERSONAL INFORMATION,27/09/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324056,REDACTED PERSONAL INFORMATION,27/09/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324057,REDACTED PERSONAL INFORMATION,27/09/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324058,REDACTED PERSONAL INFORMATION,27/09/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324059,REDACTED PERSONAL INFORMATION,27/09/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324060,STAINES-UPON-THAMES BID LTD,27/09/2024,"9,724.93","1,620.82",Office Services,Staines BID,Administration Due
0000324062,MORGAN HUNT,27/09/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000324063,VIVID RESOURCING,27/09/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000324064,REDACTED PERSONAL INFORMATION,27/09/2024,"5,138.40",856.40,Leisure,Human Resources,Consultants fees
0000324066,VIVID RESOURCING,27/09/2024,"2,460.00",410.00,Planning,Planning Policy and Implement,Agency Staff
0000324072,LLOYDS BANK PLC,30/09/2024,"1,250.03",0.00,Accounts,Corporate Management,Bank Charges
0000324073,LLOYDS BANK PLC,30/09/2024,703.47,0.00,Accounts,Corporate Management,Bank Charges
0000324074,ACCESS PAYSUITE,30/09/2024,"9,234.99",0.00,Accounts,Customer Services,Computer Software
0000324084,PERTEMPS RECRUITMENT PARTNERSHIP LTD,27/09/2024,"1,154.40",192.40,Depot,"Refuse Collection, Grounds Maintenance",Agency Staff
0000324092,GRC (LEGAL SERVICES) LTD,27/09/2024,"7,333.50","1,222.25",Depot,Environmental Enhancements,Grounds maintained noncontract
0000324095,G2RECRUITMENT,27/09/2024,645.76,107.63,Environmental Health,Environmental Health Admin,Agency Staff
0000324099,REDACTED PERSONAL INFORMATION,27/09/2024,775.00,129.17,Community Safety and Corporate Services,Consultants,Consultants fees
0000324101,AS MACKENZIE ELECTRICAL SOLUTIONS LTD,27/09/2024,"1,401.00",233.50,Chief Exec. Dpt,Spelthorne Youth Hub,Electrical Works
0000324111,ACCESS PAYSUITE,30/09/2024,"8,438.30",0.00,Accounts,Customer Services,Computer Software
0000324112,ACCESS PAYSUITE,30/09/2024,666.70,111.12,Accounts,Customer Services,Computer Software
0000324113,BOTTOMLINE TECHNOLOGIES,30/09/2024,903.18,150.53,Accounts,Corporate Management,Bank Charges
0000324114,PREMIER SERVICES,27/09/2024,799.80,133.30,Depot,Grounds Maintenance,Security services
0000324115,PREMIER SERVICES,27/09/2024,799.80,133.30,Depot,Grounds Maintenance,Security services
0000324116,PREMIER SERVICES,27/09/2024,"2,940.00",490.00,Depot,Grounds Maintenance,Security services
0000324117,PREMIER SERVICES,27/09/2024,"3,420.00",570.00,Depot,Grounds Maintenance,Security services
0000324121,INTEGRATED BUSINESS SOFTWARE & SOLUTIONS,27/09/2024,"6,895.80","1,149.30",Accounts,Accountancy,Other LA Authority MVDC
0000324122,INTEGRATED BUSINESS SOFTWARE & SOLUTIONS,27/09/2024,"3,831.00",638.50,Accounts,Accountancy,Other LA Authority MVDC
0000324124,SAFEPLAY PLAYGROUND SERVICES LTD,27/09/2024,"2,669.40",444.90,Environmental Health,Grounds Maintenance,Playground Inspections
0000324126,LAW MORGAN LTD T/AS MORGAN LAW LTD,27/09/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff
0000324138,REDACTED PERSONAL INFORMATION,30/09/2024,"3,337.85",58.21,Independent Living,"Fordbridge Day Centre, Meals on Wheels",Food Purchases
0000324139,REDACTED PERSONAL INFORMATION,30/09/2024,"2,777.75",30.10,Independent Living,Greeno Day Centre,Food Purchases
0000324140,REDACTED PERSONAL INFORMATION,30/09/2024,696.62,6.05,Independent Living,Staines Community Centre,Food Purchases
,,,,,,,
,CREDIT CARDS,,,,,,
,,,,,,,
,LNER ONLINE,,-137.1,0,,,
,AO RETAIL LTD,,94,15.67,Street Cleaning,Operational equip mats & suppl,microwave
,CO-OP GROUP,,21.45,0,Facilities Management,Tea Trolley provisions,milk
,TESCO STORES,,325.11,0,Facilities Management,Tea Trolley provisions,"Tea, coffee, sugar, milk for depot and nursery"
,WICKES STAINES,,41.2,6.88,Street Cleaning,Operational equip mats & suppl,metal tubing
,AMAZONBUSINESS,,8.06,1.34,Street Cleaning,Operational equip mats & suppl,strong glue
,TESCO STORES,,20.15,0,Facilities Management,Tea Trolley provisions,milk
,POST OFFICE COUNTER,,497.5,0,Refuse Collection,Commercial Vehicle Road Tax,tax disc for KE06RKU
,AMAZON MARKETPLACE,,24.98,4.16,Street Cleaning,Operational equip mats & suppl,hosepipe
,SAINSBURYS.CO.UK,,271.55,0,Staines Community Centre,Food Purchases,Food for Staines CC café
,AMAZON,,35.88,5.11,Fordbridge Day Centre,Operational Equipment purchase,Fordbridge - hearing aid maint tools
,AMAZON,,35.88,5.11,Greeno Day Centre,Operational Equipment purchase,Greeno - hearing aid maint tools
,AMAZON,,35.88,5.11,Staines Community Centre,Operational Equipment purchase,Staines CC - hearing aid main tools
,SAINSBURYS.CO.UK,,323.4,0,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS.CO.UK,,236.31,0,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS.CO.UK,,-1.8,0,Staines Community Centre,Food Purchases,Food for Staines CC café
,AMAZON,,20.95,3.49,Meals on Wheels,Commercial Vehicle Maintenance,extension cable for mow van
,SAINSBURYS.CO.UK,,260.69,0,Staines Community Centre,Food Purchases,Food for Staines CC café
,AMAZON,,-20.95,-3.49,Meals on Wheels,Commercial Vehicle Maintenance,extension cable for mow van
,CANVA,,10.99,1.83,Corporate Publicity,Marketing,design software
,AMAZON,,34.66,5.79,Environmental Health Admin,Office Stationery,stationery
,AMAZON,,22.81,3.8,Environmental Health Admin,Office Stationery,stationery
,AMAZON,,29.26,4.88,Environmental Health Admin,Office Stationery,stationery
,AMAZON MARKETPLACE,,27.43,0,Environmental Health Admin,Office Stationery,stationery
,AMAZON,,105.81,14.94,Environmental Health Admin,Office Stationery,stationery
,AMAZON MARKETPLACE,,-23.41,-3.9,Environmental Health Admin,Office Stationery,stationery
,AMAZON,,17.59,2.93,Environmental Health Admin,Office Stationery,stationery
,AMAZON MARKETPLACE,,172.8,0,Environmental Health Admin,Office Stationery,stationery
,TESCO STORES,,28.2,0,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMZNMKTPLACE,,34.88,5.81,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,14.25,2.38,Office Services,Office Stationery,stationery
,TESCO SUBSCRIPTION,,6.99,0,Corporate Management,Bank Charges,delivery saver
,AMZNMKTPLACE,no receipt,62,,Office Services,Office Stationery,stationery
,TESCO STORES,,16.6,0,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMZNMKTPLACE,,12.88,2.15,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,12.63,2.1,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,35.46,5.92,Office Services,Office Stationery,stationery
,TESCO STORES,,28.2,0,Facilities Management,Tea Trolley provisions,tea trolley provisions
,MOL,no receipt,143.43,,Facilities Management,Operational Equipment Maint.,cups bulk supplies for hot drink machine
,TESCO STORES,,32.6,0,Facilities Management,Tea Trolley provisions,tea trolley provisions
,TESCO STORES,,28.2,0,Facilities Management,Tea Trolley provisions,tea trolley provisions
,TESCO STORES,no receipt,16.6,0,Facilities Management,Tea Trolley provisions,tea trolley provisions
,TESCO STORES,,28.2,0,Facilities Management,Tea Trolley provisions,tea trolley provisions
,ADOBE,,88.47,0,IT Overheads & Infrastructure,Computer Software,creative cloud
,DNH*GO DADDY,,659.98,0,IT Overheads & Infrastructure,Subscriptions General,SSL wildcard certificate
,"SECURITYMETRICS, INC",,180,0,IT Overheads & Infrastructure,Computer Software,PCIDSS validation checks
,GSUITE KG-ESTATES.CO.U,,24,0,Asset Management Admin,Computer Software,KGEL DOMAIN
,COSTCO WHOLESALE,,26.4,4.4,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,sundries
,GEN REGISTER OFFICE,,16,0,Rough Sleep Initiative,Housing First,VT birth certificate
,SAINSBURYS SUPERMARKET,,16.1,0,Rough Sleep Initiative,Housing First,DR RSI provisions
,OVO ENERGY LTD,,50.26,2.39,COVID ICS Step-Down Accommodat,Gas,19 Beechwood Court gas & elec bill
,TESCO STORES,,64.32,0,COVID ICS Step-Down Accommodat,Other Miscellaneous Expenses,Stepdown flat food and equipment
,OVO ENERGY LTD,,51.02,2.43,COVID ICS Step-Down Accommodat,Electricity,19 Mitchison electricity bill
,TESCO STORES,,26.45,0,COVID ICS Step-Down Accommodat,Other Miscellaneous Expenses,stepdown flat goods
,SAINSBURYS SUPERMARKET,,10.33,0,COVID ICS Step-Down Accommodat,Food Purchases,welcome pack
,BRITISH GAS,,70.79,1.7,COVID ICS Step-Down Accommodat,Electricity,14 Mitchison electricity bill
,OVO ENERGY LTD,,23.88,0,COVID ICS Step-Down Accommodat,Gas,13 Beechwood gas and electricity bill
