Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
0000322718,CORNERSTONES BARRISTERS,23/08/2024,"8,400.00","1,400.00",Planning,Development Control,Legal and Court Costs
0000322721,LOCAL GOVERNMENT FUTURES LTD,23/08/2024,"14,142.00","2,357.00",Accounts,Corporate Management,Subscriptions General
0000322727,AIB MERCHANT SERVICES,28/08/2024,"1,020.59",0.00,Car Parks,Car Park Administration,Credit Card Charges
0000322741,SURREYARBORIST,27/08/2024,660.00,0.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322746,LAW MORGAN LTD T/AS MORGAN LAW LTD,27/08/2024,"1,980.00",330.00,Car Parks,Procurement,Agency Staff
0000322761,CORNERSTONES BARRISTERS,27/08/2024,"4,050.00",675.00,Planning,Development Control,Legal and Court Costs
0000322768,ORIGIN AMENITY SOLUTIONS,30/08/2024,951.58,158.60,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322769,PERTEMPS RECRUITMENT PARTNERSHIP LTD,27/08/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff
0000322771,SMI GROUP,27/08/2024,"1,081.20",180.20,Depot,Grounds Maintenance,Protective clothing
0000322772,INSIDE HOUSING SOLUTIONS LTD,30/08/2024,"4,800.00",800.00,Environmental Health,Noise Control,OutOfHoursCallService
0000322775,LCE,27/08/2024,"1,920.00",320.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000322776,LCE,27/08/2024,"1,920.00",320.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000322778,THAMESWAY CONTRACTORS LTD,27/08/2024,"10,542.07","1,757.01",Asset Management,Planned Maintenance Programme,Responsive maintenance
0000322779,THAMESWAY CONTRACTORS LTD,27/08/2024,"1,890.00",315.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000322780,THAMESWAY CONTRACTORS LTD,27/08/2024,"4,455.00",742.50,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000322781,THAMESWAY CONTRACTORS LTD,27/08/2024,"1,770.00",295.00,Asset Management,Benwell P2,Responsive maintenance
0000322784,USTIGATE LIMITED,27/08/2024,"1,500.00",250.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000322788,REDACTED PERSONAL INFORMATION,27/08/2024,805.00,0.00,Family Support,Spelthorne Family Support,Clinical Suprevision
0000322790,BACS IDS,27/08/2024,"9,242.06",0.00,Accounts,Service Charge JLL,Payment due
0000322791,KENT COUNTY COUNCIL (KCS),30/08/2024,"50,898.11","8,334.39",Asset Management,Various,Electricity
0000322797,BLACKSTONE PRINTING LTD,30/08/2024,"1,464.00",224.00,Planning,Planning Policy and Implement,Design Code
0000322805,PENTLAND PLANTS LTD,30/08/2024,"1,920.96",320.16,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322808,SELLICK PARTNERSHIP LTD,30/08/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000322811,TUDOR ENVIRONMENTAL,30/08/2024,"2,026.79",337.80,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322831,WEST LONDON FLOORING LTD,30/08/2024,"2,500.00",416.67,Chief Exec. Dpt,Business Incubator,Internal decorations
0000322832,PM CLEANING,30/08/2024,"1,000.00",0.00,Chief Exec. Dpt,Business Incubator,Cleaning General
0000322834,CTS RECRUITMENT,30/08/2024,614.02,102.34,Depot,Refuse Collection,Agency Staff
0000322835,BRAY ASSOCIATES,30/08/2024,"10,380.00","1,730.00",Depot,Staines Market,External Contracts
0000322836,MORGAN HUNT,30/08/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000322837,VIVID RESOURCING,30/08/2024,"1,590.00",265.00,Environmental Health,Environmental Health Admin,Agency Staff
0000322861,IMPROVEMENT&DEVELOPMENT AGENCY,30/08/2024,"1,200.00",200.00,Community Safety and Corporate Services,Members Expenses,Other training
0000322864,REDACTED PERSONAL INFORMATION,30/08/2024,"6,180.00","1,030.00",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000322867,VIVID RESOURCING,30/08/2024,"1,156.20",192.70,Environmental Health,Environmental Health Admin,Agency Staff
0000322870,REDACTED PERSONAL INFORMATION,30/08/2024,"4,560.00",760.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000322875,THAMESWAY CONTRACTORS LTD,30/08/2024,"21,409.09","3,568.18",Asset Management,Planned Maintenance Programme,Responsive maintenance
0000322879,KIRTON WATER TREATMENT SERVICES LTD,30/08/2024,"2,916.00",486.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000322880,KIRTON WATER TREATMENT SERVICES LTD,30/08/2024,"2,427.60",404.60,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000322882,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,30/08/2024,"1,188.00",198.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000322884,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,30/08/2024,720.00,120.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000322885,JK BUILD LTD,30/08/2024,"47,041.52","7,840.25",Asset Management,Ashford Cemetry Lodge,Planning Application fees
0000322887,THE OYSTER PARTNERSHIP,30/08/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000322888,THE OYSTER PARTNERSHIP,30/08/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000322889,THE OYSTER PARTNERSHIP,30/08/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000322891,THE OYSTER PARTNERSHIP,30/08/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000322892,THE OYSTER PARTNERSHIP,30/08/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000322893,THE OYSTER PARTNERSHIP,30/08/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000322894,THE OYSTER PARTNERSHIP,30/08/2024,"2,059.20",343.20,Asset Management,Asset Management Admin,Agency Staff
0000322895,LAW MORGAN LTD T/AS MORGAN LAW LTD,30/08/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff
0000322897,POWERPOINT FIRE AND SECURITY LTD,30/08/2024,"2,273.76",378.96,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000322899,POWERPOINT FIRE AND SECURITY LTD,30/08/2024,630.00,105.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000322902,CLYDE & CO LLP,30/08/2024,"3,003.60",500.60,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000322904,ELMBRIDGE BOROUGH COUNCIL,30/08/2024,"27,688.80","4,614.80",Depot,SAT,Partnership Authority Scheme
0000322912,GIFFORD TREE SERVICES,30/08/2024,"1,800.00",300.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322918,SURREY RECRUITMENT SERVICES LIMITED,30/08/2024,"9,658.78","1,609.81",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff
0000322962,BRANSON LEISURE LIMITED,30/08/2024,"1,344.00",224.00,Depot,Street Cleaning,Operational equip mats & suppl
,,,,,,,
,CREDIT CARDS,,,,,,
,ROBERT DYAS ECOM,,403.55,67.26,Parliamentary Elections 2024,Polling Staion Costs,clip lights for polling stations
,AMAZON * ELECTIONS,,68.34,11.40,Parliamentary Elections 2024,Polling Staion Costs,double sided tape for elections
,TESCO STORES,,15.00,0.00,Facilities Management,Tea Trolley provisions,milk
,SAINSBURYS SUPERMARKET,,28.65,0.00,Facilities Management,Tea Trolley provisions,milk 
,KENDALL CARS LTD,,-500.00,0.00,Parliamentary Elections 2024,Polling Staion Costs,reimbursement for election vehicle hire
,KENDALL CARS LTD,,-500.00,0.00,Parliamentary Elections 2024,Polling Staion Costs,reimbursement for election vehicle hire
,AMAZON* WALLED GARDEN,,19.90,3.32,Grounds Maintenance,Grounds maintained noncontract,hydra liquid for ponds - Nursery
,TESCO STORES,,18.85,0.00,Facilities Management,Tea Trolley provisions,milk
,TESCO STORES,,20.75,0.00,Facilities Management,Tea Trolley provisions,milk
,PAYAL *OPENSPACESS,,165.00,0.00,Neighbourhood Serv Mgt Support,Professional subscriptions,membership
,TESCO STORES,,19.95,0.00,Facilities Management,Tea Trolley provisions,milk
,JEWSON,,215.69,35.95,Neighbourhood Serv Mgt Support,Other Miscellaneous Expenses,worktop
,CLEARCHECK.CO.UK,,20.00,3.33,Neighbourhood Serv Mgt Support,Other Miscellaneous Expenses,DBS check
,SPECSAVERS,,60.00,0.00,Neighbourhood Serv Mgt Support,Medical Reports,Medical 
,SAINSBURYS.CO.UK,,228.87,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS.CO.UK,,-1.19,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS.CO.UK,,223.29,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS.CO.UK,,161.76,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,ICELAND FOODS,,199.30,0.00,Greeno Day Centre,Food Purchases,Food for Greeno
,SAINSBURYS.CO.UK,,259.78,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,AMAZON,,105.08,17.70,Fordbridge Day Centre,Operational Equipment purchase,Fordbridge - hearing aid maint tools
,AMAZON,,105.08,17.70,Greeno Day Centre,Operational Equipment purchase,Greeno - hearing aid maint tools
,AMAZON,,105.07,17.70,Staines Community Centre,Food Purchases,Staines CC - hearing aid main tools
,CANVA,,10.99,1.83,Corporate Publicity,Marketing,design software
,AMAZON,,9.89,1.65,Environmental Health Admin,Office Stationery,stationery
,AMAZON,,51.83,7.15,Environmental Health Admin,Office Stationery,stationery
,AMAZON,,15.51,2.59,Environmental Health Admin,Office Stationery,stationery
,AMAZON *123,,34.88,5.81,Office Services,Office Stationery,elections stationery
,WWW.AMAZON.UK.CO *123,,96.88,0.00,Office Services,Office Services,purchases
,AFFINITY WATER CCP,,21.50,0.00,Facilities Management,Facilities Management,maintenance
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,TESCO SUBSCRIPTION,,6.99,0.00,Corporate Management,Bank Charges,supersaver
,TESCO STORES ,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON *123,,39.95,6.66,Office Services,Office Equipment Purchase,maintenance
,AMAZON *123,,16.39,2.74,Office Services,Office Equipment Purchase,maintenance
,AMAZON *123,,146.29,24.39,Facilities Management,Operational Equipment Maint.,cups
,TESCO STORES ,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON *123,,56.88,9.48,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,15.36,2.56,Office Services,Office Stationery,stationery
,AMAZON *123,,16.03,2.67,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,10.07,1.68,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,79.90,13.32,Facilities Management,Operational Equipment Maint.,cups
,AMZNMKTPLACE,,34.56,5.77,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,5.58,0.93,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,10.39,,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,22.81,3.80,Office Services,Office Stationery,stationery
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON *123,,290.00,48.34,Planned Maintenance Programme,Programmed Maintenance,air con units - akin
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON *123,,16.98,2.83,Office Services,Office Stationery,stationery
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMZNMKTPLACE,,18.52,3.09,Office Services,Office Stationery,stationery
,AMZNMKTPLACE,,16.00,2.67,Office Services,Office Stationery,stationery
,BOOKER LTD,,220.91,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,ADOBE,,88.47,0.00,IT Overheads & Infrastructure,Computer Software,creative cloud
,GSUITE KG-ESTATES.CO.U,,24.00,0.00,Asset Management Admin,Computer Software,KGEL DOMAIN
,COSTCO WHOLESALE,,18.17,0.00,Housing Needs Administration,Conference fees travel & subst,Healthy Spelthorne forum refreshments
,SWRAILWAYSELFSERVE,,6.80,0.00,Rough Sleep Initiative,Public Transport,ticket for rough sleeper AF to Woking
,SAFESTORE LTD ONLINE,,144.56,0.00,Homelessness Prevention,Storage Costs,storage for J Oakley
,TIMPSON LTD,,12.00,0.00,Longford Village,General repairs,key cut for 605 Bath Road
,C I H,,78.00,0.00,Housing Needs Administration,Subscriptions General,Karen Sinclair annual membership
,COSTCO WHOLESALE,,-11.49,0.00,Parliamentary Elections 2024,Count Costs,credit
,COSTCO WHOLESALE,,205.99,7.66,Parliamentary Elections 2024,Count Costs,sundries
,SAINSBURYS.CO.UK,,68.20,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,foods
,OCADO,,75.79,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,foods
,HMRC ETMP,,204.20,0.00,Legal,Land registry,submission of stamp duty tax return
,AMAZON,,78.16,12.03,Rough Sleep Initiative,Housing First,"VT provisions hoover, mop"
,AMAZON,,37.97,6.33,Rough Sleep Initiative,Housing First,"VT provisions fan, echo"
,TESCO STORES,,200.00,0.00,Rough Sleep Initiative,Housing First,client vouchers
,TESCO STORES,,28.20,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,cutlery-kitchenware
,LIDL GB,,60.99,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food for rough sleeper
,TESCO STORES,,25.00,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food vouchers
,TESCO STORES,,25.00,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food vouchers
,TESCO STORES,,25.00,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food vouchers
,TESCO STORES,,25.00,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food vouchers
,TESCO STORES,,25.00,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food vouchers
,TESCO STORES,,25.00,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food vouchers
,TESCO STORES,,25.00,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food vouchers
,LIDL GB,,14.24,2.24,Rough Sleep Initiative,Other Miscellaneous Expenses,food for rough sleeper
,BRITISH GAS,,70.35,0.00,COVID ICS Step-Down Accommodat,Gas,114 Mitchison energy bill
,AFFINITY WATER,,68.53,0.00,COVID ICS Step-Down Accommodat,Other Miscellaneous Expenses,69 Floral house water bill
,AMAZON,,64.44,10.77,COVID ICS Step-Down Accommodat,Other Miscellaneous Expenses,"Toilet bowl & brush, mop and kettle"
,CURRYS ONLINE,,49.99,8.33,COVID ICS Step-Down Accommodat,Other Miscellaneous Expenses,Microwave
,OVO ENERGY LTD,,41.72,2.13,COVID ICS Step-Down Accommodat,Gas,19 Mitchison electricity bill
,OVO ENERGY LTD,,51.48,2.45,COVID ICS Step-Down Accommodat,Gas,19 Beechwod energy bill
,BRITISH GAS OTP,,154.94,7.37,COVID ICS Step-Down Accommodat,Gas,69 Floral house gas bill
,BRITISH GAS OTP,,82.33,3.92,COVID ICS Step-Down Accommodat,Gas,69 Floral energy bill
