Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
0000325437,SAFESITE SECURITY SOLUTIONS LTD,12/11/2024,"2,966.70",494.45,Asset Management,Ashford Hospital,Site Security
0000325438,ERITH HAULAGE COMPANY LIMITED,12/11/2024,"9,666.00","1,611.00",Asset Management,General Property Expenses,Collection of Rubbish & Recycl
0000325439,REDACTED PERSONAL INFORMATION,12/11/2024,"4,166.40",694.40,Asset Management,Thames Tower,Consultants fees
0000325442,SELLICK PARTNERSHIP LTD,12/11/2024,"2,422.37",403.73,Car Parks,Legal,Agency Staff
0000325443,SELLICK PARTNERSHIP LTD,12/11/2024,"1,819.15",303.19,Car Parks,Legal,Agency Staff
0000325444,CTS RECRUITMENT,12/11/2024,767.52,127.92,Depot,Refuse Collection,Agency Staff
0000325445,ACCELERATED MAILING & MARKETING,12/11/2024,852.64,142.11,Office Services,Customer Services,Bureau Printing
0000325458,SELLICK PARTNERSHIP LTD,12/11/2024,"2,127.25",354.54,Car Parks,Legal,Agency Staff
0000325472,NPOWER LTD,22/11/2024,"3,774.50",629.08,Community Safety and Corporate Services,Spelthorne Youth Hub,Electricity
0000325476,REDACTED PERSONAL INFORMATION,15/11/2024,948.00,158.00,Leisure,Corporate Management,Legal and Court Costs
0000325477,POWERPOINT FIRE AND SECURITY LTD,26/11/2024,840.00,140.00,Community Safety and Corporate Services,Spelthorne Youth Hub,F&F Leasing
0000325478,AMBEROL LTD,15/11/2024,"1,415.40",235.90,Depot,Grounds Maintenance,Operational Equipment purchase
0000325480,CPGEXP,22/11/2024,"5,424.00",904.00,Community Safety and Corporate Services,Share Prosperity Fund,Business Growth Plans & Innova
0000325483,SPINK STEAM CLEANING LTD,15/11/2024,"1,071.00",178.50,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000325485,POWERPOINT FIRE AND SECURITY LTD,22/11/2024,"8,436.40","1,406.07",Chief Exec. Dpt,Spelthorne Youth Hub,Operational Equipment purchase
0000325491,ILOCKERZ LTD,15/11/2024,"1,005.76",167.63,Office Services,IT Overheads & Infrastructure,Computer Software
0000325493,REDACTED PERSONAL INFORMATION,15/11/2024,"1,493.28",248.88,Leisure,Human Resources,Consultants fees
0000325497,FLOWBIRD SMART CITY UK LTD,15/11/2024,624.96,104.16,Car Parks,Car Park Administration,Operational Equipment Maint.
0000325499,APSE,15/11/2024,840.00,140.00,Depot,Neighbourhood Serv Mgt Support,Other Miscellaneous Expenses
0000325501,CHAIRCOVERDREAMS VENUE STYLIST,15/11/2024,"1,790.00",0.00,Community Safety and Corporate Services,Share Prosperity Fund,Business Growth Plans & Innova
0000325503,VIVID RESOURCING,15/11/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000325504,VIVID RESOURCING,15/11/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000325505,VIVID RESOURCING,15/11/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000325510,REDACTED PERSONAL INFORMATION,15/11/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325511,REDACTED PERSONAL INFORMATION,15/11/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325512,REDACTED PERSONAL INFORMATION,15/11/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325513,REDACTED PERSONAL INFORMATION,15/11/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325515,NETWORK MERCHANTS LIMITED,15/11/2024,"1,115.71",185.95,Car Parks,Car Park Administration,Credit Card Charges
0000325516,NETWORK MERCHANTS LIMITED,15/11/2024,"1,191.68",198.61,Car Parks,Car Park Administration,Credit Card Charges
0000325518,PREMIER SERVICES,15/11/2024,799.80,133.30,Depot,Neighbourhood Serv Mgt Support,Security services
0000325520,FOREMAN AND SONS,15/11/2024,"1,765.00",0.00,Environmental Health,Environmental Health Admin,Works in Default Costs
0000325532,SURREY COUNTY COUNCIL,15/11/2024,"3,192.00",532.00,Chief Exec. Dpt,Local Land Charges,Other LA Surrey County Council
0000325533,STILO DECORATING SERVICES,15/11/2024,550.00,0.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325538,RM STONE LTD,15/11/2024,"6,984.00","1,164.00",Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000325539,REDACTED PERSONAL INFORMATION,15/11/2024,"5,414.40",902.40,Asset Management,Charter Building,Consultants fees
0000325540,READING BOROUGH COUNCIL,15/11/2024,"19,373.12",0.00,Asset Management,Thames Tower,Business Rates
0000325543,THE ROYAL TOWN PLANNING INSTITUTE,15/11/2024,"3,170.00",0.00,Planning,Planning Policy and Implement,Professional subscriptions
0000325544,ELMBRIDGE BUILDING CONTROL SERVICES LTD,15/11/2024,"2,952.00",492.00,Building Control,Building Control,Land registry
0000325545,FIRST CALL CONTRACT SERVICES,22/11/2024,"1,649.47",274.91,Depot,Street Cleaning,Agency Staff
0000325548,REDACTED PERSONAL INFORMATION,15/11/2024,"2,215.84",369.31,Housing Benefits,HB Administration,Computer Software
0000325549,SDK ENVIRONMENTAL LTD,19/11/2024,"2,520.00",420.00,Environmental Health,Control of Stray Dogs,Kennel Costs
0000325550,G2RECRUITMENT,19/11/2024,"1,428.00",238.00,Environmental Health,Environmental Health Admin,Agency Staff
0000325551,REDACTED PERSONAL INFORMATION,19/11/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325563,REDACTED PERSONAL INFORMATION,15/11/2024,600.00,0.00,Housing Needs,Social Prescribing,Clinical Suprevision
0000325565,REDACTED PERSONAL INFORMATION,15/11/2024,"1,700.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325577,BRITISH GAS TRADING LTD,19/11/2024,638.90,30.42,Asset Management,Summit Centre,Gas
0000325593,REDACTED PERSONAL INFORMATION,15/11/2024,"85,631.45","14,271.91",Leisure,Sunbury Leisure Centre,Energy Costs
0000325596,MODAXO TRAFFIC MANAGEMENT UK LIMITED,15/11/2024,"10,076.88","1,679.48",Car Parks,Car Park Administration,Computer Software
0000325597,SIGNS EXPRESS,15/11/2024,"2,494.80",415.80,Community Safety and Corporate Services,Corporate Publicity,Notice Boards
0000325599,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,15/11/2024,"2,194.80",365.80,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325600,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,15/11/2024,"1,530.00",255.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325602,STILO DECORATING SERVICES,15/11/2024,"3,100.00",0.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325603,THE OYSTER PARTNERSHIP,15/11/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000325606,ANGERMANN GODDARD,15/11/2024,"8,100.00","1,350.00",Asset Management,Elmsleigh,Premises Letting Fees
0000325607,CLYDE & CO LLP,15/11/2024,"7,500.00","1,250.00",Asset Management,Elmsleigh,Legal and Court Costs
0000325608,REDACTED PERSONAL INFORMATION,15/11/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff
0000325620,MUNROE K ASSET MANAGEMENT,19/11/2024,"24,454.75",0.00,Accounts,Service Charge JLL,Payment due
0000325641,UNITY RECRUITMENT,19/11/2024,907.20,151.20,Car Parks,Car Park Administration,Agency Staff
0000325643,REDACTED PERSONAL INFORMATION,19/11/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325646,11KBW,19/11/2024,"2,340.00",390.00,Car Parks,Asset Management Admin,Legal and Court Costs
0000325648,MACMANUS MUSIC,19/11/2024,"1,800.00",0.00,Community Safety and Corporate Services,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000325649,REDACTED PERSONAL INFORMATION,19/11/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325650,BRONZE RESTORATIONS CONSULTANCY LTD,19/11/2024,"8,797.01","1,466.17",Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000325652,REDACTED PERSONAL INFORMATION,19/11/2024,744.00,124.00,Housing Needs,Longford Village,General repairs
0000325655,SAFEPLAY PLAYGROUND SERVICES LTD,19/11/2024,"4,038.66",673.11,Environmental Health,Stanwell New Start P3 Open Spa,Playground Improvements
0000325656,REDACTED PERSONAL INFORMATION,19/11/2024,840.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325662,REDACTED PERSONAL INFORMATION,29/11/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents
0000325663,REDACTED PERSONAL INFORMATION,29/11/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents
0000325664,REDACTED PERSONAL INFORMATION,29/11/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents
0000325666,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325668,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325670,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325671,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325672,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325673,REDACTED PERSONAL INFORMATION,29/11/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents
0000325675,REDACTED PERSONAL INFORMATION,29/11/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents
0000325676,REDACTED PERSONAL INFORMATION,29/11/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents
0000325677,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325678,LONDON WARRANT ENFORCEMENT,19/11/2024,730.84,0.00,Office Services,Office Services,Office Services
0000325679,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325680,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325681,REDACTED PERSONAL INFORMATION,29/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000325683,REDACTED PERSONAL INFORMATION,29/11/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents
0000325691,MARY GORTON DESIGN,19/11/2024,"1,044.00",0.00,Depot,Neighbourhood Serv Mgt Support,Marketing
0000325693,REDACTED PERSONAL INFORMATION,19/11/2024,"1,119.60",186.60,Leisure,Sunbury Leisure Centre,Consultants fees
0000325697,WILLMOTT DIXON CONSTRUCTION LIMITED,19/11/2024,"60,227.77","10,037.96",Asset Management,SpelthorneLeisurCenDevelopment,Other Works
0000325698,SELLICK PARTNERSHIP LTD,19/11/2024,"1,663.20",277.20,Car Parks,Legal,Agency Staff
0000325700,REDACTED PERSONAL INFORMATION,19/11/2024,"1,170.00",195.00,Leisure,Human Resources,Consultants fees
0000325701,REDACTED PERSONAL INFORMATION,19/11/2024,"14,675.16","2,445.86",Leisure,Human Resources,Consultants fees
0000325702,SAFESITE SECURITY SOLUTIONS LTD,19/11/2024,616.48,102.75,Asset Management,Thameside House,Security services
0000325707,BARCHAM TREES LTD,19/11/2024,"2,220.00",370.00,Depot,Grounds Maintenance,Trees
0000325708,BARCHAM TREES LTD,19/11/2024,"10,996.00","1,066.00",Depot,Grounds Maintenance,Operational equipment leasing
0000325709,J R B ENTERPRISE,19/11/2024,"6,908.11","1,151.35",Depot,Grounds Maintenance,Operational Equipment purchase
0000325710,ORIGIN AMENITY SOLUTIONS,19/11/2024,"1,855.80",309.30,Depot,Grounds Maintenance,Operational equip mats & suppl
0000325712,IDOX SOFTWARE LTD,19/11/2024,"1,428.00",238.00,Financial Support,Electoral Registration,Computer Software
0000325714,REDACTED PERSONAL INFORMATION,19/11/2024,"3,168.00",528.00,Planning,Planning Policy and Implement,Consultants fees
0000325716,EUROPEAN ASBESTOS SERVICES LTD,19/11/2024,841.20,140.20,Depot,Street Cleaning,Operational equip mats & suppl
0000325717,REDACTED PERSONAL INFORMATION,19/11/2024,"2,871.07",478.51,Housing Needs,Longford Village,General repairs
0000325724,REDACTED PERSONAL INFORMATION,19/11/2024,"4,416.00",736.00,Planning,Development Control,Consultants fees
0000325725,THAMESWAY CONTRACTORS LTD,22/11/2024,"1,470.00",245.00,Depot,Street Cleaning,Street Nameplates
0000325728,REDACTED PERSONAL INFORMATION,22/11/2024,"5,880.00",980.00,Human Resources,Human Resources,Consultants fees
0000325730,REDACTED PERSONAL INFORMATION,22/11/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325732,REDACTED PERSONAL INFORMATION,22/11/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325733,REDACTED PERSONAL INFORMATION,22/11/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325736,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG,22/11/2024,"12,000.00","2,000.00",Asset Management,Waterfront,Valuers
0000325739,CFH DOCMAIL LTD,29/11/2024,798.72,133.12,Accounts,Various,Postage CFH
0000325741,JEWSON LIMITED,29/11/2024,696.35,116.06,Depot,Grounds Maintenance,Operational Equipment purchase
0000325746,CGO ECOLOGY,22/11/2024,"2,376.00",396.00,Planning,Planning Policy and Implement,Biodiversity Net Gain
0000325747,REDACTED PERSONAL INFORMATION,22/11/2024,"14,258.40",0.00,Housing Needs,Step-Down Accommodation,Rents
0000325749,FLOWBIRD SMART CITY UK LTD,22/11/2024,"2,661.12",443.52,Car Parks,Car Park Administration,Operational equip mats & suppl
0000325750,CFH DOCMAIL LTD,29/11/2024,"1,796.16",299.36,Accounts,HB Administration,Postage CFH
0000325753,VIVID RESOURCING,22/11/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000325757,LLOYDS BANK PLC,29/11/2024,685.00,0.00,Accounts,Corporate Management,Bank Charges
0000325760,SURREY RECRUITMENT SERVICES LIMITED,22/11/2024,"7,547.98","1,257.98",Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000325761,G2RECRUITMENT,26/11/2024,"1,512.00",252.00,Environmental Health,Environmental Health Admin,Agency Staff
0000325762,EUROPEAN ASBESTOS SERVICES LTD,22/11/2024,"1,075.20",179.20,Depot,Street Cleaning,Operational equip mats & suppl
0000325766,FITZPATRICK BUILDERS,29/11/2024,"20,300.00","3,383.34",Community Safety and Corporate Services,Spelthorne Youth Hub,Internal decorations
0000325767,REDACTED PERSONAL INFORMATION,22/11/2024,"1,140.00",190.00,Housing Needs,LAHF properties,Void repair work
0000325768,VIVID RESOURCING,22/11/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000325769,SURREY RECRUITMENT SERVICES LIMITED,22/11/2024,"8,185.63","1,364.27",Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000325770,FIRST CALL CONTRACT SERVICES,29/11/2024,"2,249.28",374.88,Depot,Street Cleaning,Agency Staff
0000325772,CTS RECRUITMENT,22/11/2024,767.52,127.92,Depot,Refuse Collection,Agency Staff
0000325774,PEOPLESAFE,22/11/2024,"7,862.40","1,310.40",Depot,General Staff Exp Allocated,Security services
0000325781,REDACTED PERSONAL INFORMATION,22/11/2024,720.00,0.00,Independent Living,Fordbridge Day Centre,Food Purchases
0000325782,MUNROE K ASSET MANAGEMENT,22/11/2024,"9,155.72",0.00,Accounts,Service Charge JLL,Payment due
0000325788,WICKSTEED LEISURE LTD,22/11/2024,"1,665.31",277.55,Environmental Health,Grounds Maintenance,Playground Improvements
0000325790,HAZELWOOD COMMUNITY COMPANY,22/11/2024,"8,092.00","1,348.67",Community Safety and Corporate Services,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000325800,REDACTED PERSONAL INFORMATION,26/11/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325813,AIB MERCHANT SERVICES,29/11/2024,664.03,0.00,Car Parks,Car Park Administration,Credit Card Charges
0000325816,REDACTED PERSONAL INFORMATION,29/11/2024,"5,040.00",840.00,Asset Management,Thames Tower,Consultants fees
0000325817,UNITY RECRUITMENT,29/11/2024,932.40,155.40,Car Parks,Car Park Administration,Agency Staff
0000325818,ASHFORD YOUTH AND COMMUNITY CLUB CIC,22/11/2024,"3,833.39",0.00,Community Safety and Corporate Services,Spelthorne Youth Hub,General repairs
0000325824,REDACTED PERSONAL INFORMATION,22/11/2024,"3,000.00",500.00,Asset Management,Elmbrook House,Consultants fees
0000325829,BOTTOMLINE TECHNOLOGIES,29/11/2024,903.18,150.53,Accounts,Corporate Management,Bank Charges
0000325833,REDACTED PERSONAL INFORMATION,22/11/2024,"1,400.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325835,DEPOT,22/11/2024,"2,463.72",0.00,Environment Services,Sales Ledger Control Account,Refunds
0000325838,REDACTED PERSONAL INFORMATION,22/11/2024,"1,000.00",0.00,Housing Needs,Homelessness Prevention,Rent Deposits
0000325840,YBC CLEANING SERVICES LTD,22/11/2024,"12,197.04","2,032.84",Office Services,Various,Contract cleaning
0000325842,DAVID LOCK ASSOCIATES,22/11/2024,"39,000.00","6,500.00",Planning,Planning Policy and Implement,Design Code
0000325843,REDACTED PERSONAL INFORMATION,22/11/2024,"1,112.00",0.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000325844,REDACTED PERSONAL INFORMATION,26/11/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff
0000325847,MORGAN HUNT,26/11/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000325848,MORGAN HUNT,26/11/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000325849,MORGAN HUNT,26/11/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000325850,MORGAN HUNT,26/11/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000325857,LCE,26/11/2024,"11,190.00","1,865.00",Projects,Sunbury LC Decarb project Cap,Equipment
0000325860,GLASDON UK LTD,26/11/2024,"1,726.78",287.80,Depot,Neighbourhood Serv Mgt Support,Operational Equipment purchase
0000325861,REDACTED PERSONAL INFORMATION,26/11/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325863,SPECIALIST FLEET SERVICES LIMITED,26/11/2024,"4,732.77",755.42,Depot,"SAT, Refuse Collection, Neighbourhood Serv Mgt Support, Grounds Maintenance",Commercial Vehicle Maintenance
0000325865,GRANT THORNTON,26/11/2024,"61,666.80","10,277.80",Accounts,Corporate Management,External audit fees
0000325868,REDACTED PERSONAL INFORMATION,26/11/2024,"1,475.44",0.00,Leisure,General Staff Exp Unallocated,Consultants fees
0000325880,REDACTED PERSONAL INFORMATION,29/11/2024,"4,620.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000325896,REDACTED PERSONAL INFORMATION,29/11/2024,"5,880.00",980.00,Asset Management,Porter Building,Consultants fees
0000325900,GIFFORD TREE SERVICES,29/11/2024,900.00,150.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000325903,GIFFORD TREE SERVICES,29/11/2024,900.00,150.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000325908,THAMESWAY CONTRACTORS LTD,29/11/2024,"4,101.91",683.65,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000325910,THAMESWAY CONTRACTORS LTD,29/11/2024,"4,776.00",796.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000325912,A J PROCTER CLEANING CONTRACTORS CO LTD,29/11/2024,828.00,138.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325914,REDACTED PERSONAL INFORMATION,29/11/2024,748.44,124.74,Housing Needs,Various,Contract cleaning
0000325917,ELEMENT FIRE SYSTEMS & SOLUTIONS LTD,29/11/2024,798.00,133.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000325918,REDACTED PERSONAL INFORMATION,29/11/2024,"2,196.00",366.00,Housing Needs,Longford Village,General repairs
0000325920,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,29/11/2024,648.00,108.00,Asset Management,General Staff Exp Allocated,Security services
0000325922,CGO ECOLOGY,29/11/2024,"2,376.00",396.00,Planning,Planning Policy and Implement,Biodiversity Net Gain
0000325923,THE OYSTER PARTNERSHIP,29/11/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000325925,REDACTED PERSONAL INFORMATION,29/11/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff
0000325926,LEONARD OAKLEY CONTRACTS,29/11/2024,"7,488.00","1,248.00",Asset Management,Elmsleigh,General repairs
0000325937,SARTO THOMAS LTD,29/11/2024,"1,711.20",285.20,Planning,Planning Policy and Implement,Agency Staff
0000325939,WATSON FUELS,29/11/2024,"18,879.00","3,146.50",Depot,Depot Fuel & Oils,Purchases
0000325940,REDACTED PERSONAL INFORMATION,29/11/2024,886.28,26.43,Independent Living,Staines Community Centre,Food Purchases
0000325943,REDACTED PERSONAL INFORMATION,29/11/2024,"1,005.00",167.50,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000325944,REDACTED PERSONAL INFORMATION,29/11/2024,"4,309.33",58.83,Independent Living,Various,"Food Purchases, Catering Supplies (Non Food)"
0000325946,SELLICK PARTNERSHIP LTD,29/11/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000325947,REDACTED PERSONAL INFORMATION,29/11/2024,"2,142.28",30.47,Independent Living,Greeno Day Centre,Food Purchases
0000325950,PHS GROUP LTD,29/11/2024,"4,452.65",742.11,Office Services,Various,Operational Equipment Maint.
0000325952,CLOVER,29/11/2024,"2,891.71",0.00,Car Parks,Car Park Administration,Credit Card Charges
0000325953,REDACTED PERSONAL INFORMATION,29/11/2024,"1,320.00",0.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000325955,G2RECRUITMENT,29/11/2024,"1,905.76",317.63,Environmental Health,Environmental Health Admin,Agency Staff
0000325957,12 COLLEGE PLACE,29/11/2024,"1,595.00",265.83,Car Parks,Homelessness Prevention,Legal and Court Costs
0000325971,A CUT ABOVE (SURREY) LIMITED,29/11/2024,"1,260.00",210.00,Depot,Environmental Enhancements,Site improvements
0000325972,PHS GROUP LTD,29/11/2024,"3,907.38",651.23,Office Services,Facilities Management,Operational Equipment Maint.
0000325975,REDACTED PERSONAL INFORMATION,29/11/2024,823.00,0.00,Housing Needs,Rent Assure Scheme,Rents
0000325976,PERTEMPS RECRUITMENT PARTNERSHIP LTD,29/11/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff
0000325977,REDACTED PERSONAL INFORMATION,29/11/2024,"2,339.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325978,REDACTED PERSONAL INFORMATION,29/11/2024,"1,000.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325979,REDACTED PERSONAL INFORMATION,29/11/2024,"1,058.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325980,REDACTED PERSONAL INFORMATION,29/11/2024,"1,150.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000325981,REDACTED PERSONAL INFORMATION,29/11/2024,"1,050.00",0.00,Housing Needs,Rough Sleep Initiative,Rents
0000325982,TUDOR ENVIRONMENTAL,29/11/2024,"5,181.26",863.54,Depot,Grounds Maintenance,Operational Equipment Maint.
0000325984,ARLINGCLOSE LTD,29/11/2024,"25,200.00","4,200.00",Accounts,Corporate Management,Treasury Management
0000326010,REDACTED PERSONAL INFORMATION,29/11/2024,"30,802.42",0.00,Housing Needs,White House,Responsive maintenance
0000326011,REDACTED PERSONAL INFORMATION,29/11/2024,"6,472.58",0.00,Housing Needs,Harper House,Responsive maintenance
0000326026,REDACTED PERSONAL INFORMATION,29/11/2024,"1,188.00",198.00,Housing Needs,Homelessness Prevention,Legal and Court Costs
,,,,,,,
,CREDIT CARDS,,,,,,
,,,,,,,
,WWW.JOHNLEWIS.COM,,299.00,49.83,IT Administration,Long Service Awards,ASUS Vivobook Go 15 Laptop
,Amazon,,264.98,0.00,Accountancy,Long Service Awards,KPKUE Laptop screen extender
,SP TRADEFENCE,,983.53,163.92,Street Cleaning,Operational equip mats & suppl,Barriers
,TESCO STORES,,21.50,0.00,Facilities Management,Tea Trolley provisions,milk
,AMAZON,,5.99,1.00,Street Cleaning,Operational equip mats & suppl,Lithium batteries
,TFL ROAD CHG-PENALTY W,,500.00,0.00,Street Cleaning,Commercial Vehicle Road Tax,ULEZ LEZ
,TESCO STORES,,20.30,0.00,Facilities Management,Tea Trolley provisions,milk
,BP ASHFORD CONNECT,,20.65,0.00,Facilities Management,Tea Trolley provisions,meeting refreshments
,AMAZON,,97.35,16.21,Grounds Maintenance,Sponsorship -Non  VATable,"White frames, gardening set for SIB"
,LONGACRES GC SHEPPERTON,,45.00,7.50,Grounds Maintenance,Sponsorship -Non  VATable,Flowers for SIB
,SCREWFIX DIRECT,,148.01,0.00,Grounds Maintenance,Grounds maintained noncontract,Cable ties
,SHELL ASHFORD,,13.30,0.00,Facilities Management,Tea Trolley provisions,milk
,AMAZON,,85.00,14.17,Neighbourhood Serv Mgt Support,Office Stationery,magnetic whiteboard
,AMAZON,,19.19,3.20,Neighbourhood Serv Mgt Support,Office Stationery,dry eraser
,AMAZON,,24.86,4.15,Neighbourhood Serv Mgt Support,Office Stationery,whiteboard and markers
,AMAZON,,21.99,3.67,Neighbourhood Serv Mgt Support,Office Stationery,batteries
,TESCO STORES,,166.25,0.00,Facilities Management,Tea Trolley provisions,"tea, coffee, sugar"
,AMAZON,,24.85,4.16,Grounds Maintenance,Sponsorship -Non  VATable,White frames
,VOUCHER EXPRESS,,890.00,0.00,Grounds Maintenance,Sponsorship -Non  VATable,vouchers for Spelthorne in Bloom
,AMAZON,,12.19,2.03,Neighbourhood Serv Mgt Support,Office Stationery,tape label replacement
,BOSTON BULBS WHOLESALE,,221.99,37.00,Environmental Enhancements,Grounds maintained noncontract,flower bulbs
,AMAZON,,6.99,0.00,Neighbourhood Serv Mgt Support,Office Stationery,mini envelopes
,ICELAND,,-7.00,0.00,Greeno Day Centre,Operational Equipment purchase,Iceland food credit
,SAINSBURYS,,-220.70,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS,,220.70,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,HIGHFIELD-GROUP,,60.00,10.00,CX,Other training,Food safety training for AW & FM
,AMAZON,,-44.03,-7.34,Staines Community Centre,Operational Equipment purchase,Return of bridge table
,SAINSBURYS,,-4.50,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS,,175.92,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SP CUPSDIRECT,,114.90,19.15,Fordbridge Day Centre,Kitchen & Canteen Equipment,Foil takeaway trays and lids
,SAINSBURYS,,238.20,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS,,-1.60,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS,,192.70,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,CANVA,,10.99,1.83,Corporate Publicity,Marketing,design software
,FACEBK,,200.00,0.00,Corporate Publicity,Marketing,adverts
,FACEBK,,100.00,0.00,Corporate Publicity,Marketing,adverts
,WWW.CIRIA.ORG,,192.00,32.00,CX,Other training,PFAS Risks Training
,AMAZON,,12.91,0.00,Environmental Health Admin,Office Stationery,stationery
