Beneficiary,Transactiosn Date,TransNo,Procurement,Purpose of Spend,Organisation,Amount
AMAZON  TR6S65DE4,10/12/2024,31180890,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,50.13
AMAZON  TX0DQ6584,10/12/2024,31180860,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,7.29
AMAZON  TX0O135S4,10/12/2024,31181105,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,16.99
AMAZON  TX0PH3B14,10/12/2024,31180983,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,10.58
AMAZON  TX28L1MH4,10/12/2024,31181144,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,8.28
AMAZON  TX45M3K34,10/12/2024,31181038,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,78.80
AMAZON  TX5C12DS4,10/12/2024,31180834,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,14.79
AMAZON  TX6TW2124,10/12/2024,31181184,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,29.68
AMAZON  TX7DS5074,10/12/2024,31180850,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,12.10
Amazon Prime TL6132BG4,10/12/2024,31180979,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,8.99
Amazon.co.uk T33LD0414,10/12/2024,31181224,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,33.59
Amazon.co.uk T34FF9TN4,10/12/2024,31181027,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,14.78
Amazon.co.uk T37LP9LZ4,10/12/2024,31180907,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,12.35
Amazon.co.uk TL06B8MS4,10/12/2024,31180921,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,31.30
Amazon.co.uk TL3DH45D4,10/12/2024,31181114,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,45.67
AMZNMktplace T30OJ1LF4,10/12/2024,31181166,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,39.60
AMZNMktplace T32V14LP4,10/12/2024,31180826,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,53.55
AMZNMktplace T33A19A74,10/12/2024,31180888,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,81.85
AMZNMktplace T678K9HH4,10/12/2024,31178416,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,19.68
AMZNMktplace TL4QZ3TX4,10/12/2024,31180951,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,24.11
AMZNMktplace TL9184BF4,10/12/2024,31181163,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,20.07
Balluff Limited,10/12/2024,31181249,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,107.33
BCK maxodeals.com,10/12/2024,31178446,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,26.46
BRISTOW AND SUTOR,10/12/2024,31166670,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,724.11
EUROCELL,10/12/2024,31169166,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,43.15
GREEN VALLEY INDUSTRIA,10/12/2024,31181086,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,153.53
HOWARTH TIMBER,10/12/2024,31173784,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,158.39
J DICKINSON AND SONS H,10/12/2024,31169274,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,256.80
MILWAUKEE POWER TOOLS,10/12/2024,31181247,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,140.94
"Mouser Electronics, In",10/12/2024,31181201,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,95.80
PARCEL MONKEY,10/12/2024,31180880,"Supplies, Services & Other Expenses",Postage,Greater Manchester Combined Authority,23.09
PARCEL MONKEY,10/12/2024,31180925,"Supplies, Services & Other Expenses",Postage,Greater Manchester Combined Authority,11.99
PARCEL MONKEY,10/12/2024,31181068,"Supplies, Services & Other Expenses",Postage,Greater Manchester Combined Authority,23.50
SP LABELZONE,10/12/2024,31181066,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,330.85
STORE FIRST,10/12/2024,31162179,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31162306,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31163749,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31163753,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31166585,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31166858,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31169232,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31169253,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31169266,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31169318,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,312.00
STORE FIRST,10/12/2024,31171262,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,330.91
STORE FIRST,10/12/2024,31171310,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,330.91
STORE FIRST,10/12/2024,31175823,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,330.91
STORE FIRST,10/12/2024,31176066,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,330.91
STORE FIRST,10/12/2024,31178713,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,330.91
STORE FIRST,10/12/2024,31178845,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,330.91
STORE FIRST,10/12/2024,31180833,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,330.91
STORE FIRST,10/12/2024,31180920,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,330.91
SumUp   D wynn Steam c,10/12/2024,31181106,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,168.00
SumUp   D wynn Steam c,10/12/2024,31181019,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,84.00
SumUp   D wynn Steam c,10/12/2024,31181065,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,84.00
TESCO STORES 3041,10/12/2024,31178487,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,88.50
TYLDESLEY TYRE & EXHAU,10/12/2024,31181012,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,45.00
UPS LTD,10/12/2024,31181005,"Supplies, Services & Other Expenses",Postage,Greater Manchester Combined Authority,508.29
WWW.AMAZON.  TX1KP6ZS4,10/12/2024,31181059,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,11.04
WWW.AMAZON.  TX2UD0DN4,10/12/2024,31181219,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,28.99
WWW.AMAZON.  TX2XY2QH4,10/12/2024,31180962,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,17.77
WWW.AMEY.CO.UK,10/12/2024,31175951,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,"1,027.02"
WWW.PLANNINGPORTAL.CO.,10/12/2024,31175889,Capital,Estates Capital Contracts,Greater Manchester Combined Authority,215.00
Canva  04316-24807771,11/12/2024,31180923,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,27.00
DMN  PICCOLINOCAFFEGRA,11/12/2024,31181256,Employees Pay,Seconded Employee Cost,Greater Manchester Combined Authority,151.50
EB  FROM DISCOVERY TO,11/12/2024,31181098,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,-16.96
PHILPOTTS,11/12/2024,31181061,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,138.50
SAS EVENT MANAGEMENT,11/12/2024,31181039,"Supplies, Services & Other Expenses",Professional Fees,Greater Manchester Combined Authority,-66.00
AMAZON  TR1O601Q4,16/12/2024,31181196,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,85.31
AMAZON  TR8TH31W4,17/12/2024,31181207,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,32.48
Intuit Ltd Mailchimp,17/12/2024,31183197,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,10.35
IONOS CLOUD LTD,17/12/2024,31183341,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,54.00
WWW.DEVSCOPE.NET,17/12/2024,31183241,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,343.91
AMAZON  8H0NW5Z45,18/12/2024,31183424,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,46.85
AMAZON  9Y4GP9SZ5,18/12/2024,31183524,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,18.95
AMAZON  T62H52HO5,18/12/2024,31183462,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,43.99
AMZNMktplace NK2HQ34V5,18/12/2024,31183366,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,4.96
AMZNMktplace TP3JM6NH4,18/12/2024,31183347,"Supplies, Services & Other Expenses",Operational Equipment Consumables,Greater Manchester Combined Authority,11.28
APPLE.COM/BILL,18/12/2024,31169308,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,0.99
APPLE.COM/BILL,18/12/2024,31171144,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,0.99
APPLE.COM/BILL,18/12/2024,31175913,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,0.99
APPLE.COM/BILL,18/12/2024,31176034,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,0.99
APPLE.COM/BILL,18/12/2024,31178797,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,0.99
APPLE.COM/BILL,18/12/2024,31181155,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,0.99
ASDA STORES,18/12/2024,31183512,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,1.30
Audible UK,18/12/2024,31173828,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,7.99
B&M 459 - HS MANCHESTE,18/12/2024,31183185,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,46.00
B&M 459 - HS MANCHESTE,18/12/2024,31183382,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,100.00
BOING RAPID SECURE LTD,18/12/2024,31183173,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,228.00
BURY COUNCIL,18/12/2024,31183190,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,2.50
CHERWELL V. N/E BK,18/12/2024,31175906,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,12.09
HORIZON PI BIRMINGHAM,18/12/2024,31178569,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,26.00
LYNX TAXIS  LYNXTAXIS,18/12/2024,31183474,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,48.00
M6 TOLL,18/12/2024,31166789,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,8.90
MCDONALDS,18/12/2024,31166694,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,8.09
MCDONALDS,18/12/2024,31178512,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,9.88
MISSION MARS,18/12/2024,31183489,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,100.00
Moor Hall Hotel,18/12/2024,31183537,"Supplies, Services & Other Expenses",Detection Identification and Monitoring,Greater Manchester Combined Authority,280.00
TESCO STORES 5447,18/12/2024,31183595,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,11.89
THE RANGE,18/12/2024,31183576,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,66.43
UBER    TRIP,18/12/2024,31183395,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,12.38
UBER    TRIP,18/12/2024,31183582,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,13.60
AMZNBusiness 2063L57C5,19/12/2024,31183375,"Supplies, Services & Other Expenses",Waste Campaigns,Greater Manchester Combined Authority,29.89
AMZNMktplace C99206FS5,19/12/2024,31183560,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,111.98
AMZNMktplace T34ZY53W4,19/12/2024,31181234,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,99.65
AMZNMktplace T909K13H4,19/12/2024,31183589,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,62.95
AMZNMktplace TP1J60PP4,19/12/2024,31183476,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,19.90
ATHERTON MINI MARKET,19/12/2024,31183456,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,3.39
ATHERTON MINI MARKET,19/12/2024,31183600,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,1.90
B & Q 1057,19/12/2024,31183291,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,60.71
B & Q 1229,19/12/2024,31183281,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,38.36
B & Q 1229,19/12/2024,31183513,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,24.10
B & Q 1360,19/12/2024,31183323,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,21.00
BES LTD,19/12/2024,31183460,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,222.84
BRIAN S.POPE LIMITED,19/12/2024,31183319,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,51.99
Canva  04353-50833574,19/12/2024,31183343,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,10.99
CBA AOMEI,19/12/2024,31180945,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,187.61
CITIPARK 03333444939,19/12/2024,31173494,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,2.50
CO-OP GROUP 108196,19/12/2024,31183619,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,7.95
CROWN LIQUOR SALOO,19/12/2024,31183415,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,30.60
DIGITAL ID,19/12/2024,31176038,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,550.74
DIGITAL ID,19/12/2024,31181000,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,550.74
FACEBK  5HMF3E4MF2,19/12/2024,31183195,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,21.61
FACEBK  LAFS2DYLF2,19/12/2024,31180984,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,92.48
FACEBK  LRJHPG4LF2,19/12/2024,31183467,"Supplies, Services & Other Expenses",Waste Campaigns,Greater Manchester Combined Authority,700.00
FIX THE BOG,19/12/2024,31183182,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,25.97
George Hill Bolton Bol,19/12/2024,31183348,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,658.56
Google CLOUD V7HSZZ,19/12/2024,31180980,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,64.54
HOWARTH TIMBER,19/12/2024,31173436,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,67.28
HOWDENS-RADCLIFFE DF12,19/12/2024,31183378,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,9.00
HOWDENS-RADCLIFFE DF12,19/12/2024,31183563,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,422.53
INTERFLORA BRITISH UNI,19/12/2024,31183457,"Supplies, Services & Other Expenses",General Office Expenses,Greater Manchester Combined Authority,84.00
Intuit Ltd Mailchimp,19/12/2024,31180997,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,50.02
Intuit Ltd Mailchimp,19/12/2024,31181120,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,50.60
LPI MEMBERSHIP,19/12/2024,31181156,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,137.50
M6 TOLL,19/12/2024,31183383,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,16.60
M6 TOLL,19/12/2024,31183569,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,16.60
M6 TOLL,19/12/2024,31183346,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,16.60
M6 TOLL,19/12/2024,31183625,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,16.60
MACHINE MART LTD,19/12/2024,31183515,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,115.80
MANCHESTER PICCOLINO,19/12/2024,31152522,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,"1,000.00"
MURFIX LIMITED,19/12/2024,31183525,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,100.07
MURFIX LIMITED,19/12/2024,31183639,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,134.34
NCC PARKING CICO,19/12/2024,31166723,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,31.90
NCP MANCHESTER OXFFORD,19/12/2024,31178454,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,7.50
PRET A MANGER,19/12/2024,31183587,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,9.20
RS COMPONENTS,19/12/2024,31183331,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,58.21
SAINSBURYS S/MKTS,19/12/2024,31183614,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,4.85
SCREWFIX DIR LTD,19/12/2024,31183201,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,59.40
SCREWFIX DIR LTD,19/12/2024,31183306,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,166.83
SCREWFIX DIR LTD,19/12/2024,31183503,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,225.21
SCREWFIX DIRECT,19/12/2024,31183305,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,279.41
SCREWFIX DIRECT,19/12/2024,31183439,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,55.03
SELCO TRADING CTR,19/12/2024,31183304,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,46.16
Signal Box Euston,19/12/2024,31183594,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,19.46
SP ASPARES,19/12/2024,31183273,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,25.05
SumUp   Abba cars,19/12/2024,31183604,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,20.00
SumUp   DAFFODILS TAKE,19/12/2024,31176030,"Supplies, Services & Other Expenses",Operational Equipment Non-Consumables,Greater Manchester Combined Authority,73.00
SumUp   Startaxis,19/12/2024,31183263,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,50.00
T Roberts Catering 1,19/12/2024,31183536,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,17.60
tfgm.com/charges,19/12/2024,31183473,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,4.60
TFL TRAVEL CH,19/12/2024,31183269,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,5.50
TOOLSTATION LTD,19/12/2024,31183239,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,33.44
TOOLSTATION LTD,19/12/2024,31183588,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,16.96
TOOLSTATION LTD,19/12/2024,31183605,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,55.05
Trackmaster Window Bli,19/12/2024,31183278,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,60.00
TRAVIS PERKINS  TRADIN,19/12/2024,31183555,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,12.86
TRIDENTUKCOM ONLINE,19/12/2024,31183234,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,364.00
TXW London Taxi 72644,19/12/2024,31183340,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,6.00
Tygas,19/12/2024,31183626,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,128.00
UBER    TRIP,19/12/2024,31183207,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,15.91
UBER    TRIP,19/12/2024,31178723,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,48.91
UBER    TRIP,19/12/2024,31178847,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,13.94
UBER    TRIP,19/12/2024,31183580,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,16.91
UBER  TRIP HELP.UBER.C,19/12/2024,31178615,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,0.78
UBER  TRIP HELP.UBER.C,19/12/2024,31178675,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,6.12
UBER  TRIP HELP.UBER.C,19/12/2024,31178676,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,15.43
UBER  TRIP HELP.UBER.C,19/12/2024,31178790,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.24
UBER  TRIP HELP.UBER.C,19/12/2024,31178812,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.24
UBER  TRIP HELP.UBER.C,19/12/2024,31178821,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,5.65
UBER  TRIP HELP.UBER.C,19/12/2024,31178859,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,21.85
UPPER CRUST,19/12/2024,31183254,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,3.45
WOLSELEY UK,19/12/2024,31183218,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,16.58
WWW.AMAZON.  C72V51855,19/12/2024,31183309,"Supplies, Services & Other Expenses",Office Equipment,Greater Manchester Combined Authority,53.99
WWW.AMAZON.  T38ZP7XM4,19/12/2024,31180950,Indirect Employee Allowances,Training Course Fees,Greater Manchester Combined Authority,257.49
WWW.CATERKWIK.CO.UK,19/12/2024,31183477,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,575.98
Zettle_ DITTO COFFEE M,19/12/2024,31183349,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,36.60
AMAZON  T93SR9J04,20/12/2024,31183177,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,50.99
AMAZON  TA65878Q4,20/12/2024,31178635,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,43.40
AMAZON  TP2UX1H94,20/12/2024,31183454,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,82.37
AMZNMktplace 7Y6SK3V35,20/12/2024,31183538,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,31.96
ARCO LTD,20/12/2024,31183392,"Supplies, Services & Other Expenses",Waste Protective Clothing,Greater Manchester Combined Authority,51.96
AVANTI WEST COAST,20/12/2024,31183428,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,8.00
AVANTI WEST COAST,20/12/2024,31183497,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,8.00
B & Q 1304,20/12/2024,31183311,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,20.41
Bagel Factory,20/12/2024,31183355,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,9.78
BARLEY FARM,20/12/2024,31183236,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,70.84
BEE NETWORK APP,20/12/2024,31183618,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,18.20
CAFFE NERO MANCHESTER,20/12/2024,31183350,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,9.50
M6 TOLL,20/12/2024,31183458,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
M6 TOLL,20/12/2024,31183233,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
ONE STOP FENCING P,20/12/2024,31183553,Premises Related Expenditure,Waste Site Responsive,Greater Manchester Combined Authority,9.00
Orzo´s,20/12/2024,31183433,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,10.35
PAYPAL  CENTRALCTRL,20/12/2024,31180854,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,199.52
SAINSBURYS S/MKTS,20/12/2024,31183365,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,60.97
TESCO PFS 2455,20/12/2024,31183310,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,7.60
TESCO STORES 3396,20/12/2024,31183623,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,6.20
TESCO STORES 6476,20/12/2024,31183332,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,5.49
TESCO-STORES 6487,20/12/2024,31183322,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,12.00
TIMES NEWSPAPERS LTD,20/12/2024,31178760,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,26.00
TRANSPORT FOR GREATER,20/12/2024,31183180,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,271.10
WETRANSFER  1A40B5F,20/12/2024,31180911,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,103.63
WWW.AMAZON.  TP8FC8SE4,20/12/2024,31183264,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,-26.49
WWW.AMAZON.  TP8FC8SE4,20/12/2024,31183321,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,26.49
