Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description,,
2780,2025-03-03 00:00:00,0041348387,INV,11.99,HARTLAND EDUCATION,02928400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35200,Special Fees,2383235200000000,SACRE Special Fees
2781,2025-03-13 00:00:00,0041349203,INV,2000,HARTLAND EDUCATION,02928400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35200,Special Fees,2383235200000000,SACRE Special Fees
2782,2025-03-17 00:00:00,0030276586,INV,1050,SIR JOSEPH WILLIAMSONS ACADEMY,00577200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,45000,PaymentstoOthe,2383245000000000,SACRE Oth Pub Bods
2783,2025-03-17 00:00:00,0030276586,INV,265.39,SIR JOSEPH WILLIAMSONS ACADEMY,00577200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,45000,PaymentstoOthe,2383245000000000,SACRE Oth Pub Bods
2784,2025-03-17 00:00:00,0030276582,INV,1050,WALDERSLADE PRIMARY ACADEMY,04105700,CHILDREN AND ADULTS,EDUCATION,EDUCATION,45000,PaymentstoOthe,2383245000000000,SACRE Oth Pub Bods
2785,2025-03-24 00:00:00,0041350197,INV,4451.2,MEE CONSULTANCY LTD,03753400,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,09600,Staff Training,3089009600000000,HAF Staff Training
2786,2025-03-13 00:00:00,0041349172,INV,5720,IDEAS & THAT,14343200,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,39400,Advertising,3089039400000000,HAF Advertising
2787,2025-03-17 00:00:00,0041349441,INV,500,ROWANS AP ACADEMY,04158000,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2788,2025-03-03 00:00:00,0041348434,INV,485.87,THE PARISH OF ST FRANCIS OF ASSISI,14202000,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2789,2025-03-06 00:00:00,0041348683,INV,480.03,GREAT LEAPS ADVENTURE CIC,14277000,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2790,2025-03-10 00:00:00,0041348831,INV,400,OLYMPIA BOXING CIC,13658100,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2791,2025-03-10 00:00:00,0041348834,INV,500,HOO SPORTS,14333200,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2792,2025-03-11 00:00:00,0041348844,INV,499,SPORT ON YOUR DOORSTEP CIC,14213300,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2793,2025-03-20 00:00:00,0041350192,INV,500,ZC SOCIAL MEDIA,14469900,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2794,2025-03-13 00:00:00,0041349049,INV,10250,SOLUTIONS STRATEGY RESEARCH,14462400,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2795,2025-03-17 00:00:00,0041349440,INV,287.46,CHALLENGER TROOP CIC,14336300,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2796,2025-03-17 00:00:00,0041349444,INV,489.67,STRIVE PE SPORT,14296700,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2797,2025-03-20 00:00:00,0041350030,INV,500,SENDTIVATE,14382200,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2798,2025-03-20 00:00:00,0041350039,INV,493.94,RIVERMEAD SOLUTIONS CIC,14391700,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2799,2025-03-31 00:00:00,0041350041,INV,10250,SOLUTIONS STRATEGY RESEARCH,14462400,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2800,2025-03-25 00:00:00,0041350620,INV,1950,PICKLED PEPPER PRODUCTIONS LTD,14246500,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2801,2025-03-03 00:00:00,0041348465,INV,495.76,STRIVE PE SPORT,14296700,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2802,2025-03-06 00:00:00,0041348660,INV,499.9,SENDTIVATE,14382200,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2803,2025-03-06 00:00:00,0041348661,INV,500,TEAMTHEME KENT LTD,14525400,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2804,2025-03-06 00:00:00,0041348718,INV,500,LONDON GOSPEL MUSIC COMPANY,14397000,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2805,2025-03-06 00:00:00,0041348735,INV,15000,EEQU LTD,14577700,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2806,2025-03-17 00:00:00,0041349438,INV,500,THE FUTURE OF SPORT CIC,14512100,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2807,2025-03-20 00:00:00,0041350194,INV,300,THE FENN BELL CONSERVATION PROJECT,01345900,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2808,2025-03-20 00:00:00,0041350203,INV,374.17,DIGGERLAND,02053500,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2809,2025-03-24 00:00:00,0041350307,INV,1196,PRIME LEISURE GROUP LTD (NINJA WARRIOR),14332200,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2810,2025-03-24 00:00:00,0041350315,INV,8750,PICKLED PEPPER PRODUCTIONS LTD,14246500,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2811,2025-03-25 00:00:00,0041350614,INV,2343,ARRIVA KENT & SURREY LTD,01402900,CHILDREN AND ADULTS,ADDITIONAL GOVERNMENT GRANTS,ADDITIONAL GOVERNMENT GRANTS,46000,Payments to Private Contractor,3089046000000000,HAF Priv Contract
2812,2025-03-21 00:00:00,0080581782,INV,50,CRW CONSULTANCY LTD,30496400,CHILDREN AND ADULTS,PRTNRSHP COMM & BUS INTELLIGEN,PRTNRSHP COMM & BUS INTELLIGEN,32205,Name Badges,3090132205000000,COM&STRAT STFF Name Badges
2813,2025-03-21 00:00:00,0080581793,INV,50,NICOLA GRIEVE,30497800,CHILDREN AND ADULTS,PRTNRSHP COMM & BUS INTELLIGEN,PRTNRSHP COMM & BUS INTELLIGEN,32205,Name Badges,3090132205000000,COM&STRAT STFF Name Badges
2814,2025-03-17 00:00:00,0041349566,INV,6300,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2815,2025-03-17 00:00:00,0041349570,INV,1925,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2816,2025-03-17 00:00:00,0041349562,INV,575,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2817,2025-03-20 00:00:00,0041349788,INV,1925,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2818,2025-03-24 00:00:00,0041350242,INV,575,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2819,2025-03-24 00:00:00,0041350243,INV,1000,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2820,2025-03-10 00:00:00,0041348777,INV,1100,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2821,2025-03-17 00:00:00,0041349378,INV,2250,NUMBER 10 INTERIM LTD,03604800,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2822,2025-03-17 00:00:00,0041349561,INV,1000,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2823,2025-03-24 00:00:00,0041350265,INV,4500,NUMBER 10 INTERIM LTD,03604800,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2824,2025-03-27 00:00:00,0041350707,INV,1200,NUMBER 10 INTERIM LTD,03604800,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2825,2025-03-27 00:00:00,0041350707,INV,600,NUMBER 10 INTERIM LTD,03604800,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2826,2025-03-17 00:00:00,0041349622,INV,1000,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2827,2025-03-17 00:00:00,0041349623,INV,287.5,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2828,2025-03-18 00:00:00,0041349638,INV,1350,NUMBER 10 INTERIM LTD,03604800,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2829,2025-03-03 00:00:00,0041348488,INV,1100,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2830,2025-03-03 00:00:00,0041348486,INV,550,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2831,2025-03-03 00:00:00,0041348485,INV,1000,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2832,2025-03-03 00:00:00,0041348477,INV,1375,PERMANENT FUTURES LTD,04201000,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2833,2025-03-03 00:00:00,0041348397,INV,4950,NUMBER 10 INTERIM LTD,03604800,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2834,2025-03-17 00:00:00,0041347904,INV,1537,CAPABILITY FOR CHANGE LTD,14576600,CHILDREN AND ADULTS,AD ASC,AD ASC,35000,HR Approved Ag,3090435000060990,ASC SYSTEMS Agency Child R
2835,2025-03-06 00:00:00,0014903110,INV,500,REDACTED PERSONAL DATA,30107100,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2836,2025-03-24 00:00:00,0016974902,INV,500,REDACTED PERSONAL DATA,30050500,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2837,2025-03-31 00:00:00,0016976280,INV,500,REDACTED PERSONAL DATA,30149100,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2838,2025-03-17 00:00:00,0030276589,INV,500,REDACTED PERSONAL DATA,03754200,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2839,2025-03-18 00:00:00,0030276599,INV,500,REDACTED PERSONAL DATA,30066000,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2840,2025-03-25 00:00:00,0016974925,INV,500,REDACTED PERSONAL DATA,30062500,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2841,2025-03-13 00:00:00,0030276573,INV,1000,REDACTED PERSONAL DATA,30139000,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2842,2025-03-18 00:00:00,0030276602,INV,500,REDACTED PERSONAL DATA,30066100,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2843,2025-03-20 00:00:00,0030276656,INV,1175,REDACTED PERSONAL DATA,30216300,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2844,2025-03-31 00:00:00,0016976279,INV,750,REDACTED PERSONAL DATA,30301000,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2845,2025-03-27 00:00:00,0030276701,INV,500,REDACTED PERSONAL DATA,30390500,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2846,2025-03-18 00:00:00,0030276600,INV,500,REDACTED PERSONAL DATA,30105400,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2847,2025-03-18 00:00:00,0030276601,INV,500,REDACTED PERSONAL DATA,30105300,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2848,2025-03-25 00:00:00,0016974922,INV,750,REDACTED PERSONAL DATA,30392900,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2849,2025-03-25 00:00:00,0016974923,INV,500,REDACTED PERSONAL DATA,30093000,CHILDREN AND ADULTS,AD ASC,AD ASC,52500,Social Services Direct Payment,3090652500000000,AIM HIGH SHOR B S S Direct Pmt
2850,2025-03-27 00:00:00,0041350709,INV,2033.32,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2851,2025-03-27 00:00:00,0041350782,INV,1986.3,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2852,2025-03-31 00:00:00,0041350993,INV,1871.5,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2853,2025-03-31 00:00:00,0041350999,INV,2069,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2854,2025-03-31 00:00:00,0041351001,INV,1831.5,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2855,2025-03-31 00:00:00,0041351007,INV,1863,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2856,2025-03-06 00:00:00,0041348055,INV,1856.25,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2857,2025-03-06 00:00:00,0041348625,INV,1860.75,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2858,2025-03-06 00:00:00,0041348635,INV,1982.96,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2859,2025-03-06 00:00:00,0041348686,INV,2117.7,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2860,2025-03-20 00:00:00,0014903209,CRN,-1961,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2861,2025-03-20 00:00:00,0014903209,CRN,-36.45,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2862,2025-03-06 00:00:00,0041348079,INV,1831.5,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2863,2025-03-20 00:00:00,0041350083,INV,1860.75,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2864,2025-03-20 00:00:00,0041350101,INV,1831.5,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2865,2025-03-20 00:00:00,0041350103,INV,1831.5,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2866,2025-03-13 00:00:00,0041349027,INV,2019,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2867,2025-03-06 00:00:00,0041348065,INV,2291.8,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2868,2025-03-04 00:00:00,0041348619,INV,1831.5,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2869,2025-03-24 00:00:00,0041350437,INV,1831.5,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2870,2025-03-24 00:00:00,0041350447,INV,1987.65,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2871,2025-03-25 00:00:00,0041350572,INV,1987.55,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2872,2025-03-25 00:00:00,0041350585,INV,1863,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2873,2025-03-27 00:00:00,0041350708,INV,1984.4,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2874,2025-03-13 00:00:00,0041349218,INV,1860.75,SOCIAL WORK PARTNERS LTD,04200800,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35000,HR Approved Ag,3091235000000000,CHILD CARE IMPRV HR Approved Agency
2875,2025-03-03 00:00:00,0041348478,INV,2750,EDEN BROWN SYNERGY LTD,02060700,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35200,Special Fees,3091235200000000,CHILD CARE IMPRV Special Fees
2876,2025-03-18 00:00:00,0041349675,INV,2750,EDEN BROWN SYNERGY LTD,02060700,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35200,Special Fees,3091235200000000,CHILD CARE IMPRV Special Fees
2877,2025-03-18 00:00:00,0041349678,INV,2750,EDEN BROWN SYNERGY LTD,02060700,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35200,Special Fees,3091235200000000,CHILD CARE IMPRV Special Fees
2878,2025-03-18 00:00:00,0041349680,INV,2750,EDEN BROWN SYNERGY LTD,02060700,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35200,Special Fees,3091235200000000,CHILD CARE IMPRV Special Fees
2879,2025-03-20 00:00:00,0041349900,INV,2550,MCGUINNESS CONSULTANCY LTD,04202300,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35200,Special Fees,3091235200000000,CHILD CARE IMPRV Special Fees
2880,2025-03-03 00:00:00,0041348516,INV,2550,MCGUINNESS CONSULTANCY LTD,04202300,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,35300,ConultantFees,3091235300000000,CHILD CARE IMPRV Consult Fees
2881,2025-03-17 00:00:00,0041349544,INV,1925,NO DRAMA LLAMAS LLP,14511700,CHILDREN AND ADULTS,PRTNRSHP COMM & BUS INTELLIGEN,PRTNRSHP COMM & BUS INTELLIGEN,09600,Staff Training,3091509600000000,BUS&INTADULTS Staff Training
2882,2025-03-24 00:00:00,0041350410,INV,4970,CENTRE FOR OUTCOMES OF CARE,14515200,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,09600,Staff Training,3092909600000000,SHORT BRK PROG Staff Training
2883,2025-03-27 00:00:00,0041350463,INV,750,OT4 INDEPENDENCE LTD,04100600,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,09600,Staff Training,3092909600000000,SHORT BRK PROG Staff Training
2884,2025-03-24 00:00:00,0041345114,INV,1,RIVERMEAD SOLUTIONS CIC,14391700,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,46059,Client Expenses,3092946059000000,SHORT BRK PROG Client Expenses
2885,2025-03-24 00:00:00,0041345114,INV,18999,RIVERMEAD SOLUTIONS CIC,14391700,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,46059,Client Expenses,3092946059000000,SHORT BRK PROG Client Expenses
2886,2025-03-27 00:00:00,0041350858,INV,12389.75,RIVERMEAD SOLUTIONS CIC,14391700,CHILDREN AND ADULTS,CHILDRENS SERVICES,CHILDRENS SERVICES,46059,Client Expenses,3092946059000000,SHORT BRK PROG Client Expenses
2887,2025-03-13 00:00:00,0041349050,INV,98579.94,NORTH KENT MIND,14264500,CHILDREN AND ADULTS,PRTNRSHP COMM & BUS INTELLIGEN,PRTNRSHP COMM & BUS INTELLIGEN,44000,Vol Assoc.,3093944000000000,MED PTNR COMM Vol Assoc
2888,2025-03-06 00:00:00,0016972480,INV,321.11,FAMILY ACTION -MEDWAY,03654600,CHILDREN AND ADULTS,PRTNRSHP COMM & BUS INTELLIGEN,PRTNRSHP COMM & BUS INTELLIGEN,46000,Payments to Private Contractor,3093946000000000,MED PTNR COMM Priv Contract
2889,2025-03-31 00:00:00,0041347859,INV,3020,NORTH KENT MIND,14264500,CHILDREN AND ADULTS,PRTNRSHP COMM & BUS INTELLIGEN,PRTNRSHP COMM & BUS INTELLIGEN,46000,Payments to Private Contractor,3093946000000000,MED PTNR COMM Priv Contract
2890,2025-03-13 00:00:00,0041349134,INV,51205.5,MEDWAY COMMUNITY HEALTHCARE CIC,03453500,CHILDREN AND ADULTS,PRTNRSHP COMM & BUS INTELLIGEN,PRTNRSHP COMM & BUS INTELLIGEN,46000,Payments to Private Contractor,3093946000000000,MED PTNR COMM Priv Contract
