BODY,NAME,EXPENSE AREA,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Adult Care & Housing,WATER PLUS LTD,Water Services,10807789,45091,-44.69
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,LEXTOX,Public Health & Care Services,11358477,45110,656
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367356,45089,1247.22
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367356,45089,1428.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367358,45092,421.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367359,45092,421.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367360,45089,842.14
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367362,45092,6316.05
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367369,45092,287.82
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367374,45092,287.82
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ACOUSTIC METROLOGY LTD,Instrument Testing And Calibration,11369471,45084,1864.89
Rotherham Metropolitan Borough Council,Finance & Customer Services,HM REVENUE & CUSTOMS (NCIS) ONLY,Banking Leasing And Insurance,11389105,45093,-167.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11402203,45092,895.44
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,IANSYST LTD,Training Services,11404530,45083,681.66
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11463529,45090,884.78
Rotherham Metropolitan Borough Council,Finance & Customer Services,HM REVENUE & CUSTOMS (NCIS) ONLY,Banking Leasing And Insurance,11466260,45093,-607.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,WATERMAN ASPEN LTD,Agency Staff Services,11492652,45110,6371.54
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11494847,45096,1305.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11494849,45090,842.14
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11495657,45111,47.25
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11495657,45111,85.14
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11495657,45111,-19.14
Rotherham Metropolitan Borough Council,Regeneration & Environment,VEOLIA ES (UK) LIMITED,Waste Disposal Inc Skip Hire,11498660,45104,777.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,WATERMAN ASPEN LTD,Agency Staff Services,11506540,45110,3229.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,BARTEC MUNICIPAL TECHNOLOGIES LTD,Software,11511339,45112,-246.82
Rotherham Metropolitan Borough Council,Central Services,INSIGHT DIRECT (UK) LTD,Technology,11516918,45097,33153.4
Rotherham Metropolitan Borough Council,Central Services,CAE TECHNOLOGY SERVICES,Technology,11517057,45085,564.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,HARSCO METALS GROUP LTD,Re-Instatement Materials,11517104,45103,13184.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11517431,45085,2780
Rotherham Metropolitan Borough Council,Finance & Customer Services,MEWA LLP,Legal Services,11521403,45099,2538.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,RESTORE DATASHRED LTD,Waste Disposal Inc Skip Hire,11521507,45083,787.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,J A JONES & SONS (CHURCHTOWN) LTD (F),Landscaping,11524696,45089,4375
Rotherham Metropolitan Borough Council,Regeneration & Environment,J A JONES & SONS (CHURCHTOWN) LTD (F),Landscaping,11524697,45089,4375
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,INSIGHT DIRECT (UK) LTD,Technology,11529186,45098,1623.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11529484,45105,68.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11529485,45105,36
Rotherham Metropolitan Borough Council,Regeneration & Environment,SURE MAINTENANCE LTD,Repair And Maintenance,11530187,45100,530.58
Rotherham Metropolitan Borough Council,Finance & Customer Services,IDAQ LTD,Technology,11530203,45103,250
Rotherham Metropolitan Borough Council,Regeneration & Environment,NABMA,Licence & Professional Fees,11530612,45106,960
Rotherham Metropolitan Borough Council,Regeneration & Environment,INDEPENDENT CONTRACTOR SECURITY LTD(ICS),Security,11530688,45106,1620.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,INDEPENDENT CONTRACTOR SECURITY LTD(ICS),Security,11530690,45105,2108.4
Rotherham Metropolitan Borough Council,Adult Care & Housing,PRISM MEDICAL UK LTD,Health And Hygiene Equipment,11533256,45107,5163.27
Rotherham Metropolitan Borough Council,Regeneration & Environment,WATERMAN ASPEN LTD,Agency Staff Services,11534179,45110,9602.18
Rotherham Metropolitan Borough Council,Finance & Customer Services,JONATHAN C BELLAMY,Legal Services,11534262,45093,437.5
Rotherham Metropolitan Borough Council,Finance & Customer Services,KATE MORLEY,Legal Services,11534265,45103,600
Rotherham Metropolitan Borough Council,Regeneration & Environment,HARSCO METALS GROUP LTD,Re-Instatement Materials,11534279,45110,681.74
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534660,45104,75
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534661,45104,75
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534662,45104,75
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534663,45104,212.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534664,45104,75
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534665,45104,75
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534666,45104,75
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534667,45104,75
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534669,45104,130
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11534671,45104,295
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11534675,45092,538.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11534676,45086,1343.16
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11534711,45105,181.94
Rotherham Metropolitan Borough Council,Finance & Customer Services,MISS JESSICA PURCHASE,Legal Services,11534724,45098,3450
Rotherham Metropolitan Borough Council,Regeneration & Environment,NISBETS,Catering Equipment,11534726,45089,82.99
Rotherham Metropolitan Borough Council,Central Services,ENVIRONMENT AGENCY,Licence & Professional Fees,11534832,45106,30286.81
Rotherham Metropolitan Borough Council,Central Services,SOUTH YORKSHIRE MAYORAL,Levy Charges Or Fees,11534849,45096,865344.53
Rotherham Metropolitan Borough Council,Regeneration & Environment,AHR ARCHITECTS LTD,Surveyors Architects & Auctions,11535208,45085,1187.82
Rotherham Metropolitan Borough Council,Regeneration & Environment,DR ROBYN DOWLEN,Consultancy,11535620,45085,1250
Rotherham Metropolitan Borough Council,Central Services,SOUTH YORKSHIRE PENSIONS,Levy Charges Or Fees,11535633,45092,5203
Rotherham Metropolitan Borough Council,Regeneration & Environment,AHR ARCHITECTS LTD,Surveyors Architects & Auctions,11535665,45085,2041.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11537070,45097,1794.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11540031,45090,144
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11540032,45090,243.1
Rotherham Metropolitan Borough Council,Adult Care & Housing,ACE JANITORIAL SUPPLIES LTD,Ppe Tools And Janitorial Supplies,11540098,45097,56.04
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CAMPHILL WAKEFIELD,Supporting Minorities & Communities,11540229,45083,16402
Rotherham Metropolitan Borough Council,Regeneration & Environment,CAREMARK (ROTHERHAM),Supporting People - Independent Sector Homecare,11540242,45084,220
Rotherham Metropolitan Borough Council,Regeneration & Environment,SUNBELT RENTALS LTD,Plant Hire,11540945,45083,2055
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CYGNET (NW) LTD,Supporting People - Mental Health,11541189,45083,3078
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CYGNET (NW) LTD,Supporting People - Mental Health,11541190,45083,3249
Rotherham Metropolitan Borough Council,Regeneration & Environment,NPOWER,Energy,11541228,45090,215
Rotherham Metropolitan Borough Council,Regeneration & Environment,NPOWER,Energy,11541229,45090,215
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11541712,45096,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,AHR ARCHITECTS LTD,Surveyors Architects & Auctions,11541721,45085,6012.13
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11542132,45084,3066
Rotherham Metropolitan Borough Council,Regeneration & Environment,N E TRUCK SPARES LTD,Vehicle Repair And Maintenance,11542209,45103,6741.18
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11546179,45090,243.1
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ELIOR UK PLC,Room Hire,11546214,45110,878
Rotherham Metropolitan Borough Council,Adult Care & Housing,ROGERS GEOTECHNICAL SERVICES LTD,Consultancy,11546231,45097,1646
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,DFP SERVICES LTD,Fire Prevention,11548449,45097,-128
Rotherham Metropolitan Borough Council,Adult Care & Housing,INSIGHT DIRECT (UK) LTD,Technology,11548991,45085,50.97
Rotherham Metropolitan Borough Council,Assistant Chief Executive,HEALTH MANAGEMENT LTD,Training Services,11549002,45106,27300
Rotherham Metropolitan Borough Council,Regeneration & Environment,HEALTH MANAGEMENT LTD,Training Services,11549003,45100,5853.8
Rotherham Metropolitan Borough Council,Adult Care & Housing,PRISM MEDICAL UK LTD,Health And Hygiene Equipment,11549453,45091,1036.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,AQUAM WATER SERVICES,Water Services,11549456,45091,1720
Rotherham Metropolitan Borough Council,Regeneration & Environment,CALOR GAS LIMITED,Fuel/Heating Oil,11549550,45092,1953
Rotherham Metropolitan Borough Council,Regeneration & Environment,JAMES BUTTON AND CO SOLICITORS,Legal Services,11549621,45098,800
Rotherham Metropolitan Borough Council,Regeneration & Environment,BROXAP LIMITED,Landscaping,11549680,45110,1977
Rotherham Metropolitan Borough Council,Regeneration & Environment,A D COPLEY BUILDERS LTD,Repair And Maintenance,11549691,45086,5081
Rotherham Metropolitan Borough Council,Regeneration & Environment,AHR ARCHITECTS LTD,Surveyors Architects & Auctions,11549782,45085,4928.68
Rotherham Metropolitan Borough Council,Adult Care & Housing,ARDEN WINCH & CO LTD,Ppe Tools And Janitorial Supplies,11550901,45089,25.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,INDEPENDENT CONTRACTOR SECURITY LTD(ICS),Security,11550904,45090,30
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ROYAL NATIONAL COLLEGE FOR THE BLIND,Supporting People - Learning Disabilities,11551109,45085,20893.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,HSL COMPLIANCE LTD,Repair And Maintenance,11551139,45092,357
Rotherham Metropolitan Borough Council,Adult Care & Housing,YVONNE BAYLISS,Hotel Accommodation & Conferencing,11553349,45092,280
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553359,45096,28.38
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553359,45096,-6.38
Rotherham Metropolitan Borough Council,Adult Care & Housing,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553360,45096,361.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553360,45096,-81.2
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553435,45097,469.56
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553435,45097,-105.56
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553436,45098,541.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553436,45098,-121.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553437,45096,722.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553437,45096,-162.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553446,45096,686.28
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553446,45096,-154.28
Rotherham Metropolitan Borough Council,Adult Care & Housing,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553447,45096,227.04
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553447,45096,-51.04
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553448,45098,677.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553448,45098,-152.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553449,45097,999.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11553449,45097,-224.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553538,45098,635.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553538,45098,-142.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553539,45098,3040.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553539,45098,-683.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553540,45097,884.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553540,45097,-198.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553541,45096,1437.42
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553541,45096,-323.14
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553542,45096,1022.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553542,45096,-229.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553543,45096,1022.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553543,45096,-229.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553546,45097,1022.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553546,45097,-229.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553547,45096,884.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553547,45096,-198.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553548,45096,1022.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553548,45096,-229.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553549,45096,67
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553549,45096,884.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553549,45096,-198.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553550,45096,4008.21
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553550,45096,-901.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553551,45096,4008.21
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553551,45096,-901.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553552,45098,1852.05
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553552,45098,-416.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553553,45099,1290
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553553,45099,-290
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11553554,45096,1346.42
Rotherham Metropolitan Borough Council,Regeneration & Environment,MAUN MOTORS SELF DRIVE,Fleet Hire And Purchase Financing,11553556,45105,3063.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,MAUN MOTORS SELF DRIVE,Fleet Hire And Purchase Financing,11553556,45105,-688.75
Rotherham Metropolitan Borough Council,Finance & Customer Services,LOADBALANCER.ORG LIMITED,Technology,11553568,45103,2098.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,CAMBRIDGE PUBLISHERS LTD,Advertising Services,11553577,45105,814
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11553869,45096,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Fire Prevention,11553952,45083,100
Rotherham Metropolitan Borough Council,Regeneration & Environment,THE PES LTD,Surveyors Architects & Auctions,11553971,45110,1150
Rotherham Metropolitan Borough Council,Public Health,FUNCTIONAL FITNESS SOLUTION LTD,Comprehensive Health Services,11554011,45086,1485
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,COMMUNITY ACCORD,Supporting People - Mediation,11554134,45084,2800
Rotherham Metropolitan Borough Council,Regeneration & Environment,CMS HIRE LIMITED,Fleet Hire And Purchase Financing,11554237,45096,5031
Rotherham Metropolitan Borough Council,Regeneration & Environment,CMS HIRE LIMITED,Fleet Hire And Purchase Financing,11554237,45096,-1131
Rotherham Metropolitan Borough Council,Regeneration & Environment,CMS HIRE LIMITED,Fleet Hire And Purchase Financing,11554238,45096,5031
Rotherham Metropolitan Borough Council,Regeneration & Environment,CMS HIRE LIMITED,Fleet Hire And Purchase Financing,11554238,45096,-1131
Rotherham Metropolitan Borough Council,Regeneration & Environment,CMS HIRE LIMITED,Fleet Hire And Purchase Financing,11554239,45096,5031
Rotherham Metropolitan Borough Council,Regeneration & Environment,CMS HIRE LIMITED,Fleet Hire And Purchase Financing,11554239,45096,-1131
Rotherham Metropolitan Borough Council,Finance & Customer Services,IDAQ LTD,Technology,11554981,45103,3120
Rotherham Metropolitan Borough Council,Finance & Customer Services,IDAQ LTD,Technology,11554982,45103,250
Rotherham Metropolitan Borough Council,Regeneration & Environment,CRB CUNNINGHAMS LTD,Technology,11554984,45089,164
Rotherham Metropolitan Borough Council,Regeneration & Environment,CRB CUNNINGHAMS LTD,Software,11554985,45089,492
Rotherham Metropolitan Borough Council,Regeneration & Environment,CRB CUNNINGHAMS LTD,Technology,11554986,45089,314
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,LYRECO UK LTD,Stationery Furniture & It Consumables,11555066,45106,-73.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,NISBETS,Catering Equipment,11555069,45089,299.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,NISBETS,Catering Equipment,11555074,45089,66.99
Rotherham Metropolitan Borough Council,Adult Care & Housing,DULUX DECORATOR CENTRES,Repair And Maintenance,11555161,45085,540.26
Rotherham Metropolitan Borough Council,Adult Care & Housing,A1 TAXIS ROTHERHAM LTD,Taxi Mini Bus Coach Operations,11555177,45092,103
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11555188,45090,243.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,ABOUT ACCESS LTD,Miscellaneous Fasteners,11555205,45089,2100
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555206,45097,1449.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555206,45097,-325.96
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555248,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555249,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555250,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555251,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555252,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555253,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555254,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555255,45092,180
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J NORTH LTD,Road Markings And Traffic Management,11555268,45089,657.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J NORTH LTD,Road Markings And Traffic Management,11555272,45089,1264.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,INDEPENDENT CONTRACTOR SECURITY LTD(ICS),Security,11555277,45090,1625.52
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555282,45092,270
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555283,45092,450
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555284,45092,270
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11555296,45092,180
Rotherham Metropolitan Borough Council,Regeneration & Environment,IPL PLASTICS (UK) LTD,Waste Disposal Inc Skip Hire,11555302,45089,2750
Rotherham Metropolitan Borough Council,Regeneration & Environment,LEEDS COMMERCIAL LIMITED,Fleet Hire And Purchase Financing,11555304,45096,273.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,CAMPBELL DESIGN AND ENGINEERING LTD,New Build & Major Refurb Trades,11555348,45089,12729
Rotherham Metropolitan Borough Council,Adult Care & Housing,YORKSHIRE WATER,Water Services,11555352,45089,74.77
Rotherham Metropolitan Borough Council,Regeneration & Environment,JAMES BURRELL LTD,Building Materials,11555353,45093,1152.8
Rotherham Metropolitan Borough Council,Adult Care & Housing,YORKSHIRE WATER,Water Services,11555354,45089,134.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555361,45097,1449.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555361,45097,-325.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555362,45097,1449.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555362,45097,-325.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555363,45097,1449.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555363,45097,-325.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11555364,45097,1449.97
