Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Type
Nickolds Property Management,Homelessness Provision,15-Apr-24,"£3,830.00",PO00040913,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£4,475.00",PO00040917,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£4,620.00",PO00040912,Purchase order

KD THEATRE PRODUCTIONS LTD,Performing Arts,15-Apr-24,"£4,751.66",PO00040900,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£4,760.00",PO00040920,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£4,950.00",PO00040921,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£5,005.00",PO00040914,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£5,285.00",PO00040915,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£5,530.00",PO00040918,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£5,650.00",PO00040916,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£5,670.00",PO00040919,Purchase order

Nickolds Property Management,Homelessness Provision,15-Apr-24,"£5,705.00",PO00040922,Purchase order

Ellis Live,Performing Arts,15-Apr-24,"£13,729.97",PO00040902,Purchase order

Paul Holman Associates Ltd,Performing Arts,15-Apr-24,"£24,425.71",PO00040903,Purchase order

NEW ERA FUELS LIMITED,Fuel,15-Apr-24,"£30,971.69",PO00040894,Purchase order

LACONS BREWERY LIM,Bar Stock,15-Apr-24,"£2,490.44",,Direct Debit

SPEKTRIX LIMITED,Telecoms,15-Apr-24,"£6,928.56",,Direct Debit

NPOWER,Utilities Gas,15-Apr-24,"£7,625.81",,Direct Debit

NPOWER,Utilities Gas,15-Apr-24,"£17,334.87",,Direct Debit

NATWEST ONECARD,Banking,15-Apr-24,"£59,206.66",,Direct Debit

VIP SECURITY (ESSEX) LTD,Security Personnel,16-Apr-24,£275.25,PO00040983,Purchase order

HEAVYHAUL (CHELMSFORD) LTD,Vehicle Recovery,16-Apr-24,£280.00,PO00040966,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,16-Apr-24,£330.63,PO00040971,Purchase order

REDACTED,Events,16-Apr-24,£360.00,PO00040978,Purchase order

GATEHOUSE CONSTRUCTION & REFURB LTD,Building Repairs,16-Apr-24,£365.00,PO00040954,Purchase order

TMP (UK) LTD,Statutory Advertising,16-Apr-24,£469.80,PO00040949,Purchase order

JOHN FINCH PARTNERSHIP LTD,Property Management,16-Apr-24,£475.00,PO00040990,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,16-Apr-24,£507.50,PO00040976,Purchase order

TOTAL MERCHANDISE LTD,Sports Equipment,16-Apr-24,£521.94,PO00040982,Purchase order

VPS (UK) LIMITED,Property Management,16-Apr-24,£692.00,PO00040988,Purchase order

HEAVYHAUL (CHELMSFORD) LTD,Vehicle Maintenance,16-Apr-24,£720.00,PO00040967,Purchase order

PALL MALL PREMIER CARS,Passenger Transport,16-Apr-24,£808.00,PO00040984,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,16-Apr-24,£890.47,PO00040970,Purchase order

REDACTED,Training / Course Fees,16-Apr-24,£900.00,PO00041000,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,16-Apr-24,£956.57,PO00040957,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,16-Apr-24,£978.46,PO00040975,Purchase order

DENNIS EAGLE LTD,Vehicles Parts,16-Apr-24,"£1,032.16",PO00040959,Purchase order

SPORT FOR CONFIDENCE,Sports Equipment,16-Apr-24,"£1,384.00",PO00040994,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,16-Apr-24,"£2,590.00",PO00041009,Purchase order

VPS (UK) LIMITED,Property Management,16-Apr-24,"£2,675.00",PO00040989,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,16-Apr-24,"£2,681.21",PO00040958,Purchase order

TEAM NETSOL LIMITED,Software,16-Apr-24,"£3,000.00",PO00040948,Purchase order

COGNIV8 LTD,Consultancy,16-Apr-24,"£4,800.00",PO00040986,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,16-Apr-24,"£8,218.00",PO00041004,Purchase order

SP LDONLINE.CO.UK LEAMINGTON SP,Lighting controller,16-Apr-24,£252.00,,Procurement card

Summons costs for May Hearing,,16-Apr-24,£313.50,,Procurement card

TRAVELODG TRAVELODGE,,16-Apr-24,£321.05,,Procurement card

TRAVELODG TRAVELODGE,,16-Apr-24,£339.95,,Procurement card

"FACEBK ADS, Sports H&F",,16-Apr-24,£352.19,,Procurement card

VA MUSEUM LONDON,,16-Apr-24,£360.00,,Procurement card

WWW.JOEANDSEPHS.CO.UK WATFORD,,16-Apr-24,£362.88,,Procurement card

DVSA OLCS 0300-123,,16-Apr-24,£410.00,,Procurement card

ANCHOR PUMPS CO LTD WARRINGTON,Replacement pump,16-Apr-24,£539.94,,Procurement card

NPLQ training books and materials,,16-Apr-24,£549.00,,Procurement card

FACEBK  PREUT3GAK2 FB.ME/ADS,,16-Apr-24,£700.00,,Procurement card

KINGSPAN WATER  ENERG CARRICKMACROS,,16-Apr-24,"£1,380.92",,Procurement card

BOOKER LTD,Bar Stock,16-Apr-24,"£2,200.78",,Direct Debit

WESTFIELD CONT HEA,Insurance,16-Apr-24,"£6,630.73",,Direct Debit

STEVEN COPSEY,Temporary Staff,17-Apr-24,£586.50,PO00041054,Purchase order

SWORD ENGINEERING LTD,Recycling Services,17-Apr-24,£737.96,PO00041046,Purchase order

LANDSCAPE SUPPLY COMPANY,Soils & Dressing,17-Apr-24,"£1,397.80",PO00041019,Purchase order

CRAEMER,Recycling Services,17-Apr-24,"£1,540.00",PO00041028,Purchase order

SWORD ENGINEERING LTD,Recycling Services,17-Apr-24,"£1,910.30",PO00041051,Purchase order

Fresh Toilet Co Ltd,Washroom Sanitation Services,17-Apr-24,"£2,493.00",PO00041030,Purchase order

CHELMSFORD IMPROVEMENT DISTRICT LIMITED,Debt Collection & Recovery,17-Apr-24,"£25,496.60",PO00041013,Purchase order

O2,Telecoms,17-Apr-24,"£1,602.30",,Direct Debit

UKACTIVE,Software,18-Apr-24,£293.64,PO00041084,Purchase order

UKACTIVE,Software,18-Apr-24,£293.64,PO00041086,Purchase order

UKACTIVE,Software,18-Apr-24,£293.64,PO00041087,Purchase order

WALLACE KENNELS,Kennel Fees,18-Apr-24,£330.00,PO00041105,Purchase order

CATERING PLUS LTD (SANDWICH PLUS),Catering Services - External,18-Apr-24,£350.00,PO00041106,Purchase order

M J FENCING LTD,Digital Maintenance & Support,18-Apr-24,£380.00,PO00041082,Purchase order

LES MILLS FITNESS UK LTD,Fitness Equipment,18-Apr-24,£544.45,PO00041089,Purchase order

CMUK VISUAL SAFETY LTD,Healthcare Equipment,18-Apr-24,£727.25,PO00041099,Purchase order

NATIVE PROMOTIONS,Uniforms & Workwear (not PPE),18-Apr-24,£829.05,PO00041098,Purchase order

I-SEE ACCESS SOLUTIONS,Building Repairs,18-Apr-24,"£1,257.33",PO00041103,Purchase order

TMA Bark Supplies Ltd,Course Materials,18-Apr-24,"£1,716.80",PO00041094,Purchase order

AMTHAL FIRE & SECURITY LIMITED,Building Repairs,18-Apr-24,"£1,960.00",PO00041104,Purchase order

REDSTONE,Digital Maintenance & Support,18-Apr-24,"£2,604.50",PO00041076,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£3,605.00",PO00041080,Purchase order

Knight Kavanagh & Page Ltd,Consultancy,18-Apr-24,"£3,985.00",PO00041097,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£4,445.00",PO00041079,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£4,620.00",PO00041058,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£4,620.00",PO00041081,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£4,760.00",PO00041059,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£5,005.00",PO00041063,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£5,060.00",PO00041062,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£5,075.00",PO00041061,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£5,280.00",PO00041078,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£5,530.00",PO00041060,Purchase order

Nickolds Property Management,Homelessness Provision,18-Apr-24,"£5,670.00",PO00041057,Purchase order

LGA UNLIMITED,Subscriptions,18-Apr-24,"£13,573.69",,Direct Debit

CCS MEDIA LTD,Digital Consumables,19-Apr-24,£331.46,PO00041139,Purchase order

BEVAN BRITTAN LLP,Legal Advice,19-Apr-24,£450.00,PO00041113,Purchase order

COMPLETE CONSTRUCTION,Water (Utility),19-Apr-24,£495.00,PO00041118,Purchase order

CHELMSFORD SAFETY SUPPLIES,PPE Safety Footwear,19-Apr-24,£531.04,PO00041124,Purchase order

FIDDES & SON LTD T/A BOWCOM,Horticultural Chemicals,19-Apr-24,"£1,466.80",PO00041122,Purchase order

BIRKETTS LLP,Property Management,19-Apr-24,"£1,500.00",PO00041130,Purchase order

Morgan Hunt Uk Limited,Temporary Staff,19-Apr-24,"£1,897.88",PO00041121,Purchase order

BIRKETTS LLP,Property Management,19-Apr-24,"£2,000.00",PO00041127,Purchase order

CIPFA,Subscriptions,19-Apr-24,"£3,234.00",PO00041115,Purchase order

EDEN BROWN RECRUITMENT LTD / SYNERGY,Temporary Staff,19-Apr-24,"£6,473.25",PO00041120,Purchase order

EDEN BROWN RECRUITMENT LTD / SYNERGY,Temporary Staff,19-Apr-24,"£6,743.53",PO00041119,Purchase order

A W HARDY LTD,Property Maintenance,19-Apr-24,"£8,284.10",PO00041123,Purchase order

ESSEX COUNTY COUNCIL,Consultancy,19-Apr-24,"£69,398.05",PO00041128,Purchase order

EMS,Lift Maintenance,19-Apr-24,£267.85,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£281.69,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£298.42,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£301.70,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£307.14,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£450.62,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£452.80,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£459.21,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£535.65,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£568.08,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£635.31,,Direct Debit

EMS,Lift Maintenance,19-Apr-24,£668.33,,Direct Debit

ICO,Subscriptions,19-Apr-24,"£2,895.00",,Direct Debit

LAMPWICK CARE LIMITED,Homelessness Provision,22-Apr-24,£250.00,PO00041189,Purchase order

ESSEX SUPPLIES (UK) LTD,Traffic,22-Apr-24,£267.63,PO00041168,Purchase order

SIGNS FOR YOU LTD,Promotional Advertising,22-Apr-24,£289.40,PO00041179,Purchase order

TMP (UK) LTD,Statutory Advertising,22-Apr-24,£324.55,PO00041182,Purchase order

Seventh Art Productions Ltd,Performing Arts,22-Apr-24,£326.25,PO00041163,Purchase order

DIRECTDISPLAYS LTD,DFGS Grant,22-Apr-24,£363.60,PO00041155,Purchase order

READSPEAKER,Website,22-Apr-24,£400.00,PO00041142,Purchase order

Andy Appleby BSL interpreter,Performing Arts,22-Apr-24,£400.00,PO00041165,Purchase order

New Hope Rentals,Homelessness Provision,22-Apr-24,£420.00,PO00041147,Purchase order

New Hope Rentals,Homelessness Provision,22-Apr-24,£420.00,PO00041171,Purchase order

New Hope Rentals,Homelessness Provision,22-Apr-24,£420.00,PO00041172,Purchase order

New Hope Rentals,Homelessness Provision,22-Apr-24,£420.00,PO00041173,Purchase order

New Hope Rentals,Homelessness Provision,22-Apr-24,£420.00,PO00041175,Purchase order

New Hope Rentals,Homelessness Provision,22-Apr-24,£560.00,PO00041174,Purchase order

BRENTWOOD COMMUNICATIONS LTD,Performing Arts,22-Apr-24,£687.00,PO00041149,Purchase order

The BRICK People Ltd,Performing Arts,22-Apr-24,£950.00,PO00041150,Purchase order

EASTERN ANGLES,Performing Arts,22-Apr-24,£958.59,PO00041162,Purchase order

KEYCRAFT,Museums & Galleries,22-Apr-24,"£1,124.96",PO00041185,Purchase order

FAREWAY TAXIS,Homelessness Provision,22-Apr-24,"£1,200.00",PO00041187,Purchase order

REDACTED,Legal Advocacy,22-Apr-24,"£1,250.00",PO00041143,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,22-Apr-24,"£1,375.20",PO00041180,Purchase order

Pinch Punch Improv Limited,Performing Arts,22-Apr-24,"£2,546.12",PO00041161,Purchase order

DG ACCESSIBLE DESIGNS LTD,DFGS Grant,22-Apr-24,"£3,056.88",PO00041190,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,22-Apr-24,"£3,710.00",PO00041178,Purchase order

Paramount International Management Limited,Performing Arts,22-Apr-24,"£4,007.70",PO00041151,Purchase order

BOUND AND GAGGED LIMITED,Performing Arts,22-Apr-24,"£6,249.91",PO00041154,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,22-Apr-24,"£8,533.00",PO00041188,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,22-Apr-24,"£12,545.15",PO00041156,Purchase order

Jamie Cook t/a JC Building Services & Adaptions,DFGS Grant,22-Apr-24,"£17,975.73",PO00041191,Purchase order

TECHNOGYM,Fitness Instructors,22-Apr-24,£448.80,,Direct Debit

WORLDPAY,Banking,22-Apr-24,£799.14,,Direct Debit

Spirit Of Ukraine LTD,Homelessness Provision,23-Apr-24,£250.00,PO00041234,Purchase order

THE ANGLIA SIGN CASTING LTD,Crematorium Equipment,23-Apr-24,£257.33,PO00041251,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,23-Apr-24,£275.25,PO00041221,Purchase order

SIGNS FOR YOU LTD,Promotional Advertising,23-Apr-24,£356.99,PO00041198,Purchase order

MHG (SUPPLIES) LTD,Public Administration,23-Apr-24,£357.50,PO00041250,Purchase order

W & H ROMAC LTD,Signage - Highway,23-Apr-24,£369.19,PO00041211,Purchase order

RIVERSIDE TRUCK RENTAL LTD,Vehicles Parts,23-Apr-24,£380.00,PO00041207,Purchase order

W & H ROMAC LTD,Signage - Highway,23-Apr-24,£414.56,PO00041214,Purchase order

BUCHANAN COMPUTING,Signage - Highway,23-Apr-24,£456.00,PO00041215,Purchase order

W & H ROMAC LTD,Signage - Highway,23-Apr-24,£510.84,PO00041204,Purchase order

W & H ROMAC LTD,Signage - Highway,23-Apr-24,£636.64,PO00041206,Purchase order

J P LENNARD LTD,Sports Equipment,23-Apr-24,£649.70,PO00041242,Purchase order

M & P DUNN LTD,Building Repairs,23-Apr-24,£748.00,PO00041239,Purchase order

CHELMER HOUSING PARTNERSHIP,DFGS Grant,23-Apr-24,£915.95,PO00041196,Purchase order

DG ACCESSIBLE DESIGNS LTD,DFGS Grant,23-Apr-24,"£1,440.00",PO00041197,Purchase order

POS ENTERPRISES LTD,Subscriptions,23-Apr-24,"£1,500.00",PO00041192,Purchase order

TRADE PARTNERS INTENATIONAL LTD,Playground Maintenance,23-Apr-24,"£1,811.75",PO00041227,Purchase order

MOBILITY SOLUTIONS (SOUTH) LIMITED,DFGS Grant,23-Apr-24,"£2,325.00",PO00041249,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,23-Apr-24,"£2,590.00",PO00041200,Purchase order

TMP (UK) LTD,Signage - Highway,23-Apr-24,"£2,595.40",PO00041210,Purchase order

PATROL Parking & Traffic Regulation Outside London,Parking Fines Collection,23-Apr-24,"£3,877.75",PO00041203,Purchase order

GB ADAPTATIONS,DFGS Grant,23-Apr-24,"£4,953.00",PO00041199,Purchase order

RELAY LTD,DFGS Grant,23-Apr-24,"£8,780.00",PO00041237,Purchase order

MOUNTFIELD SERVICES,DFGS Grant,23-Apr-24,"£11,569.78",PO00041195,Purchase order

MOUNTFIELD SERVICES,DFGS Grant,23-Apr-24,"£14,250.00",PO00041248,Purchase order

Jamie Cook t/a JC Building Services & Adaptions,DFGS Grant,23-Apr-24,"£18,848.00",PO00041247,Purchase order

NEW ERA FUELS LIMITED,Fuel,23-Apr-24,"£30,642.00",PO00041224,Purchase order

AMA Marketing Conference 2 day stay,,23-Apr-24,£265.00,,Procurement card

HHSRS Enforcement Training,,23-Apr-24,£280.00,,Procurement card

SCREWFIX DIRECT WWW.SCREWFIX.,Tools for Hyland's Park staff.,23-Apr-24,£289.42,,Procurement card

Steel cupboard for store,,23-Apr-24,£322.80,,Procurement card

AMA Conference 2024 - attendance,,23-Apr-24,£330.00,,Procurement card

college  block week at the college,,23-Apr-24,£576.95,,Procurement card

EBS DIRECT DEBITS,Banking,23-Apr-24,£293.80,,Direct Debit

BOOKER LTD,Bar Stock,23-Apr-24,£803.14,,Direct Debit

SHELL U.K. LIMITED,Fuel,23-Apr-24,"£3,080.97",,Direct Debit

New Hope Rentals,Homelessness Provision,24-Apr-24,£420.00,PO00041289,Purchase order

New Hope Rentals,Homelessness Provision,24-Apr-24,£420.00,PO00041290,Purchase order

New Hope Rentals,Homelessness Provision,24-Apr-24,£420.00,PO00041291,Purchase order

New Hope Rentals,Homelessness Provision,24-Apr-24,£420.00,PO00041292,Purchase order

ACTIVE IN TIME LTD,Software,24-Apr-24,£480.00,PO00041264,Purchase order

BOC GASES,Vehicle Tools and Equipment,24-Apr-24,£610.90,PO00041273,Purchase order

AVC WISE LTD,Pension Funds,24-Apr-24,£613.77,PO00041252,Purchase order

VANITORIALS LTD,Cleaning Supplies,24-Apr-24,£744.73,PO00041271,Purchase order

PRESTIGE DOMESTIC PROPERTY MAINTENANCE LTD,Property Maintenance,24-Apr-24,£759.26,PO00041286,Purchase order

BOC GASES,Vehicle Tools and Equipment,24-Apr-24,£860.00,PO00041272,Purchase order

WYRD FLORA,Museums & Galleries,24-Apr-24,£895.00,PO00041256,Purchase order

CHELMSFORD VAN HIRE,Vehicle Hire,24-Apr-24,"£1,300.00",PO00041265,Purchase order

StreetDoctors Ltd,Events,24-Apr-24,"£1,400.00",PO00041279,Purchase order

CHELMSFORD COUNCIL FOR VOLUNTARY SERVICE,Homelessness Provision,24-Apr-24,"£2,500.00",PO00041274,Purchase order

DEB HART WILLOW WEAVING,Digital Maintenance & Support,24-Apr-24,"£4,430.00",PO00041281,Purchase order

BRITISH PARKING ASSOCIATION,Public Safety & Control,24-Apr-24,"£5,285.00",PO00041282,Purchase order

PROPERTY STOP,Homelessness Provision,24-Apr-24,"£23,710.00",PO00041287,Purchase order

PROPERTY STOP,Homelessness Provision,24-Apr-24,"£24,220.00",PO00041288,Purchase order

ESSEX COUNTY COUNCIL,Consultancy,24-Apr-24,"£100,000.00",PO00041261,Purchase order

ESSEX COUNTY COUNCIL,Consultancy,24-Apr-24,"£150,000.00",PO00041262,Purchase order

EDFENERGY CUST PLC,Utilities Gas,24-Apr-24,"£5,311.15",,Direct Debit

ANGLIAN WATER BUSI,Fuel,24-Apr-24,"£6,765.39",,Direct Debit

COMPLETE CONSTRUCTION,Building Repairs,25-Apr-24,£325.00,PO00041354,Purchase order

CHELMSFORD SAFETY SUPPLIES,PPE Safety Footwear,25-Apr-24,£335.30,PO00041297,Purchase order

MGC BESPOKE UK LIMITED,Building Repairs,25-Apr-24,£420.00,PO00041316,Purchase order

Ipswich & Suffolk Property Management limited,Property Management,25-Apr-24,£502.36,PO00041360,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,25-Apr-24,£510.00,PO00041339,Purchase order

SWIM ENGLAND,Trophies & Awards,25-Apr-24,£657.45,PO00041358,Purchase order

WESTLANDS COMMUNITY PRIMARY SCHOOL,Performing Arts,25-Apr-24,£677.69,PO00041328,Purchase order

Oliver James Creative LTD,Performing Arts,25-Apr-24,£923.17,PO00041325,Purchase order

ALL BMS SYSTEMS LTD,Building Repairs,25-Apr-24,£991.59,PO00041357,Purchase order

Target Response,Promotional Advertising,25-Apr-24,£999.00,PO00041303,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,25-Apr-24,"£1,142.90",PO00041319,Purchase order

BAILEY VENNING ASSOCIATES LIMITED,Consultancy,25-Apr-24,"£1,480.00",PO00041350,Purchase order

Adam & Greenwood Funeral Home,Burial & Cremation,25-Apr-24,"£1,564.00",PO00041340,Purchase order

CANFORD AUDIO PLC,Performing Arts,25-Apr-24,"£2,008.00",PO00041334,Purchase order

TELEFONICA O2 UK LTD,Telecommunitcations,25-Apr-24,"£2,123.00",PO00041347,Purchase order

Phil McIntyre Live Ltd,Performing Arts,25-Apr-24,"£3,253.98",PO00041335,Purchase order

OFF THE KERB PRODUCTIONS,Performing Arts,25-Apr-24,"£4,813.25",PO00041327,Purchase order

REDACTED,Legal Advocacy,25-Apr-24,"£5,000.00",PO00041355,Purchase order

T J COTTIS TRANSPORT LIMITED,Waste Collection Services,25-Apr-24,"£6,178.40",PO00041338,Purchase order

AVALON PROMOTIONS LTD,Performing Arts,25-Apr-24,"£6,801.57",PO00041331,Purchase order

Ellis Live,Performing Arts,25-Apr-24,"£6,904.33",PO00041333,Purchase order

Dinosaur Adventure Live Ltd,Performing Arts,25-Apr-24,"£8,093.02",PO00041330,Purchase order

MUSHROOM THEATRE COMPANY LTD,Performing Arts,25-Apr-24,"£13,597.23",PO00041329,Purchase order

WAVENET LIMITED,Telecoms,25-Apr-24,"£2,862.46",,Direct Debit

WAVENET LIMITED,Telecoms,25-Apr-24,"£6,856.62",,Direct Debit

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£393.33,PO00041407,Purchase order

New Generation Development Agency,Museums & Galleries,26-Apr-24,£400.00,PO00041410,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£453.75,PO00041377,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£536.25,PO00041409,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£575.00,PO00041380,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£618.75,PO00041403,Purchase order

THE INDUSTRIAL MAINTENANCE GROUP LIMITED,Cleaning Supplies,26-Apr-24,£655.99,PO00041387,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£786.67,PO00041378,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£825.00,PO00041379,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£835.83,PO00041402,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£977.50,PO00041386,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,£987.50,PO00041382,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,"£1,119.17",PO00041385,Purchase order

SIMPLY ACORN GROUP LTD,Tree Management Services,26-Apr-24,"£1,185.00",PO00041394,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,"£1,260.83",PO00041384,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,26-Apr-24,"£1,402.50",PO00041401,Purchase order

Advanced Business Software and Solutions Limited,Building Security,26-Apr-24,"£3,395.24",PO00041399,Purchase order

SPECIALIST BATHROOMS & PROPERTY SERVICES LIMITED,DFGS Grant,26-Apr-24,"£11,500.00",PO00041374,Purchase order

Advanced Business Software and Solutions Limited,Building Security,26-Apr-24,"£17,062.13",PO00041398,Purchase order

ALLPAY INVOICE,Banking,26-Apr-24,"£1,629.34",,Direct Debit

VIP SECURITY (ESSEX) LTD,Security Personnel,29-Apr-24,£275.25,PO00041450,Purchase order

New Hope Rentals,Homelessness Provision,29-Apr-24,£420.00,PO00041422,Purchase order

New Hope Rentals,Homelessness Provision,29-Apr-24,£420.00,PO00041423,Purchase order

New Hope Rentals,Homelessness Provision,29-Apr-24,£420.00,PO00041424,Purchase order

TrueMedic Ltd,Healthcare Services,29-Apr-24,£526.00,PO00041441,Purchase order

J D ROBERTSON & CO LTD,Fuel,29-Apr-24,£542.49,PO00041458,Purchase order

New Hope Rentals,Homelessness Provision,29-Apr-24,£560.00,PO00041453,Purchase order

TMP (UK) LTD,Statutory Advertising,29-Apr-24,£586.00,PO00041463,Purchase order

HIGHLINE ROADMARKINGS LTD,Signage - Highway,29-Apr-24,£597.10,PO00041448,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,29-Apr-24,£618.75,PO00041439,Purchase order

AUDITORIA SERVICES LIMITED,Performing Arts,29-Apr-24,£817.00,PO00041433,Purchase order

BAYLIS LANDSCAPE CONTRACTORS,Horticultural Services,29-Apr-24,"£1,254.00",PO00041478,Purchase order

BADDOW ROAD SUPPLIES LTD,Street Cleaning Services,29-Apr-24,"£1,446.14",PO00041457,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,29-Apr-24,"£1,485.00",PO00041415,Purchase order

Iridescence Ltd,Consultancy,29-Apr-24,"£2,475.00",PO00041464,Purchase order

BADDOW ROAD SUPPLIES LTD,Recycling Services,29-Apr-24,"£3,358.95",PO00041456,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,29-Apr-24,"£3,710.00",PO00041452,Purchase order

Access & Automation LTD,DFGS Grant,29-Apr-24,"£3,730.00",PO00041428,Purchase order

Nickolds Property Management,Homelessness Provision,29-Apr-24,"£4,245.00",PO00041471,Purchase order

Nickolds Property Management,Homelessness Provision,29-Apr-24,"£4,420.00",PO00041469,Purchase order

Nickolds Property Management,Homelessness Provision,29-Apr-24,"£4,445.00",PO00041474,Purchase order

Nickolds Property Management,Homelessness Provision,29-Apr-24,"£4,760.00",PO00041472,Purchase order

Nickolds Property Management,Homelessness Provision,29-Apr-24,"£4,760.00",PO00041473,Purchase order

Nickolds Property Management,Homelessness Provision,29-Apr-24,"£5,670.00",PO00041468,Purchase order

Nickolds Property Management,Homelessness Provision,29-Apr-24,"£5,670.00",PO00041470,Purchase order

Advanced Building and Maintenance Services Limited,DFGS Grant,29-Apr-24,"£7,505.00",PO00041427,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,29-Apr-24,"£8,218.00",PO00041462,Purchase order

BAILEY VENNING ASSOCIATES LIMITED,Consultancy,29-Apr-24,"£9,219.39",PO00041466,Purchase order

LES MILLS FITNESS,Fitness Instructors,29-Apr-24,£660.00,,Direct Debit

LES MILLS FITNESS,Fitness Instructors,29-Apr-24,"£2,106.00",,Direct Debit

DUNMOW WASTE MANAGEMENT,Recycling Services,30-Apr-24,£321.44,PO00041490,Purchase order

New Hope Rentals,Homelessness Provision,30-Apr-24,£420.00,PO00041532,Purchase order

New Hope Rentals,Homelessness Provision,30-Apr-24,£420.00,PO00041533,Purchase order

New Hope Rentals,Homelessness Provision,30-Apr-24,£420.00,PO00041534,Purchase order

New Hope Rentals,Homelessness Provision,30-Apr-24,£420.00,PO00041535,Purchase order

