Supplier Name,Net Amount,Spend Type,Service,Department,Account,Entry Date,Payment type,
WOMENS ENVIRONMENTAL NETWORK," 3,850.00 ",Purchases General             ,SES Projects                  ,Environment & Climate Change,General Fund,24 Jul 23,Invoiced,
Wood N Wax, 75.56 ,Purchases General,Performance & Improvement,Environment & Climate Change,General Fund,13 Sep 23,Purchase Card,
WOODHOUSE ESTATES LTD, 780.00 ,Purchases General             ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,15 Sep 23,Invoiced,
WOODHOUSE ESTATES LTD," 3,000.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,28 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 3,000.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,28 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 3,000.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,28 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 3,100.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,16 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 3,100.00 ",Commissioning Costs           ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,7 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 3,100.00 ",Commissioning Costs           ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,7 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 7,500.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,28 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 7,500.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,28 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 7,500.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,28 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 7,500.00 ",Commissioning Costs           ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,28 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 7,750.00 ",Commissioning Costs           ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,7 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 7,750.00 ",Commissioning Costs           ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,7 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 9,000.00 ",Commissioning Costs           ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,23 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 9,000.00 ",Commissioning Costs           ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,23 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 9,000.00 ",Commissioning Costs           ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,28 Jun 23,Invoiced,
WOODHOUSE ESTATES LTD," 22,602.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,10 Jul 23,Invoiced,
WOODHOUSE ESTATES LTD," 23,473.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,3 Aug 23,Invoiced,
WOODHOUSE ESTATES LTD," 23,695.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,8 Sep 23,Invoiced,
WOODHOUSE ESTATES LTD," 26,610.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,10 Jul 23,Invoiced,
WOODHOUSE ESTATES LTD," 30,950.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,8 Sep 23,Invoiced,
WOODHOUSE ESTATES LTD," 31,698.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,7 Aug 23,Invoiced,
WOODHOUSE ESTATES LTD," 35,393.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,7 Aug 23,Invoiced,
WOODHOUSE ESTATES LTD," 37,590.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,10 Jul 23,Invoiced,
WOODHOUSE ESTATES LTD," 38,370.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,8 Sep 23,Invoiced,
Woodland Hardware, 6.99 ,Purchases General,Bemerton Children's Centre,Children & Young People,General Fund,28 Sep 23,Purchase Card,
WOODSIDE CONTRACT SERVICES LTD," 36,401.86 ",General Works                 ,The Zone Youth Club-Playground,Community Wealth Building,General Fund,15 Aug 23,Invoiced,
WOODSIDE CONTRACT SERVICES LTD," 36,634.76 ",General Works                 ,The Zone Youth Club-Playground,Community Wealth Building,General Fund,30 Aug 23,Invoiced,
WOODSIDE CONTRACT SERVICES LTD," 39,763.24 ",General Works                 ,The Zone Youth Club-Playground,Community Wealth Building,General Fund,13 Sep 23,Invoiced,
WOODSIDE CONTRACT SERVICES LTD," 7,445.62 ",General Works                 ,Islington Boat Club-Compliance,Community Wealth Building,General Fund,13 Sep 23,Invoiced,
WOODSIDE CONTRACT SERVICES LTD," 15,589.03 ",General Works                 ,Islington Boat Club-Compliance,Community Wealth Building,General Fund,4 Sep 23,Invoiced,
WOODSIDE CONTRACT SERVICES LTD," 19,534.23 ",General Works                 ,Islington Boat Club-Compliance,Community Wealth Building,General Fund,21 Aug 23,Invoiced,
WOODSIDE CONTRACT SERVICES LTD," 22,709.94 ",General Works                 ,Islington Boat Club-Compliance,Community Wealth Building,General Fund,3 Jul 23,Invoiced,
WOODSIDE CONTRACT SERVICES LTD," 31,348.24 ",General Works                 ,Islington Boat Club-Compliance,Community Wealth Building,General Fund,1 Aug 23,Invoiced,
WOODSIDE CONTRACT SERVICES LTD," 34,009.43 ",General Works                 ,Islington Boat Club-Compliance,Community Wealth Building,General Fund,12 Jul 23,Invoiced,
Wordpress 8xhl43tnqn, 16.00 ,Sundry Subscriptions,Heritage Team,Community Engagement & Wellbeing,General Fund,28 Aug 23,Purchase Card,
Wordpress Kwh2db897a, 18.37 ,Sundry Subscriptions,Heritage Team,Community Engagement & Wellbeing,General Fund,28 Jul 23,Purchase Card,
Wordpress Pp9gmde384, 80.96 ,Sundry Subscriptions,Heritage Team,Community Engagement & Wellbeing,General Fund,25 Aug 23,Purchase Card,
Workers Cafe, 10.45 ,Food & Subsistence,Head Of Law & Business Support,Resources,General Fund,17 Jul 23,Purchase Card,
Workers Cafe, 10.45 ,Purchases General,Finance Management,Resources,General Fund,27 Sep 23,Purchase Card,
Working Alliance Ltd, 617.50 ,General Fees & Services       ,Targetted Youth Support       ,Children & Young People,General Fund,18 Sep 23,Invoiced,
Working Alliance Ltd, 902.50 ,General Fees & Services       ,Targetted Youth Support       ,Children & Young People,General Fund,4 Aug 23,Invoiced,
Working Alliance Ltd," 1,235.00 ",General Fees & Services       ,PAUSE                         ,Children & Young People,General Fund,10 Aug 23,Invoiced,
Working Alliance Ltd," 3,372.50 ",General Fees & Services       ,Targetted Youth Support       ,Children & Young People,General Fund,26 Jul 23,Invoiced,
WRIXON CARE SERVICES," 1,056.40 ",Secure Transport              ,Residential (Regulation)      ,Children & Young People,General Fund,10 Jul 23,Invoiced,
WRIXON CARE SERVICES," 1,840.75 ",Extras 4 Clients In P&V Homes ,JAP                           ,Children & Young People,General Fund,10 Aug 23,Invoiced,
WSP UK Ltd, 723.36 ,General Works                 ,Greening the Borough          ,Environment & Climate Change,General Fund,20 Jul 23,Invoiced,
WSP UK Ltd," 8,207.50 ",General Works                 ,Greening the Borough          ,Environment & Climate Change,General Fund,28 Jun 23,Invoiced,
WSP UK Ltd," 8,207.50 ",General Works                 ,Greening the Borough          ,Environment & Climate Change,General Fund,25 Sep 23,Invoiced,
WU SHI TAIJI QUAN AND QI GONG ASSOC UK," 1,760.00 ",Direct Payment To N.S.O       ,Central Locality LIF          ,Community Engagement & Wellbeing,General Fund,28 Jul 23,Invoiced,
Www Qdr Solicitors Co Uk, 128.04 ,Legal Expenses,In-house Repairs Service,Homes & Neighbourhoods,HRA,12 Sep 23,Purchase Card,
"Www,hackney.Gov.Uk", 65.00 ,Parking Fees & Fines,Supported Housing Service,Homes & Neighbourhoods,HRA,5 Jul 23,Purchase Card,
"Www,hackney.Gov.Uk", 65.00 ,Parking Fees & Fines,In-house Repairs Contract Mgt,Homes & Neighbourhoods,HRA,28 Aug 23,Purchase Card,
"Www,hackney.Gov.Uk", 65.00 ,Parking Fees & Fines,Highways Service,Environment & Climate Change,General Fund,28 Aug 23,Purchase Card,
"Www,hackney.Gov.Uk", 65.00 ,Parking Fees & Fines,ACT Social Services,Environment & Climate Change,General Fund,14 Aug 23,Purchase Card,
"Www,hackney.Gov.Uk", 65.00 ,Parking Fees & Fines,ACT Social Services,Environment & Climate Change,General Fund,14 Aug 23,Purchase Card,
"Www,hackney.Gov.Uk", 65.00 ,Purchases General,Post 16 Progression Team,Community Wealth Building,General Fund,28 Sep 23,Purchase Card,
"Www,hackney.Gov.Uk", 65.00 ,Parking Fees & Fines,Waste Management Support,Environment & Climate Change,General Fund,22 Sep 23,Purchase Card,
"Www,hackney.Gov.Uk", 65.00 ,Parking Fees & Fines,Waste Management Support,Environment & Climate Change,General Fund,22 Sep 23,Purchase Card,
"Www,hackney.Gov.Uk", 130.00 ,Parking Fees & Fines,In-house Repairs Contract Mgt,Homes & Neighbourhoods,HRA,22 Aug 23,Purchase Card,
"Www,hackney.Gov.Uk", 130.00 ,Parking Fees & Fines,In-house Gas Service,Homes & Neighbourhoods,HRA,14 Aug 23,Purchase Card,
Www.Addisonlee.Com, 7.44 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,25 Sep 23,Purchase Card,
Www.Addisonlee.Com, 13.50 ,Taxi / MiniCab Fares,COMMUNITY SAFETY - E&R,Homes & Neighbourhoods,General Fund,26 Jul 23,Purchase Card,
Www.Addisonlee.Com, 13.60 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,29 Aug 23,Purchase Card,
Www.Addisonlee.Com, 13.65 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,4 Aug 23,Purchase Card,
Www.Addisonlee.Com, 14.52 ,Taxi / MiniCab Fares,LEARNING & SKILLS,Community Wealth Building,General Fund,11 Sep 23,Purchase Card,
Www.Addisonlee.Com, 14.94 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,27 Jul 23,Purchase Card,
Www.Addisonlee.Com, 16.32 ,Taxi / MiniCab Fares,Trading Standards,Homes & Neighbourhoods,General Fund,7 Sep 23,Purchase Card,
Www.Addisonlee.Com, 16.80 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,23 Aug 23,Purchase Card,
Www.Addisonlee.Com, 17.10 ,Taxi / MiniCab Fares,LEARNING & SKILLS,Community Wealth Building,General Fund,21 Jul 23,Purchase Card,
Www.Addisonlee.Com, 17.52 ,Taxi / MiniCab Fares,Trading Standards,Homes & Neighbourhoods,General Fund,7 Sep 23,Purchase Card,
Www.Addisonlee.Com, 17.70 ,Taxi / MiniCab Fares,LEARNING & SKILLS,Community Wealth Building,General Fund,5 Sep 23,Purchase Card,
Www.Addisonlee.Com, 20.16 ,Taxi / MiniCab Fares,LEARNING & SKILLS,Community Wealth Building,General Fund,8 Sep 23,Purchase Card,
Www.Addisonlee.Com, 20.52 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,26 Jul 23,Purchase Card,
Www.Addisonlee.Com, 21.75 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,17 Aug 23,Purchase Card,
Www.Addisonlee.Com, 23.34 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,26 Jul 23,Purchase Card,
Www.Addisonlee.Com, 24.72 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,26 Jul 23,Purchase Card,
Www.Addisonlee.Com, 28.92 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,26 Jul 23,Purchase Card,
Www.Addisonlee.Com, 28.92 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,27 Sep 23,Purchase Card,
Www.Addisonlee.Com, 29.52 ,Taxi / MiniCab Fares,LEARNING & SKILLS,Community Wealth Building,General Fund,7 Sep 23,Purchase Card,
Www.Addisonlee.Com, 30.30 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,26 Jul 23,Purchase Card,
Www.Addisonlee.Com, 32.64 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,14 Jul 23,Purchase Card,
Www.Addisonlee.Com, 37.32 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,26 Jul 23,Purchase Card,
Www.Addisonlee.Com, 54.48 ,Taxi / MiniCab Fares,COMMUNITY SAFETY - E&R,Homes & Neighbourhoods,General Fund,27 Aug 23,Purchase Card,
Www.Addisonlee.Com, 56.28 ,Taxi / MiniCab Fares,COMMUNITY SAFETY - E&R,Homes & Neighbourhoods,General Fund,27 Aug 23,Purchase Card,
Www.Addisonlee.Com, 72.60 ,Taxi / MiniCab Fares,COMMUNITY SAFETY - E&R,Homes & Neighbourhoods,General Fund,26 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 8.00 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,12 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 10.99 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,15 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 11.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,28 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 11.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,18 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 11.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,13 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 12.50 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,8 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 13.49 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,31 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 13.49 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,24 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 13.49 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,23 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 13.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,1 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 13.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,11 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 13.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,9 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 13.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,8 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 13.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,4 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 14.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,11 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 14.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,3 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 15.00 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,6 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 15.50 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,11 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 17.99 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,21 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 18.00 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,31 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 18.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,17 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 19.99 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,18 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 20.82 ,TELEPHONE CHARGES,GROUNDS MAINTENANCE,Environment & Climate Change,General Fund,7 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 21.00 ,Purchases General,28a King Henry's Walk Respite,Adult Social Services,General Fund,23 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 22.00 ,Consumable Materials,Mgt & Specialist Servcies,Community Engagement & Wellbeing,General Fund,10 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 28.28 ,Purchases General,Energy Services,Environment & Climate Change,General Fund,24 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 28.95 ,Purchases General,New River Green Childrens Ctre,Children & Young People,General Fund,29 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 29.17 ,Grounds Maintenance,GROUNDS MAINTENANCE,Environment & Climate Change,General Fund,25 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 29.98 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,2 Oct 23,Purchase Card,
Www.Argos.Co.Uk, 33.00 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,11 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 35.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,4 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 36.00 ,Purchases General,Community Access Project,Adult Social Services,General Fund,20 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 39.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,26 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 39.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,31 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 54.00 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,6 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 59.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,25 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 59.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,5 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 60.00 ,Purchases General,28a King Henry's Walk Respite,Adult Social Services,General Fund,22 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 60.00 ,Purchases General,Parks Management,Environment & Climate Change,General Fund,14 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 68.95 ,Purchases General,Client Affairs Team,Community Wealth Building,General Fund,30 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 69.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,13 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 69.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,8 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 73.98 ,Purchases General,Rough Sleeping,Homes & Neighbourhoods,General Fund,18 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 79.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,24 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 80.95 ,Purchases General,Client Affairs Team,Community Wealth Building,General Fund,22 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 89.99 ,Purchases General,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,24 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 108.33 ,Purchases General,Mutual Exchange (PSA),Homes & Neighbourhoods,General Fund,22 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 109.62 ,Purchases General,PAUSE,Children & Young People,General Fund,21 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 110.00 ,Purchases General,3 Wray Court (Res Care),Adult Social Services,General Fund,19 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 139.99 ,Purchases General,Client Affairs Team,Community Wealth Building,General Fund,17 Aug 23,Purchase Card,
Www.Argos.Co.Uk, 233.33 ,Purchases General,CLEANING,Community Wealth Building,General Fund,13 Jul 23,Purchase Card,
Www.Argos.Co.Uk, 272.95 ,Misc Inc- Estates/Funerals,Client Affairs Team,Community Wealth Building,General Fund,11 Sep 23,Purchase Card,
Www.Argos.Co.Uk, 531.94 ,Purchases General,Learn Disabilities -Admin,Adult Social Services,General Fund,4 Aug 23,Purchase Card,
Www.Avantiwestcoast.Co, 116.70 ,Travel By Public Transpt,Contact Islington,Community Engagement & Wellbeing,General Fund,2 Oct 23,Purchase Card,
Www.Avantiwestcoast.Co, 136.00 ,Travel By Public Transpt,Contact Islington,Community Engagement & Wellbeing,General Fund,27 Jul 23,Purchase Card,
Www.Avantiwestcoast.Co, 196.00 ,Travel By Public Transpt,Housing Advice Team,Homes & Neighbourhoods,General Fund,8 Sep 23,Purchase Card,
Www.Avantiwestcoast.Co, 215.00 ,Travel By Public Transpt,Mutual Exchange (PSA),Homes & Neighbourhoods,General Fund,29 Sep 23,Purchase Card,
Www.Bearingboys.Co.Uk, 103.55 ,Consumable Materials,Parks & Playgrounds Infrastruc,Environment & Climate Change,General Fund,4 Jul 23,Purchase Card,
Www.Better.Org.Uk, 56.60 ,Activities,RSAP Housing First            ,Homes & Neighbourhoods,General Fund,30 Aug 23,Purchase Card,
Www.Blackcircles.Com, 45.87 ,Consumable Materials,Parks & Playgrounds Infrastruc,Environment & Climate Change,General Fund,14 Aug 23,Purchase Card,
Www.Braccio.Co.Uk, 46.71 ,Purchases General,Mobile Team,Community Wealth Building,General Fund,3 Jul 23,Purchase Card,
Www.Britishgas.Co., 45.00 ,Electricity Supply,HRA Commercial Property,Homes & Neighbourhoods,HRA,21 Sep 23,Purchase Card,
Www.Britishgas.Co., 50.11 ,Electricity Supply,COMMERCIAL PORTFOLIO,Community Wealth Building,General Fund,18 Jul 23,Purchase Card,
Www.Britishgas.Co., 123.46 ,Electricity Supply,13/14 Arlington Square,Adult Social Services,General Fund,11 Aug 23,Purchase Card,
Www.Britishgas.Co., 201.61 ,Electricity Supply,13/14 Arlington Square,Adult Social Services,General Fund,14 Jul 23,Purchase Card,
Www.Britishgas.Co., 255.00 ,Electricity Supply,13/14 Arlington Square,Adult Social Services,General Fund,14 Sep 23,Purchase Card,
Www.Broadbandbuyer.Co.Uk, 23.26 ,I.T. Networking,SCHOOL ICT SUPPORT PARTNERSHIP,Children & Young People,General Fund,4 Aug 23,Purchase Card,
Www.Broadbandbuyer.Co.Uk, 33.06 ,TELEPHONE CHARGES,LEARNING & SKILLS,Community Wealth Building,General Fund,18 Sep 23,Purchase Card,
Www.Chimneysheep.Co.Uk," 1,050.00 ",Activities,Energy Doctor,Environment & Climate Change,General Fund,18 Aug 23,Purchase Card,
Www.Cityoflondon.Gov.U, 65.00 ,Parking Fees & Fines,Refuse Collection,Environment & Climate Change,General Fund,3 Jul 23,Purchase Card,
Www.Cityoflondon.Gov.U, 204.00 ,Parking Fees & Fines,Street Cleansing,Environment & Climate Change,General Fund,10 Jul 23,Purchase Card,
Www.Cityoflondon.Gov.U, 204.00 ,Purchases General,Waste Management Support,Environment & Climate Change,General Fund,29 Aug 23,Purchase Card,
Www.Coirproducts.Co.Uk, 50.97 ,Grounds Maintenance,Parks Management,Environment & Climate Change,General Fund,8 Aug 23,Purchase Card,
Www.Crossboweducation.Com, 16.97 ,Stationery,CDC Income Recharge,Resources,General Fund,12 Sep 23,Purchase Card,
Www.Crossboweducation.Com, 22.47 ,Stationery,CDC Income Recharge,Resources,General Fund,16 Aug 23,Purchase Card,
Www.Drinking-Fountain., 145.20 ,Purchases General,Parks & Playgrounds Infrastruc,Environment & Climate Change,General Fund,2 Aug 23,Purchase Card,
Www.Driverhiretraining, 166.67 ,Training - External Courses,Refuse Collection,Environment & Climate Change,General Fund,9 Aug 23,Purchase Card,
Www.Empressmills.Co.Uk, 50.05 ,Purchases General,LEARNING & SKILLS,Community Wealth Building,General Fund,13 Sep 23,Purchase Card,
Www.Focus-Grp.Co.Uk, 67.42 ,Purchases General,3 Wray Court (Res Care),Adult Social Services,General Fund,15 Aug 23,Purchase Card,
Www.Focus-Grp.Co.Uk, 73.08 ,Purchases General,3 Wray Court (Res Care),Adult Social Services,General Fund,19 Sep 23,Purchase Card,
Www.Focus-Grp.Co.Uk, 73.84 ,TELEPHONE CHARGES,Community Access Project,Adult Social Services,General Fund,24 Jul 23,Purchase Card,
Www.Gwr.Com, 39.30 ,Travel By Public Transpt,Safeguarding Adults,Adult Social Services,General Fund,16 Aug 23,Purchase Card,
Www.Gwr.Com, 141.10 ,Travel By Public Transpt,Safeguarding Adults,Adult Social Services,General Fund,11 Jul 23,Purchase Card,
Www.Gwr.Com, 141.10 ,Travel By Public Transpt,Safeguarding Adults,Adult Social Services,General Fund,11 Sep 23,Purchase Card,
Www.Haringey.Gov.Uk, 65.00 ,Parking Fees & Fines,In-house Repairs Contract Mgt,Homes & Neighbourhoods,HRA,28 Jul 23,Purchase Card,
Www.Haringey.Gov.Uk, 65.00 ,Parking Fees & Fines,In-house Repairs Contract Mgt,Homes & Neighbourhoods,HRA,28 Aug 23,Purchase Card,
Www.Haringey.Gov.Uk, 65.00 ,Purchases General,28a King Henry's Walk Respite,Adult Social Services,General Fund,14 Aug 23,Purchase Card,
Www.Haringey.Gov.Uk, 65.00 ,Parking Fees & Fines,Refuse Collection,Environment & Climate Change,General Fund,14 Aug 23,Purchase Card,
Www.Haringey.Gov.Uk, 65.00 ,Purchases General,Post 16 Progression Team,Community Wealth Building,General Fund,28 Sep 23,Purchase Card,
Www.Haringey.Gov.Uk, 500.00 ,Purchases General,Targeted Tenant Services,Homes & Neighbourhoods,HRA,18 Jul 23,Purchase Card,
Www.Haringey.Gov.Uk, 500.00 ,Purchases General,Purchases General,Corporate,General Fund,18 Jul 23,Purchase Card,
Www.Haringey.Gov.Uk, 500.00 ,Purchases General,Targeted Tenant Services,Homes & Neighbourhoods,HRA,18 Jul 23,Purchase Card,
Www.Haringey.Gov.Uk, 500.00 ,Purchases General,Targeted Tenant Services,Homes & Neighbourhoods,HRA,6 Jul 23,Purchase Card,
Www.Hss.Com, 35.45 ,Buildings-General,Thriving Neighbourhoods       ,Homes & Neighbourhoods,HRA,19 Jul 23,Purchase Card,
Www.Hss.Com, 42.54 ,Buildings-General,Purchases General,Corporate,General Fund,11 Aug 23,Purchase Card,
Www.Hss.Com, 67.28 ,Buildings-General,Thriving Neighbourhoods       ,Homes & Neighbourhoods,HRA,12 Jul 23,Purchase Card,
Www.Hss.Com, 190.22 ,Buildings-General,Purchases General,Corporate,General Fund,7 Aug 23,Purchase Card,
Www.Iosh.Co.Uk, 122.50 ,Purchases General,1 Cottage Road,Community Wealth Building,General Fund,15 Aug 23,Purchase Card,
Www.Iosh.Co.Uk, 163.00 ,Purchases General,HEALTH & SAFETY,Community Wealth Building,General Fund,2 Oct 23,Purchase Card,
Www.Iosh.Co.Uk, 208.00 ,Purchases General,HEALTH & SAFETY,Community Wealth Building,General Fund,22 Sep 23,Purchase Card,
