Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   2,,,,,,
Start Date:  30 April 2023,,,,,,
End Date:   27 May 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167450,24 May 2023,"2,822.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167451,24 May 2023,"2,822.00",
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004\1901694506,25 May 2023,"2,819.52",
TRANSPORT TRADING LTD,LONDON BOROUGH OF EALING,Rates,1004\1901694019,05 May 2023,"2,818.00",
LONDON UNDERGROUND LTD,BROOKVEX IMS LTD,Retentions Control Account > 1Year,1005\5110273460,18 May 2023,"2,817.92",
LONDON UNDERGROUND LTD,NSK UK LTD,N/A,1005\5110256511,02 May 2023,"2,817.50",
LONDON UNDERGROUND LTD,NSK UK LTD,N/A,1005\5110262291,16 May 2023,"2,817.50",
LONDON UNDERGROUND LTD,DONFABS & CONSILLIA LTD,Plant & Equipment Purchases,1005\5110265907,24 May 2023,"2,815.60",
LUL NOMINEE BCV LIMITED,PROGRESS RAIL SERVICES UK LTD,N/A,1033\5110263734,17 May 2023,"2,814.47",
CYCLE HIRE SCHEME,CITY OF WESTMINSTER,Borough Services,1016\5110251263,19 May 2023,"2,811.32",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165349,10 May 2023,"2,810.40",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167344,17 May 2023,"2,810.40",
LONDON UNDERGROUND LTD,CLEAR ROUTE UTILITY SERVICES LTD,Electrical Equipment Maintenance,1005\5110267899,05 May 2023,"2,810.29",
LONDON UNDERGROUND LTD,CLEAR ROUTE UTILITY SERVICES LTD,Vehicle Repairs & Maintenance,1005\5110267889,05 May 2023,"2,810.29",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165232,10 May 2023,"2,804.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166084,10 May 2023,"2,804.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166181,10 May 2023,"2,804.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166809,17 May 2023,"2,804.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167277,17 May 2023,"2,804.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167301,17 May 2023,"2,804.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168028,24 May 2023,"2,803.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900163916,03 May 2023,"2,800.40",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165890,10 May 2023,"2,800.40",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168166,24 May 2023,"2,800.40",
LONDON UNDERGROUND LTD,C E F,Electrical Equipment Maintenance,1005\5110266345,23 May 2023,"2,800.00",
LT MUSEUM TRADING LTD,SMOPHY COM. V.,LTM Design & Presentation Consultancy,1024\5110264729,25 May 2023,"2,800.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900164647,03 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165231,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165243,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165769,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165799,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165886,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166071,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166072,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166147,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166168,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166192,10 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166396,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166495,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166496,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166651,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166805,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166806,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166853,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166887,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166945,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167126,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167130,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167132,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167286,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167310,17 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167421,24 May 2023,"2,790.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166200,10 May 2023,"2,790.63",
TRANSPORT TRADING LTD,LONDON BOROUGH OF TOWER HAMLETS,Rates,1004\1901694024,05 May 2023,"2,790.00",
TTL PROPERTIES LTD,GBM SERVICES LTD,Office Cleaning,1040\5110272896,22 May 2023,"2,784.60",
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004\1101162018,12 May 2023,"2,783.95",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166754,17 May 2023,"2,782.08",
LONDON UNDERGROUND LTD,SMITHS ENGINEERING WORKS (NI) LTD,N/A,1005\5110272416,16 May 2023,"2,781.60",
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5110260479,12 May 2023,"2,781.01",
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing,1002\5110271248,17 May 2023,"2,780.01",
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004\1101165752,25 May 2023,"2,779.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165748,10 May 2023,"2,777.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900164236,03 May 2023,"2,776.94",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167588,24 May 2023,"2,776.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167589,24 May 2023,"2,776.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167590,24 May 2023,"2,776.20",
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005\1900258782,03 May 2023,"2,774.75",
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005\1900258783,03 May 2023,"2,774.75",
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005\1900259124,10 May 2023,"2,774.75",
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005\1900259618,17 May 2023,"2,774.75",
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005\1900259905,24 May 2023,"2,774.75",
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005\1900259907,24 May 2023,"2,774.75",
TFL CORPORATE,STRATEGIC RAIL CONSULTANTS LTD,Professional Engineering Services,1001\5110275745,24 May 2023,"2,773.06",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900164144,03 May 2023,"2,772.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165315,10 May 2023,"2,772.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166088,10 May 2023,"2,772.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167076,17 May 2023,"2,772.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167549,24 May 2023,"2,772.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168371,24 May 2023,"2,772.96",
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004\1101163702,18 May 2023,"2,768.25",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166217,10 May 2023,"2,768.05",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167270,17 May 2023,"2,768.05",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166232,10 May 2023,"2,766.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166470,17 May 2023,"2,766.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165213,10 May 2023,"2,766.84",
LONDON UNDERGROUND LTD,A&A ELECTRICAL DISTRIBUTORS LTD,Building Maintenance & Repairs,1005\5110266426,09 May 2023,"2,765.58",
LONDON UNDERGROUND LTD,A&A ELECTRICAL DISTRIBUTORS LTD,Building Maintenance & Repairs,1005\5110266427,09 May 2023,"2,765.58",
LUL NOMINEE BCV LIMITED,EMICO LTD,MR Construction Costs,1033\5110273909,23 May 2023,"2,765.54",
LONDON UNDERGROUND LTD,VIKING PRECISION ENGINEERS LTD,Fleet,1005\5110274022,19 May 2023,"2,765.00",
LUL NOMINEE BCV LIMITED,PROGRESS RAIL SERVICES UK LTD,N/A,1033\5110263874,17 May 2023,"2,764.26",
LUL NOMINEE BCV LIMITED,PROGRESS RAIL SERVICES UK LTD,N/A,1033\5110263878,17 May 2023,"2,764.26",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166609,17 May 2023,"2,764.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168417,24 May 2023,"2,764.20",
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005\1900258941,10 May 2023,"2,760.48",
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005\1900259313,17 May 2023,"2,760.48",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165813,10 May 2023,"2,758.90",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166811,17 May 2023,"2,758.90",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168338,24 May 2023,"2,758.90",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165531,10 May 2023,"2,758.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166040,10 May 2023,"2,758.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166730,17 May 2023,"2,758.76",
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004\1101165623,25 May 2023,"2,756.05",
LUL NOMINEE BCV LIMITED,HIREMECH LTD,Equipment Repairs & Maintenance,1033\5110273127,17 May 2023,"2,755.85",
RFL (IINFRASTRUCTURE) LTD,JNG CONSTRUCTION & ENGINEERING,Civil Engineering Construction Works,1025\5110274082,24 May 2023,"2,755.72",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165712,10 May 2023,"2,754.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165740,10 May 2023,"2,754.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166819,17 May 2023,"2,754.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167298,17 May 2023,"2,754.20",
TTL PROPERTIES LTD,ASHURST LLP,Legal Fees,1040\5110274995,24 May 2023,"2,753.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165942,10 May 2023,"2,752.50",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166973,17 May 2023,"2,752.50",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110250540,16 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110249361,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110250999,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110251005,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110251371,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110251943,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110251946,17 May 2023,"2,750.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110252187,24 May 2023,"2,750.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110253121,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110253368,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110253370,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110253575,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110253605,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110253607,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110253947,17 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110254374,17 May 2023,"2,750.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110267031,05 May 2023,"2,750.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110270615,16 May 2023,"2,750.00",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110272160,16 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110273960,19 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110273962,19 May 2023,"2,750.00",
TFL CORPORATE,HAYS SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1001\5110273982,19 May 2023,"2,750.00",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110274312,23 May 2023,"2,750.00",
LONDON UNDERGROUND LTD,BRECKNELL WILLIS -A DIV OF WABTEC U,Maintenance Materials,1005\5110264988,23 May 2023,"2,750.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165632,10 May 2023,"2,748.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166377,17 May 2023,"2,748.96",
SURFACE TRANSPORT CORP,ADDLESHAW GODDARD LLP,Legal Fees,1002\5110264083,17 May 2023,"2,746.50",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165626,10 May 2023,"2,742.84",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166915,17 May 2023,"2,742.84",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165685,10 May 2023,"2,740.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165687,10 May 2023,"2,740.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166971,17 May 2023,"2,740.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167065,17 May 2023,"2,740.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165556,10 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165638,10 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165668,10 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165686,10 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165871,10 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165909,10 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166135,10 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166800,17 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166801,17 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166895,17 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167067,17 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167107,17 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167257,17 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167318,17 May 2023,"2,740.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167368,17 May 2023,"2,740.75",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110259847,05 May 2023,"2,740.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110267503,05 May 2023,"2,740.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110278392,26 May 2023,"2,740.00",
SURFACE TRANSPORT CORP,SOPHIE BIRD,Legal Fees,1002\1900075188,18 May 2023,"2,740.00",
LONDON RIVER SERVICES LTD,VINCI CONSTRUCTION UK LTD,Franchise/Concession Fixed Fee,1007\5110258559,24 May 2023,"2,739.24",
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5110257336,03 May 2023,"2,738.24",
SURFACE TRANSPORT CORP,ST DUNSTAN'S EDUCATIONAL FOUNDATION,Purchase of Land & Buildings,1002\1900075029,03 May 2023,"2,737.92",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110272167,16 May 2023,"2,737.44",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110274296,25 May 2023,"2,737.44",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900164578,03 May 2023,"2,737.26",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165300,10 May 2023,"2,737.26",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167117,17 May 2023,"2,737.26",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168235,24 May 2023,"2,737.26",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166804,17 May 2023,"2,736.72",
LUL NOMINEE SSL LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1031\5110257280,18 May 2023,"2,736.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166166,10 May 2023,"2,735.70",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167419,24 May 2023,"2,735.70",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166187,10 May 2023,"2,735.56",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166353,17 May 2023,"2,735.56",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165425,10 May 2023,"2,735.02",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167729,24 May 2023,"2,735.02",
TRANSPORT TRADING LTD,CITY OF LONDON ,Rates,1004\1901694010,05 May 2023,"2,735.00",
LUL NOMINEE SSL LIMITED,CWW ENGINEERS SUPPLY CO LTD,N/A,1031\5110262088,17 May 2023,"2,733.50",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165925,10 May 2023,"2,733.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166478,17 May 2023,"2,733.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165901,10 May 2023,"2,732.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167094,17 May 2023,"2,732.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167774,24 May 2023,"2,732.76",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165624,10 May 2023,"2,732.70",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165633,10 May 2023,"2,732.70",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167291,17 May 2023,"2,732.70",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167292,17 May 2023,"2,732.70",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165448,10 May 2023,"2,732.06",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165737,10 May 2023,"2,732.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166408,17 May 2023,"2,732.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900164540,03 May 2023,"2,731.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166548,17 May 2023,"2,731.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165939,10 May 2023,"2,731.50",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167113,17 May 2023,"2,731.50",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165629,10 May 2023,"2,731.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166246,10 May 2023,"2,731.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166372,17 May 2023,"2,731.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167299,17 May 2023,"2,731.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165501,10 May 2023,"2,728.90",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165502,10 May 2023,"2,728.90",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166681,17 May 2023,"2,728.90",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166682,17 May 2023,"2,728.90",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165627,10 May 2023,"2,728.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166259,10 May 2023,"2,728.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166568,17 May 2023,"2,728.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166962,17 May 2023,"2,728.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900164562,03 May 2023,"2,728.17",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167683,24 May 2023,"2,728.17",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110272157,16 May 2023,"2,726.44",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110272164,16 May 2023,"2,726.44",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110274963,25 May 2023,"2,726.44",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110274982,25 May 2023,"2,726.44",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900165483,10 May 2023,"2,725.71",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166698,17 May 2023,"2,725.71",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900166795,17 May 2023,"2,725.45",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900167242,17 May 2023,"2,725.40",
DIAL A RIDE,VINCI CONSTRUCTION UK LTD,Building Maintenance & Repairs,1010\5110273471,18 May 2023,"2,724.35",
