Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:  7,,,,,,,,,,
Start Date:  17 September 2023,,,,,,,,,,
End Date: 14 October 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110322819,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110322820,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110322821,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110322822,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110322823,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110323042,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110323047,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110323050,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110323095,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110323097,27 Sep 2023,"£7,027",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Vehicle Operating Leases,1005/5110323100,27 Sep 2023,"£7,027",,,,,
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004/1901697792,05 Oct 2023,"£7,022",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188512,27 Sep 2023,"£7,021",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189652,04 Oct 2023,"£7,021",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191052,11 Oct 2023,"£7,021",,,,,
LONDON UNDERGROUND LTD,Derlin Construction Ltd,Fleet,1005/5110335348,28 Sep 2023,"£7,015",,,,,
LUL NOMINEE SSL LIMITED,SWEETNAM & BRADLEY LTD,N/A,1031/5110332800,25 Sep 2023,"£7,008",,,,,
LUL NOMINEE BCV LIMITED,Medway Galvanising Company Limited,Track General Maintenance,1033/5110333874,03 Oct 2023,"£7,007",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110330597,11 Oct 2023,"£7,003",,,,,
TTL PROPERTIES LTD,Archio Ltd,Planning & Development Consultancy,1040/5110334085,26 Sep 2023,"£7,000",,,,,
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110300788,02 Oct 2023,"£7,000",,,,,
TTL PROPERTIES LTD,Insight Executive Group Limited,Management & Support Consultancy,1040/5110340832,06 Oct 2023,"£7,000",,,,,
RAIL FOR LONDON LIMITED,Lineworx Limited,Professional Engineering Services,1020/5110330962,28 Sep 2023,"£7,000",,,,,
TRANSPORT TRADING LTD,Quill Construction Limited,Building Maintenance & Repairs,1004/5110339981,10 Oct 2023,"£7,000",,,,,
LUL NOMINEE SSL LIMITED,LUCCHINI UK LTD,Signalling Systems,1031/5110325622,20 Sep 2023,"£6,981",,,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Security Equipment,1005/5110313601,19 Sep 2023,"£6,975",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF CAMDEN,Rates,1004/1901697731,05 Oct 2023,"£6,969",,,,,
LONDON BUS SERVICES LTD,GTT-EMEA LIMITED,Telephony Fixed,1006/5110331363,21 Sep 2023,"£6,959",,,,,
TFL CORPORATE,Herbert Smith LLP,Legal Fees,1001/5110330367,19 Sep 2023,"£6,948",,,,,
LONDON UNDERGROUND LTD,TRELLEBORG INDUSTRIAL AVS,Stock of Fleet,1005/5110322128,20 Sep 2023,"£6,946",,,,,
LONDON RIVER SERVICES LTD,SSE PLC,Electricity,1007/1900005007,28 Sep 2023,"£6,944",,,,,
LONDON UNDERGROUND LTD,PIRTEK,N/A,1005/5110323626,20 Sep 2023,"£6,925",,,,,
LONDON UNDERGROUND LTD,Pullman Rail Ltd,Fleet,1005/5110332926,26 Sep 2023,"£6,910",,,,,
LONDON UNDERGROUND LTD,VIKING PRECISION ENGINEERS LTD,N/A,1005/5110338931,04 Oct 2023,"£6,906",,,,,
LONDON BUS SERVICES LTD,MITIE Cleaning & Environmental,Building Maintenance & Repairs,1006/5110321869,20 Sep 2023,"£6,903",,,,,
TFL CORPORATE,WESTON ANALYTICS LIMITED,Manage IT Services,1001/5110330136,19 Sep 2023,"£6,898",,,,,
TFL CORPORATE,WESTON ANALYTICS LIMITED,Manage IT Services,1001/5110336027,02 Oct 2023,"£6,898",,,,,
TTL PROPERTIES LTD,Completely Events Ltd,Marketing Services,1040/1900006217,25 Sep 2023,"£6,894",,,,,
TFL CORPORATE,Mott MacDonald Limited,Professional Engineering Services,1001/5110332064,11 Oct 2023,"£6,890",,,,,
TFL CORPORATE,PCG Associates Limited,Management & Support Consultancy,1001/5110338483,12 Oct 2023,"£6,875",,,,,
LUL NOMINEE SSL LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Pumps & Drainage,1031/5110328482,09 Oct 2023,"£6,873",,,,,
LUL NOMINEE SSL LIMITED,Siemens Mobility Limited,Electrical & Electronic Engineering,1031/5110327071,04 Oct 2023,"£6,871",,,,,
PUBLIC CARRIAGE OFFICE,MITIE FM LIMITED,Security Services (Guards),1003/5110325736,27 Sep 2023,"£6,863",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF BARNET,Rates,1004/1901697723,05 Oct 2023,"£6,862",,,,,
RAIL FOR LONDON LIMITED,SULLIVAN BUS & COACH LIMITED,Franchise/Concession Fixed Fee,1020/5110331015,20 Sep 2023,"£6,850",,,,,
RAIL FOR LONDON LIMITED,Energy And System Technical Ltd,Electrical Equipment Maintenance,1020/5110334095,29 Sep 2023,"£6,846",,,,,
LUL NOMINEE SSL LIMITED,Alstom Engineering & Services LTD,Fleet,1031/5110320426,20 Sep 2023,"£6,839",,,,,
LUL NOMINEE SSL LIMITED,Alstom Engineering & Services LTD,Fleet,1031/5110320427,20 Sep 2023,"£6,839",,,,,
LUL NOMINEE SSL LIMITED,Alstom Engineering & Services LTD,Fleet,1031/5110323335,27 Sep 2023,"£6,839",,,,,
LUL NOMINEE SSL LIMITED,Alstom Engineering & Services LTD,Fleet,1031/5110323336,27 Sep 2023,"£6,839",,,,,
LUL NOMINEE SSL LIMITED,Alstom Engineering & Services LTD,Fleet,1031/5110327992,10 Oct 2023,"£6,839",,,,,
LUL NOMINEE SSL LIMITED,Alstom Engineering & Services LTD,Fleet,1031/5110327993,10 Oct 2023,"£6,839",,,,,
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110311699,26 Sep 2023,"£6,820",,,,,
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110336654,02 Oct 2023,"£6,820",,,,,
TFL CORPORATE,Probrand Ltd,Computer Hardware,1001/5110335412,05 Oct 2023,"£6,800",,,,,
LONDON BUS SERVICES LTD,TRUEFORM ENGINEERING LTD,Maintenance of Plant & Equipment,1006/5110334688,02 Oct 2023,"£6,773",,,,,
SURFACE TRANSPORT CORP,MediaEdge:CIA,Management & Support Consultancy,1002/5110333270,03 Oct 2023,"£6,760",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Protective Clothing,1005/5110321908,26 Sep 2023,"£6,750",,,,,
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Ticket & Pass Production,1004/5110333878,29 Sep 2023,"£6,750",,,,,
LONDON UNDERGROUND LTD,Tidyco Ltd,N/A,1005/5110325218,27 Sep 2023,"£6,730",,,,,
LONDON UNDERGROUND LTD,Instarmac Group Limited,N/A,1005/5110335580,28 Sep 2023,"£6,728",,,,,
LONDON UNDERGROUND LTD,Instarmac Group Limited,N/A,1005/5110336487,29 Sep 2023,"£6,728",,,,,
SURFACE TRANSPORT CORP,FIRSTPROS LIMITED,Civil Engineering Construction Works,1002/5110344046,13 Oct 2023,"£6,720",,,,,
TRANSPORT TRADING LTD,City Sprint UK Ltd,Couriers,1004/1901697295,27 Sep 2023,"£6,709",,,,,
LONDON UNDERGROUND LTD,CALDERS & GRANDIDGE (Boston) Ltd,N/A,1005/5110330702,09 Oct 2023,"£6,702",,,,,
RAIL FOR LONDON LIMITED,REDACTED,Legal Fees,1020/5110337369,03 Oct 2023,"£6,702",,,,,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110330081,19 Sep 2023,"£6,701",,,,,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110334236,29 Sep 2023,"£6,701",,,,,
RFL (IINFRASTRUCTURE) LTD,Wireless CCTV Ltd,Computer Software,1025/5110334850,28 Sep 2023,"£6,700",,,,,
TFL CORPORATE,MediaEdge:CIA,Advertising,1001/5110336245,12 Oct 2023,"£6,696",,,,,
LONDON UNDERGROUND LTD,PRECISION CHAINS LTD,Stock of Lifts and Escalators,1005/5110330994,10 Oct 2023,"£6,692",,,,,
LONDON UNDERGROUND LTD,CFP WORLDWIDE LIMITED,Professional Engineering Services,1005/5110340768,06 Oct 2023,"£6,684",,,,,
LONDON UNDERGROUND LTD,Biffa Waste Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110327004,27 Sep 2023,"£6,684",,,,,
RFL (IINFRASTRUCTURE) LTD,O2 UK Limited,Telephony Mobile,1025/1900001765,19 Sep 2023,"£6,683",,,,,
LONDON UNDERGROUND LTD,Biffa Waste Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110329311,04 Oct 2023,"£6,681",,,,,
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110334769,29 Sep 2023,"£6,680",,,,,
TFL CORPORATE,Lemongrass Consulting Limited,Computer Software,1001/5110336672,04 Oct 2023,"£6,676",,,,,
LONDON UNDERGROUND LTD,BRECKNELL WILLIS -A DIV OF WABTEC U,Plant & Equipment Purchases,1005/5110326556,13 Oct 2023,"£6,663",,,,,
TFL CORPORATE,Corporate Document Services Ltd,Production Artwork And Design For Marketing,1001/5110336383,04 Oct 2023,"£6,661",,,,,
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110332824,25 Sep 2023,"£6,653",,,,,
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110333102,25 Sep 2023,"£6,653",,,,,
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110334111,26 Sep 2023,"£6,653",,,,,
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110337224,04 Oct 2023,"£6,653",,,,,
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110337228,04 Oct 2023,"£6,653",,,,,
TFL CORPORATE,Computacenter Plc,Software Maintenance,1001/5110330650,11 Oct 2023,"£6,650",,,,,
TTL PROPERTIES LTD,UNIVERSAL,Office Accommodation Moves,1040/5110335949,04 Oct 2023,"£6,633",,,,,
RAIL FOR LONDON LIMITED,UK Power Networks Services (Co) Ltd,Management & Support Consultancy,1020/5110320656,19 Sep 2023,"£6,614",,,,,
SURFACE TRANSPORT CORP,Trapeze ITS Switzerland GmbH,Manage IT Services,1002/5110317274,26 Sep 2023,"£6,606",,,,,
LONDON UNDERGROUND LTD,Faiveley Transport Tamworth Ltd,Fleet,1005/5110331336,11 Oct 2023,"£6,602",,,,,
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004/1901697780,05 Oct 2023,"£6,596",,,,,
TFL CORPORATE,Thomas Telford Ltd,Staff Training,1001/5110334969,03 Oct 2023,"£6,592",,,,,
LONDON UNDERGROUND LTD,C Woodford Engineering LTD,Vehicle Repairs & Maintenance,1005/5110335447,04 Oct 2023,"£6,580",,,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,Telephony Fixed,1001/5110323620,27 Sep 2023,"£6,580",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Fleet,1031/5110339415,11 Oct 2023,"£6,553",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Fleet,1031/5110339428,11 Oct 2023,"£6,553",,,,,
LONDON BUS SERVICES LTD,Pindar Creative,Franchise/Concession Fixed Fee,1006/5110321644,26 Sep 2023,"£6,549",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Plant & Equipment Purchases,1005/5110323224,27 Sep 2023,"£6,548",,,,,
LONDON UNDERGROUND LTD,Faiveley Transport Tamworth Ltd,Fleet,1005/5110332157,11 Oct 2023,"£6,530",,,,,
LONDON UNDERGROUND LTD,TEW Plus Ltd,Civil Engineering Construction Works,1005/5110329243,18 Sep 2023,"£6,529",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF MERTON,Rates,1004/1901697812,05 Oct 2023,"£6,520",,,,,
LUL NOMINEE BCV LIMITED,KINGSBEECH LTD,Maintenance Materials,1033/5110338117,10 Oct 2023,"£6,518",,,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,Maintenance of Telecommunications Equipment,1001/5110330253,10 Oct 2023,"£6,512",,,,,
TFL CORPORATE,Asset Management Consulting Ltd,Staff Training,1001/5110331948,28 Sep 2023,"£6,500",,,,,
LONDON RIVER SERVICES LTD,Maritime Skills Academy Solent Ltd,Staff Training,1007/5110337264,04 Oct 2023,"£6,491",,,,,
LONDON UNDERGROUND LTD,South Western Railway,National Rail Qualifying Expenditure Charges,1005/5110330753,11 Oct 2023,"£6,480",,,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110324634,27 Sep 2023,"£6,476",,,,,
LONDON BUS SERVICES LTD,EE Limited,Radio Systems Equipment & Maintenance,1006/5110330320,04 Oct 2023,"£6,471",,,,,
LONDON UNDERGROUND LTD,A&A Electrical Distributors Ltd,Civil Engineering Construction Works,1005/5110332407,22 Sep 2023,"£6,470",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110321435,20 Sep 2023,"£6,468",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110326190,04 Oct 2023,"£6,468",,,,,
LUL NOMINEE SSL LIMITED,PRV ENGINEERING LTD,Stock of Fleet,1031/5110340604,10 Oct 2023,"£6,467",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF ISLINGTON,Rates,1004/1901697802,05 Oct 2023,"£6,442",,,,,
LUL NOMINEE SSL LIMITED,KINGSBEECH LTD,Stock of Fleet,1031/5110318164,10 Oct 2023,"£6,440",,,,,
DOCKLANDS LIGHT RAILWAY,Ashurst LLP,Legal Fees,1012/5110330299,25 Sep 2023,"£6,434",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187596,20 Sep 2023,"£6,433",,,,,
RFL (IINFRASTRUCTURE) LTD,Talleres ZITRON SA UK Branch,Professional Engineering Services,1025/5110331947,09 Oct 2023,"£6,414",,,,,
LONDON UNDERGROUND LTD,JOHN BRADLEY & SON (SPRINGS) LTD,N/A,1005/5110325299,27 Sep 2023,"£6,408",,,,,
LONDON UNDERGROUND LTD,Commander Building Services Limited,Building Maintenance & Repairs,1005/5110326992,18 Sep 2023,"£6,403",,,,,
RAIL FOR LONDON LIMITED,EE Limited,Computer Hardware,1020/5110332410,27 Sep 2023,"£6,403",,,,,
SURFACE TRANSPORT CORP,NETWORK RAIL INFRASTRUCTURE,Civil Engineering Construction Works,1002/5110329247,04 Oct 2023,"£6,402",,,,,
LONDON UNDERGROUND LTD,ARLINGTON FLEET SERVICES LTD,Equipment Hire & Rental,1005/5110339682,10 Oct 2023,"£6,400",,,,,
TFL CORPORATE,Thomas Editorial Limited,Management & Support Consultancy,1001/5110335388,28 Sep 2023,"£6,400",,,,,
TFL CORPORATE,Gutteridge Haskins & Davey Limited,Management & Support Consultancy,1001/5110326680,27 Sep 2023,"£6,386",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110325052,20 Sep 2023,"£6,371",,,,,
TFL CORPORATE,UNIVERSAL,Office Accommodation Moves,1001/5110333863,29 Sep 2023,"£6,358",,,,,
TRANSPORT TRADING LTD,Frankland (UK) Ltd,Office Cleaning,1004/5110335502,28 Sep 2023,"£6,357",,,,,
TFL CORPORATE,Corporate Document Services Ltd,Printing,1001/5110328561,19 Sep 2023,"£6,340",,,,,
LT MUSEUM TRADING LTD,Mosaic Fulfilment Solutions,LTM Warehousing & Packaging,1024/5110335383,28 Sep 2023,"£6,329",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189288,27 Sep 2023,"£6,329",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189538,04 Oct 2023,"£6,329",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191557,11 Oct 2023,"£6,329",,,,,
LUL NOMINEE SSL LIMITED,NSK UK LTD,Signalling Systems,1031/5110320633,19 Sep 2023,"£6,326",,,,,
RAIL FOR LONDON LIMITED,Ground Transportation Systems UKLtd,Management & Support Consultancy,1020/5110333054,11 Oct 2023,"£6,324",,,,,
TFL CORPORATE,Currie & Brown UK Limited,Management & Support Consultancy,1001/5110325311,27 Sep 2023,"£6,320",,,,,
TRANSPORT TRADING LTD,GARRAN LOCKERS LTD,Furniture & Equipment,1004/5110335546,29 Sep 2023,"£6,319",,,,,
LONDON RIVER SERVICES LTD,Carter Jonas LLP,Franchise/Concession Fixed Fee,1007/5110332402,13 Oct 2023,"£6,313",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901697718,05 Oct 2023,"£6,312",,,,,
LONDON UNDERGROUND LTD,HOWELLS RAILWAY PRODUCTS LTD,Maintenance Materials,1005/5110334035,26 Sep 2023,"£6,300",,,,,
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110272152,22 Sep 2023,"£6,300",,,,,
TTL PROPERTIES LTD,STRATEGIC RAIL CONSULTANTS LTD,Agency Staff,1040/5110326496,27 Sep 2023,"£6,300",,,,,
LONDON RIVER SERVICES LTD,MITIE FM LIMITED,Security Services (Guards),1007/5110327119,27 Sep 2023,"£6,294",,,,,
LONDON UNDERGROUND LTD,Grosvenor Contracts Leasing Limited,Operating Lease Expense - Motor Vehicles,1005/5110322406,27 Sep 2023,"£6,293",,,,,
LUL NOMINEE SSL LIMITED,SKF (UK) LTD,Fleet,1031/5110324584,26 Sep 2023,"£6,290",,,,,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Non Recyclable Waste Disposal/Refuse Collection,1005/5110333471,28 Sep 2023,"£6,284",,,,,
LONDON UNDERGROUND LTD,Pullman Rail Ltd,Fleet,1005/5110332921,26 Sep 2023,"£6,282",,,,,
LONDON UNDERGROUND LTD,C E F,Building Maintenance & Repairs,1005/5110337261,02 Oct 2023,"£6,280",,,,,
TTL PROPERTIES LTD,Archio Ltd,Planning & Development Consultancy,1040/5110339047,05 Oct 2023,"£6,250",,,,,
LONDON UNDERGROUND LTD,EVENHEIGHTS LTD,Vehicle Repairs & Maintenance,1005/5110332930,25 Sep 2023,"£6,250",,,,,
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110317068,09 Oct 2023,"£6,250",,,,,
LONDON UNDERGROUND LTD,KINGSBEECH LTD,N/A,1005/5110335139,12 Oct 2023,"£6,250",,,,,
LONDON UNDERGROUND LTD,Faiveley Transport Tamworth Ltd,Fleet,1005/5110324526,27 Sep 2023,"£6,246",,,,,
LONDON UNDERGROUND LTD,Powerday Plc,Non Recyclable Waste Disposal/Refuse Collection,1005/5110326585,20 Sep 2023,"£6,246",,,,,
LONDON UNDERGROUND LTD,KETECH SYSTEMS LTD,Vehicle Repairs & Maintenance,1005/5110337160,02 Oct 2023,"£6,245",,,,,
DIAL A RIDE,ComCab (London) Limited,Vehicle Purchases,1010/5110328242,27 Sep 2023,"£6,241",,,,,
LONDON BUS SERVICES LTD,MITIE Cleaning & Environmental,"Maps, Timetables & Fare Information",1006/5110329918,11 Oct 2023,"£6,240",,,,,
TFL CORPORATE,HCL Technologies UK Ltd,Management & Support Consultancy,1001/5110321382,20 Sep 2023,"£6,235",,,,,
DIAL A RIDE,Bexley Accessible Transport Scheme,Vehicle Purchases,1010/5110338552,03 Oct 2023,"£6,234",,,,,
LONDON UNDERGROUND LTD,WECS PRECISION LTD,Stock of Fleet,1005/5110342509,13 Oct 2023,"£6,232",,,,,
TFL CORPORATE,BritshInstituteLearningDisabilities,Staff Training,1001/5110329229,21 Sep 2023,"£6,225",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110328843,04 Oct 2023,"£6,223",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110330599,11 Oct 2023,"£6,223",,,,,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Equipment Repairs & Maintenance,1005/5110249388,29 Sep 2023,"£6,219",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,N/A,1020/5110321686,20 Sep 2023,"£6,217",,,,,
SURFACE TRANSPORT CORP,ATKINS LIMITED,Civil Engineering Construction Works,1002/5110331512,11 Oct 2023,"£6,215",,,,,
TTL PROPERTIES LTD,MACE Ltd,Planning & Development Consultancy,1040/5110323017,20 Sep 2023,"£6,210",,,,,
RAIL FOR LONDON LIMITED,Atlas Rail Ltd,Staff Training,1020/5110334083,26 Sep 2023,"£6,207",,,,,
LONDON TRANSPORT MUSEUM,Displayways,LTM Design & Presentation Consultancy,1011/5110332430,22 Sep 2023,"£6,207",,,,,
LONDON UNDERGROUND LTD,C E F,Building Maintenance & Repairs,1005/5110337250,02 Oct 2023,"£6,207",,,,,
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110331064,21 Sep 2023,"£6,200",,,,,
LONDON UNDERGROUND LTD,REHAU LTD,N/A,1005/5110330692,11 Oct 2023,"£6,200",,,,,
RAIL FOR LONDON LIMITED,Houghton International,N/A,1020/5110321179,18 Sep 2023,"£6,198",,,,,
LONDON UNDERGROUND LTD,Pablon Tools Limited,Protective Clothing,1005/5110329435,18 Sep 2023,"£6,195",,,,,
LONDON BUS SERVICES LTD,Telent Technology Services Ltd,Security Services (Guards),1006/5110319968,19 Sep 2023,"£6,193",,,,,
LONDON UNDERGROUND LTD,Pablon Tools Limited,Pumps & Drainage,1005/5110329287,29 Sep 2023,"£6,193",,,,,
LONDON UNDERGROUND LTD,PROGRESS RAIL SERVICES UK LTD,Track General Maintenance,1005/5110326525,26 Sep 2023,"£6,186",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110328845,04 Oct 2023,"£6,182",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110330604,11 Oct 2023,"£6,182",,,,,
LONDON UNDERGROUND LTD,BRECKNELL WILLIS -A DIV OF WABTEC U,Fleet,1005/5110329916,10 Oct 2023,"£6,181",,,,,
RAIL FOR LONDON LIMITED,BDB Pitmans LLP,Legal Fees,1020/5110342724,12 Oct 2023,"£6,172",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF CAMDEN,Rates,1004/1901697732,05 Oct 2023,"£6,171",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901697719,05 Oct 2023,"£6,171",,,,,
LUL NOMINEE SSL LIMITED,Mantec Engineering Ltd,N/A,1031/5110337495,03 Oct 2023,"£6,170",,,,,
LONDON UNDERGROUND LTD,Schindler Ltd,Lift Maintenance,1005/5110336187,29 Sep 2023,"£6,168",,,,,
LONDON UNDERGROUND LTD,Hiremech Limited,Plant & Equipment Purchases,1005/5110338219,04 Oct 2023,"£6,165",,,,,
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110341902,13 Oct 2023,"£6,165",,,,,
TRANSPORT TRADING LTD,Atoc Ltd,Software Maintenance,1004/5110325720,27 Sep 2023,"£6,164",,,,,
SURFACE TRANSPORT CORP,AECOM Limited,Professional Engineering Services,1002/5110326623,27 Sep 2023,"£6,156",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,N/A,1005/5110319225,18 Sep 2023,"£6,155",,,,,
LONDON UNDERGROUND LTD,Faiveley Transport Tamworth Ltd,Fleet,1005/5110252059,26 Sep 2023,"£6,148",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110328819,04 Oct 2023,"£6,141",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110328837,04 Oct 2023,"£6,141",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110328847,04 Oct 2023,"£6,141",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110328848,04 Oct 2023,"£6,141",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110328850,04 Oct 2023,"£6,141",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110330601,11 Oct 2023,"£6,141",,,,,
LUL NOMINEE SSL LIMITED,ERIKS  EMS,Component Repairs Sub Contracted,1031/5110330602,11 Oct 2023,"£6,141",,,,,
TFL CORPORATE,Insight Executive Group Limited,Management & Support Consultancy,1001/5110331042,20 Sep 2023,"£6,138",,,,,
LONDON UNDERGROUND LTD,DPSS Cabling Services Limited,Connect PFI Service Costs,1005/5110332233,25 Sep 2023,"£6,135",,,,,
LUL NOMINEE BCV LIMITED,KGJ Price (Railway Contractors) Ltd,Track General Maintenance,1033/5110336196,29 Sep 2023,"£6,133",,,,,
LONDON UNDERGROUND LTD,Derlin Construction Ltd,Fleet,1005/5110339760,05 Oct 2023,"£6,120",,,,,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Equipment Repairs & Maintenance,1005/5110254250,13 Oct 2023,"£6,120",,,,,
LONDON UNDERGROUND LTD,VOITH TURBO LTD,Fleet,1005/5110331937,22 Sep 2023,"£6,109",,,,,
LONDON UNDERGROUND LTD,Pablon Tools Limited,Pumps & Drainage,1005/5110338251,06 Oct 2023,"£6,106",,,,,
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110334002,27 Sep 2023,"£6,105",,,,,
LUL NOMINEE SSL LIMITED,Electromech RS Ltd,Component Repairs Sub Contracted,1031/5110337024,04 Oct 2023,"£6,105",,,,,
SURFACE TRANSPORT CORP,HAYLEY GROUP PLC,Uniforms,1002/5110318122,12 Oct 2023,"£6,105",,,,,
