Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:   4,,,,,,,,,,
Start Date:  25 June 2023,,,,,,,,,,
End Date:   22 July 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173448,28 Jun 2023,"4,071.90",,,,,
VICTORIA COACH STATN LTD,STAGECOACH IN OXFORDSHIRE,VCS Repayments & Commission,1008/1900004802,28 Jun 2023,"4,055.94",,,,,
LONDON UNDERGROUND LTD,KINGSBEECH LTD,Computer Hardware,1005/5110290200,26 Jun 2023,"4,053.37",,,,,
LONDON UNDERGROUND LTD,RIVERSIDE TRUCK RENTAL LIMITED,Vehicle Operating Leases,1005/5110297655,10 Jul 2023,"4,052.08",,,,,
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004/1901695551,04 Jul 2023,"4,043.00",,,,,
LUL NOMINEE SSL LIMITED,HOLBRO ENGINEERING LTD,Stock of Fleet,1031/5110302797,18 Jul 2023,"4,040.55",,,,,
TFL CORPORATE,OMNIPLEX GROUP LTD,Computer Software,1001/5110284387,26 Jun 2023,"4,040.00",,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing,1001/5110291357,28 Jun 2023,"4,039.20",,,,,
LONDON UNDERGROUND LTD,INSTARMAC GROUP LIMITED,Stock Of Track,1005/5110291419,26 Jun 2023,"4,036.80",,,,,
TFL CORPORATE,DIVERSITY AND ABILITY (D&A),Staff Training,1001/5110283140,03 Jul 2023,"4,030.33",,,,,
LONDON UNDERGROUND LTD,CREIGHTON AND SON LIMITED,Fleet,1005/5110295465,05 Jul 2023,"4,029.60",,,,,
LONDON UNDERGROUND LTD,CREIGHTON AND SON LIMITED,Fleet,1005/5110295456,07 Jul 2023,"4,029.60",,,,,
LONDON UNDERGROUND LTD,CREIGHTON AND SON LIMITED,Fleet,1005/5110295453,07 Jul 2023,"4,029.60",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Traffic Signals,1002/5110284572,05 Jul 2023,"4,029.26",,,,,
TFL CORPORATE,CAPPFINITY  LTD,Recruitment Expenses,1001/5110295278,05 Jul 2023,"4,027.15",,,,,
LONDON UNDERGROUND LTD,MITSUBISHIELECTRICEUROPE BV GERMANY,Fleet,1005/5110302669,18 Jul 2023,"4,019.00",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF CAMDEN,Rates,1004/1901695487,04 Jul 2023,"4,016.00",,,,,
TFL CORPORATE,ETHICAL TRADING INITIATIVE,Corporate Subscriptions,1001/5110302526,18 Jul 2023,"4,000.00",,,,,
LONDON TRANSPORT MUSEUM,REDACTED,Management & Support Consultancy,1011/5110301858,19 Jul 2023,"4,000.00",,,,,
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Staff Medical Insurance & Treatment,1004/1901695375,05 Jul 2023,"4,000.00",,,,,
LONDON UNDERGROUND LTD,MACE LTD/ARCADIS CONSULTING UK LTD,Civil Engineering Construction Works,1005/5110291000,18 Jul 2023,"3,988.00",,,,,
LONDON UNDERGROUND LTD,ARMADILLO MARKETING LTD,Street Lighting,1005/5110302058,17 Jul 2023,"3,984.00",,,,,
LONDON UNDERGROUND LTD,ARMADILLO MARKETING LTD,Street Lighting,1005/5110302056,17 Jul 2023,"3,984.00",,,,,
DOCKLANDS LIGHT RAILWAY,ASHURST LLP,Legal Fees,1012/5110288535,28 Jun 2023,"3,979.00",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110289222,13 Jul 2023,"3,975.02",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110251658,10 Jul 2023,"3,975.02",,,,,
LONDON UNDERGROUND LTD,LINKS SIGNS,Civil Engineering Construction Works,1005/5110300577,18 Jul 2023,"3,975.00",,,,,
TFL CORPORATE,O2 UK LIMITED,Telephony Mobile,1001/5110281244,28 Jun 2023,"3,975.00",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110292292,19 Jul 2023,"3,971.90",,,,,
LONDON UNDERGROUND LTD,DELATIM LIMITED,Connect PFI Service Costs,1005/5110296086,04 Jul 2023,"3,967.47",,,,,
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,Staff Training,1005/5110283292,28 Jun 2023,"3,965.00",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004/1901695506,04 Jul 2023,"3,962.00",,,,,
LONDON UNDERGROUND LTD,DERLIN CONSTRUCTION LTD,Building Maintenance & Repairs,1005/5110300167,14 Jul 2023,"3,960.00",,,,,
TFL CORPORATE,BRUEL & KJAER UK LTD,Maintenance Materials,1001/5110304292,21 Jul 2023,"3,958.00",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110290731,18 Jul 2023,"3,953.60",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110277921,07 Jul 2023,"3,953.60",,,,,
LONDON UNDERGROUND LTD,ALLELYS HEAVY HAULAGE LTD,Equipment Repairs & Maintenance,1005/5110297663,06 Jul 2023,"3,950.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176340,12 Jul 2023,"3,948.96",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173877,28 Jun 2023,"3,948.96",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174945,05 Jul 2023,"3,948.96",,,,,
LONDON UNDERGROUND LTD,C E F,Vehicle Repairs & Maintenance,1005/5110296130,04 Jul 2023,"3,946.00",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110264651,17 Jul 2023,"3,945.00",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110291483,17 Jul 2023,"3,945.00",,,,,
LONDON UNDERGROUND LTD,CABLE SERVICES LTD,Vehicle Repairs & Maintenance,1005/5110291650,28 Jun 2023,"3,945.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177450,19 Jul 2023,"3,944.62",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173434,28 Jun 2023,"3,944.62",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175784,12 Jul 2023,"3,944.62",,,,,
LONDON UNDERGROUND LTD,DERLIN CONSTRUCTION LTD,Building Maintenance & Repairs,1005/5110300165,14 Jul 2023,"3,938.75",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110294068,03 Jul 2023,"3,938.75",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110291515,28 Jun 2023,"3,938.75",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110291482,03 Jul 2023,"3,938.75",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110294058,03 Jul 2023,"3,938.75",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110300825,18 Jul 2023,"3,938.75",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110297871,07 Jul 2023,"3,938.75",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110300815,18 Jul 2023,"3,938.75",,,,,
LONDON UNDERGROUND LTD,COMPUTACENTER PLC,Computer Consumables,1005/5110281537,28 Jun 2023,"3,935.27",,,,,
LONDON UNDERGROUND LTD,LH-PLC,Stock of Fleet,1005/5110292730,19 Jul 2023,"3,935.00",,,,,
LONDON UNDERGROUND LTD,REVITAGLAZE LTD,Maintenance Materials,1005/5110298926,11 Jul 2023,"3,928.98",,,,,
LUL NOMINEE BCV LIMITED,CRANESERVE LIMITED,Equipment Repairs & Maintenance,1033/5110299550,14 Jul 2023,"3,913.00",,,,,
LUL NOMINEE BCV LIMITED,KPK (SHEET METAL) LTD,Maintenance Materials,1033/5110291071,17 Jul 2023,"3,909.18",,,,,
SURFACE TRANSPORT CORP,ATKINS LIMITED,Traffic Signals,1002/5110290413,17 Jul 2023,"3,900.50",,,,,
LONDON RIVER SERVICES LTD,MARITIME & COASTGUARD AGENCY,Franchise/Concession Fixed Fee,1007/5110284086,03 Jul 2023,"3,900.00",,,,,
TFL CORPORATE,1SPATIAL GROUP LTD,Management & Support Consultancy,1001/5110302695,21 Jul 2023,"3,900.00",,,,,
LONDON UNDERGROUND LTD,ERIKS  EMS,Track General Maintenance,1005/5110280899,27 Jun 2023,"3,900.00",,,,,
LONDON UNDERGROUND LTD,LH-PLC,Fleet,1005/5110283792,28 Jun 2023,"3,890.00",,,,,
TFL CORPORATE,ANSARADA UK LTD,Management & Support Consultancy,1001/5110303760,21 Jul 2023,"3,888.00",,,,,
LONDON UNDERGROUND LTD,DESIGNPLAN LIGHTING LTD,Electrical Equipment Maintenance,1005/5110301304,18 Jul 2023,"3,883.25",,,,,
LUL NOMINEE SSL LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Stock of Fleet,1031/5110282319,27 Jun 2023,"3,881.50",,,,,
RAIL FOR LONDON LIMITED,ATKINS LIMITED,Professional Engineering Services,1020/5110290205,03 Jul 2023,"3,880.00",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110283248,28 Jun 2023,"3,875.14",,,,,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Printing,1002/5110291353,28 Jun 2023,"3,873.37",,,,,
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Civil Engineering Construction Works,1005/5110290764,18 Jul 2023,"3,871.55",,,,,
SURFACE TRANSPORT CORP,AECOM LIMITED,Civil Engineering Construction Works,1002/5110288494,05 Jul 2023,"3,870.23",,,,,
LONDON RIVER SERVICES LTD,WRAGGE & CO,Legal Fees,1007/5110288646,28 Jun 2023,"3,869.60",,,,,
LONDON UNDERGROUND LTD,BROWNINGS ELECTRIC CO LTD,Escalators,1005/5110300793,17 Jul 2023,"3,866.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174713,05 Jul 2023,"3,863.25",,,,,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005/5110281237,28 Jun 2023,"3,858.54",,,,,
LONDON UNDERGROUND LTD,ALSTOM TRANSPORT LTD,Fleet,1005/5110281302,28 Jun 2023,"3,858.54",,,,,
LONDON UNDERGROUND LTD,CEMBRE LTD,Plant & Equipment Purchases,1005/5110290115,26 Jun 2023,"3,856.70",,,,,
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004/1101175496,27 Jun 2023,"3,853.40",,,,,
LONDON RIVER SERVICES LTD,THOMPSONS SOLICITORS,Legal Fees,1007/1900004662,12 Jul 2023,"3,850.00",,,,,
TTL PROPERTIES LTD,SAVILLS (UK) LIMITED,Planning & Development Consultancy,1040/5110271561,10 Jul 2023,"3,843.75",,,,,
SURFACE TRANSPORT CORP,SIEMENS MOBILITY LIMITED,Traffic Signals,1002/5110290744,04 Jul 2023,"3,841.48",,,,,
LUL NOMINEE SSL LIMITED,EMERSON NETWORK POWER LTD,Maintenance of Plant & Equipment,1031/5110282680,28 Jun 2023,"3,840.77",,,,,
SURFACE TRANSPORT CORP,AECOM LIMITED,Professional Engineering Services,1002/5110284739,28 Jun 2023,"3,837.18",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173427,28 Jun 2023,"3,836.76",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174912,05 Jul 2023,"3,836.76",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177348,19 Jul 2023,"3,836.76",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176059,12 Jul 2023,"3,836.76",,,,,
LONDON UNDERGROUND LTD,DELLNER ROMAG LIMITED,Stock of Fleet,1005/5110293549,19 Jul 2023,"3,835.00",,,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Signalling Systems,1005/5110287998,30 Jun 2023,"3,830.40",,,,,
LONDON TRANSPORT MUSEUM,DISPLAYWAYS,Property development costs,1011/5110296594,05 Jul 2023,"3,827.00",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Traffic Signals,1002/5110285103,05 Jul 2023,"3,817.85",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Traffic Signals,1002/5110290799,18 Jul 2023,"3,817.85",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Traffic Signals,1002/5110285104,05 Jul 2023,"3,817.85",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Traffic Signals,1002/5110285106,05 Jul 2023,"3,817.85",,,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Traffic Signals,1002/5110285108,05 Jul 2023,"3,817.85",,,,,
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004/1101176746,03 Jul 2023,"3,813.30",,,,,
RFL (IINFRASTRUCTURE) LTD,AGIITO LIMITED,Hotel Accommodation,1025/1900001588,28 Jun 2023,"3,811.61",,,,,
TFL CORPORATE,THOMAS EDITORIAL LIMITED,Management & Support Consultancy,1001/5110298711,10 Jul 2023,"3,800.00",,,,,
TFL CORPORATE,NORMAN DISNEY & YOUNG,Management & Support Consultancy,1001/5110298670,12 Jul 2023,"3,800.00",,,,,
RAIL FOR LONDON LIMITED,BURGES SALMON LLP,MR Construction Costs,1020/5110292987,28 Jun 2023,"3,800.00",,,,,
RFL (IINFRASTRUCTURE) LTD,C E F,Electrical Equipment Maintenance,1025/5110296154,04 Jul 2023,"3,791.58",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173779,28 Jun 2023,"3,790.80",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175478,05 Jul 2023,"3,790.80",,,,,
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Vehicle Repairs & Maintenance,1005/5110288821,12 Jul 2023,"3,790.75",,,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF ISLINGTON,Rates,1004/1901695562,04 Jul 2023,"3,788.00",,,,,
LUL NOMINEE BCV LIMITED,RS COMPONENTS LTD,Plant & Equipment Purchases,1033/5110291223,19 Jul 2023,"3,781.19",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175367,05 Jul 2023,"3,774.95",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176103,12 Jul 2023,"3,774.95",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177918,19 Jul 2023,"3,774.95",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173910,28 Jun 2023,"3,774.95",,,,,
SURFACE TRANSPORT CORP,SKILLS TRAINING CENTRE LTD,Staff Training,1002/5110293350,21 Jul 2023,"3,771.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176744,12 Jul 2023,"3,767.12",,,,,
LONDON UNDERGROUND LTD,BRYEN & LANGLEY LTD,Building Maintenance & Repairs,1005/5110291025,27 Jun 2023,"3,751.36",,,,,
TTL PROPERTIES LTD,SURVEY SOLUTIONS,Building Maintenance & Repairs,1040/5110290765,26 Jun 2023,"3,750.00",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110291507,26 Jun 2023,"3,750.00",,,,,
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001/5110284477,20 Jul 2023,"3,750.00",,,,,
TFL CORPORATE,PCG ASSOCIATES LIMITED,Management & Support Consultancy,1001/5110298449,12 Jul 2023,"3,750.00",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110297868,07 Jul 2023,"3,750.00",,,,,
LONDON UNDERGROUND LTD,MAXIM POWER TOOLS (SCOTLAND) LTD,Plant & Equipment Purchases,1005/5110286854,10 Jul 2023,"3,747.90",,,,,
LONDON UNDERGROUND LTD,LORAM UK LTD,Plant & Equipment Purchases,1005/5110299770,14 Jul 2023,"3,744.00",,,,,
TTL PROPERTIES LTD,WAVE UTILITIES,Water,1040/1900005544,05 Jul 2023,"3,743.31",,,,,
LONDON UNDERGROUND LTD,PRV ENGINEERING LTD,Stock of Fleet,1005/5110300006,19 Jul 2023,"3,740.00",,,,,
TTL PROPERTIES LTD,TELENT TECHNOLOGY SERVICES LTD,Computer Software,1040/5110289080,12 Jul 2023,"3,736.66",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110294074,03 Jul 2023,"3,735.00",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110291476,04 Jul 2023,"3,735.00",,,,,
TFL CORPORATE,LINKS SIGNS,Production Artwork And Design For Marketing,1001/5110300597,18 Jul 2023,"3,735.00",,,,,
RFL (IINFRASTRUCTURE) LTD,RS COMPONENTS LTD,Furniture & Equipment,1025/5110299788,12 Jul 2023,"3,734.32",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Maintenance Materials,1005/5110290706,18 Jul 2023,"3,733.95",,,,,
DOCKLANDS LIGHT RAILWAY,PROGRESS RAIL SERVICES UK LTD,Civil Engineering Construction Works,1012/5110292953,18 Jul 2023,"3,730.00",,,,,
LONDON UNDERGROUND LTD,4-RAIL SERVICES LIMITED,Maintenance Materials,1005/5110277598,14 Jul 2023,"3,729.00",,,,,
LUL NOMINEE SSL LIMITED,WESTCODE UK LIMITED,Stock of Fleet,1031/5110302583,18 Jul 2023,"3,727.50",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110291480,04 Jul 2023,"3,723.75",,,,,
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001/5110294091,03 Jul 2023,"3,723.75",,,,,
LONDON UNDERGROUND LTD,GROSVENOR CONTRACTS LEASING LIMITED,Operating Lease Expense - Motor Vehicles,1005/5110277312,28 Jun 2023,"3,721.44",,,,,
LONDON UNDERGROUND LTD,GROSVENOR CONTRACTS LEASING LIMITED,Operating Lease Expense - Motor Vehicles,1005/5110277333,28 Jun 2023,"3,721.44",,,,,
LONDON UNDERGROUND LTD,GROSVENOR CONTRACTS LEASING LIMITED,Operating Lease Expense - Motor Vehicles,1005/5110277341,28 Jun 2023,"3,721.44",,,,,
LONDON UNDERGROUND LTD,GROSVENOR CONTRACTS LEASING LIMITED,Vehicle Operating Leases,1005/5110277301,28 Jun 2023,"3,721.44",,,,,
LONDON UNDERGROUND LTD,GROSVENOR CONTRACTS LEASING LIMITED,Vehicle Operating Leases,1005/5110277306,28 Jun 2023,"3,721.44",,,,,
TFL CORPORATE,HCL TECHNOLOGIES UK LTD,Computer Software,1001/5110290471,17 Jul 2023,"3,720.00",,,,,
LONDON UNDERGROUND LTD,GPB PROTOTYPES LTD.,Stock of Fleet,1005/5110296723,06 Jul 2023,"3,720.00",,,,,
LONDON UNDERGROUND LTD,SENATOR INTERNATIONAL LTD,Furniture & Equipment,1005/5110290396,11 Jul 2023,"3,711.88",,,,,
TRANSPORT TRADING LTD,POINT TO POINT,Postage,1004/5110297501,14 Jul 2023,"3,710.86",,,,,
TRANSPORT TRADING LTD,CITY OF LONDON ,Rates,1004/1901695500,04 Jul 2023,"3,708.00",,,,,
LONDON UNDERGROUND LTD,RIVERSIDE TRUCK RENTAL LIMITED,Vehicle Operating Leases,1005/5110297555,07 Jul 2023,"3,707.10",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110285488,11 Jul 2023,"3,705.26",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177915,19 Jul 2023,"3,702.46",,,,,
LONDON UNDERGROUND LTD,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1005/1900262524,10 Jul 2023,"3,700.99",,,,,
LUL NOMINEE SSL LIMITED,CEMBRE LTD,Fleet,1031/5110290111,27 Jun 2023,"3,700.00",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Fleet,1005/5110283589,03 Jul 2023,"3,700.00",,,,,
LUL NOMINEE BCV LIMITED,STEAD & WILKINS LTD,Plant & Equipment Purchases,1033/5110290803,27 Jun 2023,"3,700.00",,,,,
RAIL FOR LONDON LIMITED,ASHURST LLP,Legal Fees,1020/5110284575,28 Jun 2023,"3,696.00",,,,,
LONDON UNDERGROUND LTD,CURRIE & BROWN UK LIMITED,Building Maintenance & Repairs,1005/5110283371,28 Jun 2023,"3,695.74",,,,,
LUL NOMINEE SSL LIMITED,FAIVELEY TRANSPORT TAMWORTH LTD,Track General Maintenance,1031/5110288924,13 Jul 2023,"3,692.70",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174270,28 Jun 2023,"3,691.55",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174715,05 Jul 2023,"3,691.55",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177679,19 Jul 2023,"3,691.55",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175731,12 Jul 2023,"3,691.55",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177452,19 Jul 2023,"3,684.75",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175785,12 Jul 2023,"3,684.75",,,,,
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110291849,19 Jul 2023,"3,682.76",,,,,
LONDON UNDERGROUND LTD,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1005/5110285914,05 Jul 2023,"3,681.22",,,,,
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Fire and Safety Equipment,1005/5110284006,28 Jun 2023,"3,677.41",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177909,19 Jul 2023,"3,664.80",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174658,05 Jul 2023,"3,664.80",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173486,28 Jun 2023,"3,664.80",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175954,12 Jul 2023,"3,664.80",,,,,
LONDON UNDERGROUND LTD,DPSS CABLING SERVICES LIMITED,Civil Engineering Construction Works,1005/5110297929,17 Jul 2023,"3,659.42",,,,,
SURFACE TRANSPORT CORP,REED SPECIALIST RECRUITMENT LTD,Management & Support Consultancy,1002/5110301991,17 Jul 2023,"3,657.50",,,,,
TFL CORPORATE,TOWERS WATSON LTD,Publications & Periodicals,1001/5110291481,12 Jul 2023,"3,654.00",,,,,
LONDON UNDERGROUND LTD,WILLIAM COOK RAIL LTD,Fleet,1005/5110291869,18 Jul 2023,"3,652.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177053,19 Jul 2023,"3,648.96",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Stock of Fleet,1005/5110289981,17 Jul 2023,"3,647.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176017,12 Jul 2023,"3,644.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173499,28 Jun 2023,"3,644.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177477,19 Jul 2023,"3,644.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173501,28 Jun 2023,"3,644.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176157,12 Jul 2023,"3,644.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174881,05 Jul 2023,"3,644.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176967,19 Jul 2023,"3,644.00",,,,,
RFL (IINFRASTRUCTURE) LTD,HIREMECH LIMITED,Plant & Equipment Purchases,1025/5110298804,10 Jul 2023,"3,643.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177382,19 Jul 2023,"3,641.19",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174603,05 Jul 2023,"3,641.19",,,,,
LONDON UNDERGROUND LTD,CRANESERVE LIMITED,Plant & Equipment Purchases,1005/5110290962,26 Jun 2023,"3,636.00",,,,,
TFL CORPORATE,HERBERT SMITH LLP,Legal Fees,1001/5110294686,18 Jul 2023,"3,631.74",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110283172,28 Jun 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110283158,28 Jun 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110284019,03 Jul 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110283170,28 Jun 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110285069,04 Jul 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110286543,05 Jul 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110286546,05 Jul 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110303881,20 Jul 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110283190,28 Jun 2023,"3,627.72",,,,,
RAIL FOR LONDON LIMITED,FAIVELEY TRANSPORT,Stock of Fleet,1020/5110285067,04 Jul 2023,"3,627.72",,,,,
LONDON UNDERGROUND LTD,DENCO LUBRICATION LTD,Stock of Lifts and Escalators,1005/5110293878,03 Jul 2023,"3,624.00",,,,,
