Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category,Invoice Value  £
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122814764,26.03.2024,REVENUE,"7,767.76"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811266,28.03.2024,REVENUE,"1,312.17"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811268,28.03.2024,REVENUE,"2,075.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811269,28.03.2024,REVENUE,"1,274.03"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811271,28.03.2024,REVENUE,"1,398.90"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811273,28.03.2024,REVENUE,"1,456.11"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811284,28.03.2024,REVENUE,"1,882.84"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811285,28.03.2024,REVENUE,"1,699.25"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811286,28.03.2024,REVENUE,"1,699.25"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811287,28.03.2024,REVENUE,"1,699.25"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811288,28.03.2024,REVENUE,"2,119.95"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811289,28.03.2024,REVENUE,"1,719.48"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811290,28.03.2024,REVENUE,"2,151.73"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811291,28.03.2024,REVENUE,"1,719.48"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811405,28.03.2024,REVENUE,"1,719.48"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811411,28.03.2024,REVENUE,"1,388.45"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811415,28.03.2024,REVENUE,"1,882.84"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122811420,28.03.2024,REVENUE,"1,719.48"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003758853,08.01.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003758841,08.01.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003758780,09.01.2024,REVENUE,"36,924.30"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122791956,09.01.2024,REVENUE,"2,343.82"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122791982,09.01.2024,REVENUE,"6,974.65"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003760001,15.01.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003760037,15.01.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122795543,18.01.2024,REVENUE,"16,191.17"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122795566,18.01.2024,REVENUE,"3,103.28"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003763130,22.01.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003763154,22.01.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003764431,29.01.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003764463,29.01.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003768291,05.02.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003768267,05.02.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122801516,09.02.2024,REVENUE,"2,192.61"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122801567,09.02.2024,REVENUE,"6,524.67"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003769802,13.02.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003769722,13.02.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003772840,20.02.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PERCY HEDLEY FOUNDATION,7003772789,20.02.2024,REVENUE,"64,003.67"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003772763,20.02.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003773890,26.02.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003773880,26.02.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122806405,28.02.2024,REVENUE,"16,354.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122806429,28.02.2024,REVENUE,539.22
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122806451,28.02.2024,REVENUE,"14,949.85"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003777421,04.03.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003777384,04.03.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122807936,06.03.2024,REVENUE,"2,343.82"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122808434,06.03.2024,REVENUE,"6,974.65"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122808419,08.03.2024,REVENUE,"16,354.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003778809,11.03.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003778778,11.03.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003782027,18.03.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003781988,18.03.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003783341,25.03.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,7003783511,25.03.2024,REVENUE,"1,955.00"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003783310,25.03.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNHILL PARK SCHOOL,7003783490,25.03.2024,REVENUE,"13,790.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122814631,26.03.2024,REVENUE,"16,354.88"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ST ANNE'S COMMUNITY SERVICES,5122814746,26.03.2024,REVENUE,"4,088.46"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003758856,08.01.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003758823,08.01.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122791984,09.01.2024,REVENUE,"5,129.61"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,NORTH EAST AUTISM SOCIETY,7003760018,15.01.2024,REVENUE,"2,668.44"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003760036,15.01.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003760092,15.01.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003759922,15.01.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003763207,22.01.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003763075,22.01.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003763091,22.01.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003764465,29.01.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003764403,29.01.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003764401,29.01.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003768299,05.02.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003768348,05.02.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003768349,05.02.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122801515,09.02.2024,REVENUE,"4,798.67"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003769762,13.02.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003769847,13.02.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003769915,13.02.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003772792,20.02.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003772762,20.02.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003772803,20.02.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003773918,26.02.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003773796,26.02.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003773958,26.02.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003777446,04.03.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003777363,04.03.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003777366,04.03.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122808047,06.03.2024,REVENUE,"5,129.61"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003778851,11.03.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003778913,11.03.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003778883,11.03.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003782048,18.03.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003781923,18.03.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003781919,18.03.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003783366,25.03.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CAMBIAN DILSTON COLLEGE,7003783543,25.03.2024,REVENUE,"18,608.75"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003783303,25.03.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MOORPINE CARE HOME,7003783576,25.03.2024,REVENUE,"4,798.71"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003783299,25.03.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PARK LODGE,7003783573,25.03.2024,REVENUE,"2,488.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122789595,02.01.2024,REVENUE,"1,334.90"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122789600,02.01.2024,REVENUE,"2,018.24"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122789615,02.01.2024,REVENUE,"1,502.72"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122791022,03.01.2024,REVENUE,"1,532.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122791026,03.01.2024,REVENUE,"1,532.39"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122791035,03.01.2024,REVENUE,"2,018.24"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122791041,03.01.2024,REVENUE,"2,018.24"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122791048,03.01.2024,REVENUE,"2,837.62"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122791049,03.01.2024,REVENUE,"1,947.68"
