Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category, Invoice Value  £ ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,ENTERPRISE RENT-A-CAR UK LTD,3300312177,13.06.2023,REVENUE, 649.46 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,BRISTOL STREET MOTORS,5122742329,23.06.2023,REVENUE," 1,328.83 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",DIRECT TRANSPORT COSTS,BRISTOL STREET MOTORS,5122743584,28.06.2023,REVENUE," 3,985.74 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,THOMPSONS SOLICITORS,3300311296,12.04.2023,REVENUE," 12,210.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,BEN HOARE BELL  LLP,3300311331,14.04.2023,REVENUE," 8,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122728442,28.04.2023,REVENUE, 927.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,PAUL R STUART,5122730357,09.05.2023,REVENUE," 1,050.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122731107,11.05.2023,REVENUE, 645.50 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122732598,16.05.2023,REVENUE," 11,674.88 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122732601,16.05.2023,REVENUE," 1,452.75 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122732603,17.05.2023,REVENUE," 530,392.80 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122732710,17.05.2023,REVENUE," 43,990.24 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122732983,18.05.2023,REVENUE, 532.49 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122734269,23.05.2023,REVENUE," 19,468.31 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122734270,23.05.2023,REVENUE," 26,880.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122734271,23.05.2023,REVENUE," 95,319.71 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122734272,23.05.2023,REVENUE," 107,842.35 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122734273,23.05.2023,REVENUE," 92,794.49 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,THOMPSONS SOLICITORS,3300311934,25.05.2023,REVENUE," 52,790.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122734991,25.05.2023,REVENUE," 71,862.30 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122734993,25.05.2023,REVENUE," 4,443.98 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ARTHUR J GALLAGHER INSURANCE BROKER,5122734994,25.05.2023,REVENUE, 560.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122723508,11.04.2023,REVENUE, 650.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",DIRECT TRANSPORT COSTS,ARC PAINT SOLUTIONS LTD,5122725871,21.04.2023,REVENUE," 1,874.48 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122726649,21.04.2023,REVENUE," 2,513.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,KENNEDYS LAW LLP,5122726983,24.04.2023,REVENUE," 2,252.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122727618,26.04.2023,REVENUE," 4,828.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,KENNEDYS LAW LLP,5122729596,04.05.2023,REVENUE," 1,000.50 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,KENNEDYS LAW LLP,5122730354,09.05.2023,REVENUE," 2,827.98 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,NORTHERN POWERGRID,3300311714,12.05.2023,REVENUE," 1,237.18 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122735074,25.05.2023,REVENUE," 1,081.50 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122738850,12.06.2023,REVENUE, 700.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122742213,23.06.2023,REVENUE," 6,457.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,DAC BEACHCROFT CLAIMS LTD,5122742307,23.06.2023,REVENUE," 1,569.05 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,FORBES SOLICITORS,5122743135,27.06.2023,REVENUE," 1,155.50 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ZURICH MUNICIPAL,5122727246,25.04.2023,REVENUE," 465,953.45 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ZURICH MUNICIPAL,5122727397,25.04.2023,REVENUE," 170,430.15 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ZURICH MUNICIPAL,5122727398,25.04.2023,REVENUE," 8,404.72 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ZURICH MUNICIPAL,5122727481,26.04.2023,REVENUE," 52,951.54 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ZURICH MUNICIPAL,5122727570,26.04.2023,REVENUE," 50,215.68 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,ZURICH MUNICIPAL,5122737520,06.06.2023,REVENUE," 1,167.60 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",SERVICES,KENNEDYS LAW LLP,5122726975,24.04.2023,REVENUE," 1,103.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,KENNEDYS LAW LLP,3300311523,25.04.2023,REVENUE," 2,713.50 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,KENNEDYS LAW LLP,3300311698,10.05.2023,REVENUE," 1,056.50 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,DEPARTMENT FOR WORK AND PENSIONS,3300311329,14.04.2023,REVENUE, 766.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,ENTERPRISE RENT-A-CAR UK LTD,3300311517,24.04.2023,REVENUE," 5,094.02 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,WINN SOLICITORS,3300311827,18.05.2023,REVENUE," 1,593.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,WINN SOLICITORS,3300311930,25.05.2023,REVENUE," 1,048.16 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,ENTERPRISE RENT-A-CAR UK LTD,3300312179,14.06.2023,REVENUE," 1,575.08 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,ENTERPRISE RENT-A-CAR UK LTD,3300312258,22.06.2023,REVENUE," 2,758.50 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,KENNEDYS LAW LLP,3300311838,19.05.2023,REVENUE, 737.50 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,"AUDIT, RISK AND INSURANCE",MISCELLANEOUS EXPENSES,NORTHUMBRIAN WATER,3300312416,23.06.2023,REVENUE, 552.39 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",ORBIS PROTECT LTD,5122723265,21.04.2023,REVENUE, 553.57 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",ORBIS PROTECT LTD,5122729643,10.05.2023,REVENUE, 602.70 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",ORBIS PROTECT LTD,5122736882,12.06.2023,REVENUE, 622.79 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,SERVICES,W S CONTROLS LTD,5122721601,03.04.2023,REVENUE," 10,400.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,SERVICES,W S CONTROLS LTD,5122736400,01.06.2023,REVENUE," 5,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,EQUIPMENT/FURNITURE/MATERIALS,MARSHALLS STREET FURNITURE,5122736032,31.05.2023,REVENUE, 446.66 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,SMS ENVIRONMENTAL LTD,5122722639,05.04.2023,REVENUE," 2,070.50 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,SMS ENVIRONMENTAL LTD,5122722961,05.04.2023,REVENUE," 1,442.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,SMS ENVIRONMENTAL LTD,5122726518,24.04.2023,REVENUE," 1,556.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,VEOLIA WATER TECHNOLOGIES,5122730356,09.05.2023,REVENUE," 3,333.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,SAFESOL LTD,5122734259,24.05.2023,REVENUE, 809.17 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,VEOLIA WATER TECHNOLOGIES,5122734840,24.05.2023,REVENUE," 3,108.50 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,SMS ENVIRONMENTAL LTD,5122734793,26.05.2023,REVENUE," 1,825.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,VEOLIA WATER TECHNOLOGIES,5122735593,30.05.2023,REVENUE, 840.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,VEOLIA WATER TECHNOLOGIES,5122735595,30.05.2023,REVENUE, 520.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,VEOLIA WATER TECHNOLOGIES,5122735596,30.05.2023,REVENUE, 520.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,HSL COMPLIANCE LTD,5122738463,09.06.2023,REVENUE," 1,575.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,NORTHUMBRIAN WATER SCIENTIFIC SERVICES,5122740319,16.06.2023,REVENUE, 886.50 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,NORTHUMBRIAN WATER SCIENTIFIC SERVICES,5122740519,20.06.2023,REVENUE, 771.35 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,CLEANING & DOMESTIC,VEOLIA WATER TECHNOLOGIES,5122741951,23.06.2023,REVENUE," 2,399.88 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",HARRY BURNICLE ELECTRICAL CONTRACTORS LTD,5122723677,12.04.2023,REVENUE, 726.96 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",HARRY BURNICLE ELECTRICAL CONTRACTORS LTD,5122723699,12.04.2023,REVENUE," 3,236.89 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",HARRY BURNICLE ELECTRICAL CONTRACTORS LTD,5122723700,12.04.2023,REVENUE, 770.31 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",RETROFLO LIMITED,5122722966,05.04.2023,REVENUE," 14,903.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122722229,03.04.2023,REVENUE, 457.66 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122723868,12.04.2023,REVENUE, 995.92 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744209,30.06.2023,REVENUE, 431.90 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744261,30.06.2023,REVENUE,-431.90 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744320,30.06.2023,REVENUE," 1,755.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744327,30.06.2023,REVENUE,-968.24 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744330,30.06.2023,REVENUE,-505.68 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744331,30.06.2023,REVENUE,-575.26 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744343,30.06.2023,REVENUE,"-1,898.26 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744344,30.06.2023,REVENUE,-786.94 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744346,30.06.2023,REVENUE,"-1,431.78 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744349,30.06.2023,REVENUE, 839.91 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744351,30.06.2023,REVENUE, 418.80 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744353,30.06.2023,REVENUE," 2,271.76 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,BUILDING SERVICES REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122744354,30.06.2023,REVENUE," 1,020.23 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",SGS UNITED KINGDOM LIMITED,5122726395,25.04.2023,REVENUE," 1,750.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",SGS UNITED KINGDOM LIMITED,5122734826,26.05.2023,REVENUE," 1,050.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,BUSINESS & PROPERTY SERVICES,REPAIRS & RENEWALS,"REPAIRS, ALTERATIONS & MAINTENANCE",RHODAR LIMITED,5122735147,07.06.2023,REVENUE," 12,706.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,CORPORATE SERVICES,DIRECTOR OF CORPORATE SERVICES,GRANTS & SUBSCRIPTIONS,CIPFA BUSINESS LIMITED,5122723862,12.04.2023,REVENUE," 6,890.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,FINANCE,CORPORATE & STRATEGIC MANAGEMENT,EXPENSES,LOCAL GOVERNMENT ASSOCIATION,5122723951,17.04.2023,REVENUE, 555.90 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,FINANCE,CORPORATE MANAGEMENT,EXPENSES,BUILT ENVIRONMENT NETWORKING,7003683985,15.05.2023,REVENUE, 960.00 ,,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,FINANCE,CORPORATE MANAGEMENT,EXPENSES,CONSERVATIVE PARTY,7003693264,15.06.2023,REVENUE," 6,609.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,FINANCE,CORPORATE MANAGEMENT,EXPENSES,WWW.LABEVENTS.ORG,7003693264,15.06.2023,REVENUE," 3,728.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,FINANCE,STRATEGIC EXTERNAL FUNDING UNIT,SERVICES,LEARNING & WORK INSTITUTE,5122722781,05.04.2023,REVENUE," 8,000.00 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,FINANCE,STRATEGIC EXTERNAL FUNDING UNIT,GRANTS & SUBSCRIPTIONS,SUNDERLAND CULTURE LTD,3300311703,11.05.2023,REVENUE," 26,827.51 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,FINANCE,STRATEGIC EXTERNAL FUNDING UNIT,GRANTS & SUBSCRIPTIONS,NORTH EAST OF ENGLAND BIC,3300311960,26.05.2023,REVENUE," 6,972.03 ",,,,,,
SUNDERLAND CITY COUNCIL,DIRECTOR OF FINANCE,FINANCE,STRATEGIC EXTERNAL FUNDING UNIT,GRANTS & SUBSCRIPTIONS,NORTH EAST OF ENGLAND BIC,3300311961,26.05.2023,REVENUE," 1,999.88 ",,,,,,
